dataset_fraction,workload_name,policy_mode,seed,workers,runtime_seconds,throughput_points_per_second,speedup_vs_single_worker,throughput_gain_vs_single_worker
0.1,fraction_0p1,always,1,1,0.021372213999995893,53106.33704117964,1.0,1.0
0.1,fraction_0p1,always,1,2,0.064272840000001,17659.092083063115,0.33252325554613055,0.3325232555461305
0.1,fraction_0p1,always,1,4,0.053009383000002686,21411.303730887463,0.4031779430444382,0.40317794304443816
0.1,fraction_0p1,always,1,8,0.058947153000005414,19254.534650721736,0.36256566962604503,0.36256566962604503
0.1,fraction_0p1,always,2,1,0.023204356999997344,48913.22780459419,1.0,1.0
0.1,fraction_0p1,always,2,2,0.04357611800000427,26046.377054511573,0.5325017019642518,0.5325017019642518
0.1,fraction_0p1,always,2,4,0.04233559600000092,26809.59068108963,0.5481051217513706,0.5481051217513707
0.1,fraction_0p1,always,2,8,0.04329322800001023,26216.57133073403,0.5359812162768703,0.5359812162768703
0.1,fraction_0p1,always,3,1,0.021594333000010124,52560.08601883966,1.0,1.0
0.1,fraction_0p1,always,3,2,0.05569038699999851,20380.537129325934,0.3877569211363301,0.38775692113633003
0.1,fraction_0p1,always,3,4,0.042139616000000046,26934.274863824074,0.5124473132363166,0.5124473132363166
0.1,fraction_0p1,always,3,8,0.042004516000005765,27020.90413325663,0.5140955082069547,0.5140955082069547
0.1,fraction_0p1,never,1,1,0.014312001999996937,79304.06940973338,1.0,1.0
0.1,fraction_0p1,never,1,2,0.034212494000001925,33175.01495213813,0.4183267668237262,0.4183267668237262
0.1,fraction_0p1,never,1,4,0.03379811300000313,33581.756472614165,0.42345565268675245,0.42345565268675245
0.1,fraction_0p1,never,1,8,0.04579548200000261,24784.104248535594,0.3125199555710784,0.3125199555710784
0.1,fraction_0p1,never,2,1,0.014227813000005085,79773.3284799002,1.0,1.0
0.1,fraction_0p1,never,2,2,0.03280714100000637,34596.126495746146,0.4336803685515395,0.4336803685515396
0.1,fraction_0p1,never,2,4,0.03305876199999602,34332.804114084385,0.43037948608017434,0.43037948608017434
0.1,fraction_0p1,never,2,8,0.03409113299998978,33293.1146641662,0.41734644020218836,0.41734644020218836
0.1,fraction_0p1,never,3,1,0.014294942999995897,79398.70764089971,1.0,1.0
0.1,fraction_0p1,never,3,2,0.03339968299999896,33982.358455319336,0.42799636751032466,0.42799636751032466
0.1,fraction_0p1,never,3,4,0.04466942000000529,25408.881512226162,0.32001631093473354,0.3200163109347335
0.1,fraction_0p1,never,3,8,0.03607368600000882,31463.377487948488,0.3962706500242975,0.39627065002429757
0.1,fraction_0p1,random,1,1,0.021992984999997134,51607.36480292002,1.0,1.0
0.1,fraction_0p1,random,1,2,0.06699739399999771,16940.957434852447,0.3282662755509249,0.3282662755509249
0.1,fraction_0p1,random,1,4,0.04457292000000734,25463.891528753626,0.49341584531579963,0.49341584531579963
0.1,fraction_0p1,random,1,8,0.04811985599999957,23586.936752263144,0.45704594377832986,0.4570459437783299
0.1,fraction_0p1,random,2,1,0.022443594999998595,50571.22087615959,1.0,1.0
0.1,fraction_0p1,random,2,2,0.06389229999999202,17764.268933817406,0.35127229728780146,0.3512722972878015
0.1,fraction_0p1,random,2,4,0.04822665599999709,23534.70246827954,0.46537738382690164,0.46537738382690164
0.1,fraction_0p1,random,2,8,0.06028247400000453,18828.02620210834,0.37230713192024784,0.37230713192024784
0.1,fraction_0p1,random,3,1,0.02201683500000229,51551.46050737456,1.0,1.0
0.1,fraction_0p1,random,3,2,0.08442608199999313,13443.71280903563,0.2607823847611936,0.2607823847611936
0.1,fraction_0p1,random,3,4,0.046746493000000555,24279.896248045527,0.47098367357743876,0.47098367357743876
0.1,fraction_0p1,random,3,8,0.04319499800000415,26276.190590398706,0.5097079759096221,0.509707975909622
0.1,fraction_0p1,risk_proxy,1,1,0.016947376999993935,66972.01578748181,1.0,1.0
0.1,fraction_0p1,risk_proxy,1,2,0.04748208499999862,23903.752331011434,0.35692149997192474,0.35692149997192474
0.1,fraction_0p1,risk_proxy,1,4,0.04369682899999816,25974.42482611376,0.38783997346797516,0.3878399734679752
0.1,fraction_0p1,risk_proxy,1,8,0.03907671100000698,29045.433224914894,0.43369507223857473,0.4336950722385748
0.1,fraction_0p1,risk_proxy,2,1,0.017602476999996952,64479.56159807489,1.0,1.0
0.1,fraction_0p1,risk_proxy,2,2,0.04984529800000814,22770.452691441722,0.3531421760181688,0.35314217601816883
0.1,fraction_0p1,risk_proxy,2,4,0.03876300999999671,29280.49189162803,0.45410500887310984,0.45410500887310984
0.1,fraction_0p1,risk_proxy,2,8,0.038233990000009044,29685.627892870492,0.46038817816274963,0.46038817816274963
0.1,fraction_0p1,risk_proxy,3,1,0.017181316999995033,66060.12798671535,1.0,1.0
0.1,fraction_0p1,risk_proxy,3,2,0.03616117700001098,31387.25268814274,0.47513157550125695,0.47513157550125695
0.1,fraction_0p1,risk_proxy,3,4,0.04229508599999576,26835.268759120474,0.406224898088557,0.406224898088557
0.1,fraction_0p1,risk_proxy,3,8,0.0434264979999881,26136.116248662533,0.39564132019118237,0.3956413201911823
0.25,fraction_0p25,always,1,1,0.05355460399999856,52973.9702678051,1.0,1.0
0.25,fraction_0p25,always,1,2,0.12825153099998943,22120.5936325254,0.41757477343489163,0.41757477343489163
0.25,fraction_0p25,always,1,4,0.14318828400000427,19813.073533306087,0.3740152651036517,0.3740152651036517
0.25,fraction_0p25,always,1,8,0.12808028999999976,22150.168460736662,0.41813306325273514,0.41813306325273514
0.25,fraction_0p25,always,2,1,0.05277108299999611,53760.503645532706,1.0,1.0
0.25,fraction_0p25,always,2,2,0.10890897000000166,26049.277667394676,0.48454303626225925,0.48454303626225925
0.25,fraction_0p25,always,2,4,0.13445006000000603,21100.771542979397,0.3924957936054007,0.3924957936054007
0.25,fraction_0p25,always,2,8,0.11142706399999724,25460.600846487978,0.4735930491715856,0.4735930491715856
0.25,fraction_0p25,always,3,1,0.05603403799999285,50629.9403230651,1.0,1.0
0.25,fraction_0p25,always,3,2,0.11836962500001391,23967.297353520098,0.47338190012840087,0.47338190012840087
0.25,fraction_0p25,always,3,4,0.14148056199999814,20052.224559300503,0.39605467498774555,0.3960546749877456
0.25,fraction_0p25,always,3,8,0.18759153400000628,15123.28376183493,0.29870238173963104,0.29870238173963104
0.25,fraction_0p25,never,1,1,0.035776975999993965,79296.80809245809,1.0,1.0
0.25,fraction_0p25,never,1,2,0.09024011099999996,31438.347853982596,0.39646422863990033,0.3964642286399003
0.25,fraction_0p25,never,1,4,0.10718865799999833,26467.352543960802,0.33377576198402004,0.33377576198402004
0.25,fraction_0p25,never,1,8,0.12767001000000278,22221.350182395523,0.2802300712594382,0.28023007125943816
0.25,fraction_0p25,never,2,1,0.035601145999990536,79688.44598431619,1.0,1.0
0.25,fraction_0p25,never,2,2,0.1041476839999973,27240.16407316435,0.3418332951118861,0.3418332951118861
0.25,fraction_0p25,never,2,4,0.1097109319999987,25858.86336286008,0.3244995311861078,0.3244995311861078
0.25,fraction_0p25,never,2,8,0.10036294799999723,28267.404022449384,0.3547239963496441,0.3547239963496441
0.25,fraction_0p25,never,3,1,0.036142185999992194,78495.52874307639,1.0,1.0
0.25,fraction_0p25,never,3,2,0.1873193329999907,15145.259992998912,0.19294423816891335,0.19294423816891332
0.25,fraction_0p25,never,3,4,0.09552346999998917,29699.50735667707,0.37835922417806106,0.378359224178061
0.25,fraction_0p25,never,3,8,0.08424002200000302,33677.579049064094,0.42903818329951166,0.42903818329951166
0.25,fraction_0p25,random,1,1,0.054614796000009846,51945.630264726955,1.0,1.0
0.25,fraction_0p25,random,1,2,0.10503858500000263,27009.122409635744,0.51994984509748,0.5199498450974799
0.25,fraction_0p25,random,1,4,0.12832421100000602,22108.06501666211,0.42560009194217674,0.4256000919421767
0.25,fraction_0p25,random,1,8,0.10935311199999376,25943.477493353475,0.49943522412067215,0.4994352241206721
0.25,fraction_0p25,random,2,1,0.05594917800000587,50706.732456367856,1.0,1.0
0.25,fraction_0p25,random,2,2,0.12776088000001096,22205.545234188718,0.43792104437603335,0.43792104437603335
0.25,fraction_0p25,random,2,4,0.10677206799999794,26570.61957440081,0.5240057540143078,0.5240057540143078
