dataset_fraction,workload_name,policy_mode,seed,workers,runtime_seconds,throughput_points_per_second,speedup_vs_single_worker,throughput_gain_vs_single_worker
0.1,fraction_0p1,always,1,1,0.026713008000001537,42488.6632010867,1.0,1.0
0.1,fraction_0p1,always,1,2,0.04465156100002332,25419.044140459217,0.5982547396268539,0.5982547396268539
0.1,fraction_0p1,always,1,4,0.06097113499998841,18615.366107260685,0.43812548347683894,0.4381254834768389
0.1,fraction_0p1,always,1,8,0.045826763000007986,24767.186807407765,0.5829128275980758,0.5829128275980758
0.1,fraction_0p1,always,2,1,0.020968546000005972,54128.693520269684,1.0,1.0
0.1,fraction_0p1,always,2,2,0.0423249820000251,26816.313826177808,0.4954177180747185,0.49541771807471846
0.1,fraction_0p1,always,2,4,0.048612697999999455,23347.80924934495,0.4313388654134401,0.4313388654134401
0.1,fraction_0p1,always,2,8,0.04996291599999836,22716.848632294346,0.4196821898867284,0.4196821898867284
0.1,fraction_0p1,always,3,1,0.020217431999981272,56139.671942561814,1.0,1.0
0.1,fraction_0p1,always,3,2,0.06751277999998706,16811.631812528198,0.2994608131969258,0.29946081319692575
0.1,fraction_0p1,always,3,4,0.04337990900000932,26164.185821592113,0.46605519619639885,0.46605519619639885
0.1,fraction_0p1,always,3,8,0.047822238000009065,23733.72822910933,0.4227621467648051,0.4227621467648051
0.1,fraction_0p1,never,1,1,0.014961438999989696,75861.68683378528,1.0,1.0
0.1,fraction_0p1,never,1,2,0.03561712699999475,31866.69154983127,0.4200630500037777,0.4200630500037777
0.1,fraction_0p1,never,1,4,0.03625983800000654,31301.849721440987,0.4126173702151399,0.41261737021513994
0.1,fraction_0p1,never,1,8,0.055725839000018595,20367.57131641609,0.2684829742982372,0.2684829742982372
0.1,fraction_0p1,never,2,1,0.013671831999999995,83017.40395873797,1.0,1.0
0.1,fraction_0p1,never,2,2,0.03622714699997687,31330.096184519436,0.37739190447452914,0.37739190447452914
0.1,fraction_0p1,never,2,4,0.0352135899999837,32231.874114525825,0.3882544210915821,0.3882544210915821
0.1,fraction_0p1,never,2,8,0.03857099699999367,29426.255173030306,0.35445886970467055,0.3544588697046706
0.1,fraction_0p1,never,3,1,0.01700100900001189,66760.7434358282,1.0,1.0
0.1,fraction_0p1,never,3,2,0.03850937799998633,29473.340234173687,0.4414771124066955,0.4414771124066955
0.1,fraction_0p1,never,3,4,0.05415808099999708,20957.167961694602,0.31391453844187733,0.31391453844187733
0.1,fraction_0p1,never,3,8,0.05884891399998082,19286.677065958596,0.288892484915141,0.28889248491514097
0.1,fraction_0p1,random,1,1,0.023532950999992863,48230.245327088145,1.0,1.0
0.1,fraction_0p1,random,1,2,0.04381486800002676,25904.448690780187,0.5370996667153828,0.5370996667153827
0.1,fraction_0p1,random,1,4,0.04337678099997788,26166.072581563367,0.5425241444265969,0.5425241444265968
0.1,fraction_0p1,random,1,8,0.04381880600001864,25902.120655672752,0.5370513975205726,0.5370513975205725
0.1,fraction_0p1,random,2,1,0.02199548999999479,51601.48739583746,1.0,1.0
0.1,fraction_0p1,random,2,2,0.045400848000014093,24999.533048361733,0.484473109400687,0.484473109400687
0.1,fraction_0p1,random,2,4,0.045516198000001395,24936.177665805153,0.48324532730071423,0.48324532730071423
0.1,fraction_0p1,random,2,8,0.10086208600000646,11252.989552485831,0.21807490675924926,0.2180749067592493
0.1,fraction_0p1,random,3,1,0.021903421000018852,51818.389465235734,1.0,1.0
0.1,fraction_0p1,random,3,2,0.05306398899998044,21389.270226187073,0.4127737362531665,0.41277373625316643
0.1,fraction_0p1,random,3,4,0.12830499599999712,8846.10915696553,0.1707137031516633,0.1707137031516633
0.1,fraction_0p1,random,3,8,0.047801341999985425,23744.103251334367,0.45821770024836395,0.45821770024836395
0.1,fraction_0p1,risk_proxy,1,1,0.016379851000010603,69292.44960770798,1.0,1.0
0.1,fraction_0p1,risk_proxy,1,2,0.042150934999995116,26927.042069176674,0.3885999444617896,0.3885999444617896
0.1,fraction_0p1,risk_proxy,1,4,0.041062543000009555,27640.7625314325,0.39890006325245836,0.3989000632524584
0.1,fraction_0p1,risk_proxy,1,8,0.039218689999984235,28940.283319010814,0.4176542102762022,0.4176542102762022
0.1,fraction_0p1,risk_proxy,2,1,0.016585671000001412,68432.5644708558,1.0,1.0
0.1,fraction_0p1,risk_proxy,2,2,0.05713220399999841,19866.203656348207,0.29030336375613786,0.29030336375613786
0.1,fraction_0p1,risk_proxy,2,4,0.03840958899999691,29549.91265332444,0.4318106866491788,0.4318106866491789
0.1,fraction_0p1,risk_proxy,2,8,0.039800329000001966,28517.352205805735,0.41672195724815725,0.41672195724815725
0.1,fraction_0p1,risk_proxy,3,1,0.018396776999992426,61695.58939592882,1.0,1.0
0.1,fraction_0p1,risk_proxy,3,2,0.04077977699998314,27832.42291885189,0.45112500247365334,0.45112500247365334
0.1,fraction_0p1,risk_proxy,3,4,0.0573338339999907,19796.338755231056,0.3208712154152365,0.32087121541523644
0.1,fraction_0p1,risk_proxy,3,8,0.07414494599998989,15307.853889328544,0.24811909634400348,0.2481190963440035
0.25,fraction_0p25,always,1,1,0.05179860600000552,54769.81368957492,1.0,1.0
0.25,fraction_0p25,always,1,2,0.1293529650000096,21932.237888785847,0.400443901691791,0.400443901691791
0.25,fraction_0p25,always,1,4,0.12323061600000074,23021.876316839825,0.4203387736048095,0.4203387736048094
0.25,fraction_0p25,always,1,8,0.12797755799999777,22167.949164962574,0.404747573008124,0.40474757300812403
0.25,fraction_0p25,always,2,1,0.0505148100000099,56161.74741624177,1.0,1.0
0.25,fraction_0p25,always,2,2,0.139469441000017,20341.373562970355,0.36219267559840396,0.3621926755984039
0.25,fraction_0p25,always,2,4,0.12446083800000451,22794.318643426595,0.40586911362438416,0.40586911362438416
0.25,fraction_0p25,always,2,8,0.11910167199999933,23819.98465982926,0.4241318291485462,0.4241318291485462
0.25,fraction_0p25,always,3,1,0.05172502400000667,54847.72708852941,1.0,1.0
0.25,fraction_0p25,always,3,2,0.19783250400001862,14340.413949366648,0.26145867314100113,0.2614586731410012
