dataset_fraction,workload_name,policy_mode,seed,workers,trace_hash,reference_hash,hash_match,intervention_rate,reference_intervention_rate,intervention_rate_delta,unauthorized_invocations,fault_injected_count
0.1,fraction_0p1,proxy,1,1,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,1,2,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,1,4,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,1,8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,2,1,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,2,2,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,2,4,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,2,8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,3,1,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,3,2,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,3,4,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,proxy,3,8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,c24554611ddd20bf2c8031ab6d01a1e79b994655e666db305f10b9f887bf08d8,1,0.0,0.0,0.0,0,0
0.1,fraction_0p1,bc,1,1,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,1,2,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,1,4,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,1,8,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,2,1,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,2,2,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,2,4,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,2,8,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,3,1,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,3,2,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,3,4,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc,3,8,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,1,1,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,1,2,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,1,4,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,1,8,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,2,1,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,2,2,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,2,4,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,2,8,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,3,1,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
0.1,fraction_0p1,bc_live,3,2,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,78be96175d6fd950e339abab28b98cb4ea12300ef91b6daf93a212b4ba73fa72,1,1.0,1.0,0.0,0,0
