dataset_fraction,workload_name,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,fault_injected_count,memory_delta_mb,state_missing_count
0.1,fraction_0p1,always,1,0.6548537063333697,1735.761873083027,0.5737035198275429,0.438893333315112,0.5847551999522693,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,always,2,1.058887495333238,1072.2211098628868,1.8302607001471867,1.0662836666597286,1.4841288667184926,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,always,4,1.5217626233333401,746.146004148192,5.338175535389355,2.5116393333822393,38.5833566332773,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,always,8,1.5625273703333278,726.5911820123602,10.854620595302492,5.138102333300291,58.59748710004927,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,1,0.6698329809999753,1696.7056004034287,0.586959280470519,0.43476366666557925,0.543847333354582,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,2,1.077617264333412,1053.3123061148253,1.8648227741531695,1.0762723332694197,1.5350651333089143,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,4,1.5254644840000158,744.5917835200663,5.349015523937392,2.5168460000107493,37.95800756663522,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc,8,1.5231288219999897,745.238920463887,10.678616817031019,5.186385333445287,58.06392156668304,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,1,0.4949096926667001,2568.7011318757627,0.012311147430434995,0.011756999962623619,0.012592433328488065,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,2,0.39858844966662826,2847.851781379433,0.02067345345179502,0.0147333333491891,0.01939866669999901,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,4,0.41119665666656147,2768.939982478363,0.05351388722487915,0.012487333303094298,0.018135233320511656,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,bc_live,8,0.39230800466672616,2893.72160126057,0.029764871070762214,0.012349666576483287,0.016706633277863137,1.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,1,0.6460661260000506,1756.9872706288782,0.5661117113065199,0.4135393333702571,0.5048040666376133,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,2,1.0403208759999718,1092.0754564278589,1.7976746502225314,1.0100193333073548,1.2973578333609719,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,4,1.4609014396666378,776.9559998750128,5.048043330983595,2.417498999951325,19.244325933360894,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,never,8,1.4476081756665735,784.1814221512556,10.15057012745983,4.952531666655584,57.909944199999096,0.0,0.0,0.0,,0.0
