dataset_fraction,policy_mode,workers,hash_match,intervention_rate,unauthorized_invocations
0.25,always,1,1,1.0,0.0
0.25,always,2,1,1.0,0.0
0.25,always,4,1,1.0,0.0
0.25,always,8,1,1.0,0.0
0.25,bc,1,1,1.0,0.0
0.25,bc,2,1,1.0,0.0
0.25,bc,4,1,1.0,0.0
0.25,bc,8,1,1.0,0.0
0.25,never,1,1,0.0,0.0
0.25,never,2,1,0.0,0.0
0.25,never,4,1,0.0,0.0
0.25,never,8,1,0.0,0.0
0.25,proxy,1,1,0.20514628128304543,0.0
0.25,proxy,2,1,0.20514628128304543,0.0
0.25,proxy,4,1,0.20514628128304543,0.0
0.25,proxy,8,1,0.20514628128304543,0.0
0.25,random,1,1,0.48584185172130184,0.0
0.25,random,2,1,0.48584185172130184,0.0
0.25,random,4,1,0.48584185172130184,0.0
0.25,random,8,1,0.48584185172130184,0.0
0.5,always,1,1,1.0,0.0
0.5,always,2,1,1.0,0.0
0.5,always,4,1,1.0,0.0
0.5,always,8,1,1.0,0.0
0.5,bc,1,1,1.0,0.0
0.5,bc,2,1,1.0,0.0
0.5,bc,4,1,1.0,0.0
0.5,bc,8,1,1.0,0.0
0.5,never,1,1,0.0,0.0
0.5,never,2,1,0.0,0.0
0.5,never,4,1,0.0,0.0
0.5,never,8,1,0.0,0.0
0.5,proxy,1,1,0.2095154185022026,0.0
0.5,proxy,2,1,0.2095154185022026,0.0
0.5,proxy,4,1,0.2095154185022026,0.0
0.5,proxy,8,1,0.2095154185022026,0.0
0.5,random,1,1,0.49756240822320114,0.0
0.5,random,2,1,0.49756240822320114,0.0
0.5,random,4,1,0.49756240822320114,0.0
0.5,random,8,1,0.49756240822320114,0.0
0.75,always,1,1,1.0,0.0
0.75,always,2,1,1.0,0.0
0.75,always,4,1,1.0,0.0
0.75,always,8,1,1.0,0.0
0.75,bc,1,1,1.0,0.0
0.75,bc,2,1,1.0,0.0
0.75,bc,4,1,1.0,0.0
0.75,bc,8,1,1.0,0.0
0.75,never,1,1,0.0,0.0
0.75,never,2,1,0.0,0.0
0.75,never,4,1,0.0,0.0
0.75,never,8,1,0.0,0.0
0.75,proxy,1,1,0.22271819570069304,0.0
0.75,proxy,2,1,0.22271819570069304,0.0
0.75,proxy,4,1,0.22271819570069304,0.0
0.75,proxy,8,1,0.22271819570069304,0.0
0.75,random,1,1,0.5031911977759504,0.0
0.75,random,2,1,0.5031911977759504,0.0
0.75,random,4,1,0.5031911977759504,0.0
0.75,random,8,1,0.5031911977759504,0.0
1.0,always,1,1,1.0,0.0
1.0,always,2,1,1.0,0.0
1.0,always,4,1,1.0,0.0
1.0,always,8,1,1.0,0.0
1.0,bc,1,1,1.0,0.0
1.0,bc,2,1,1.0,0.0
1.0,bc,4,1,1.0,0.0
1.0,bc,8,1,1.0,0.0
1.0,never,1,1,0.0,0.0
1.0,never,2,1,0.0,0.0
1.0,never,4,1,0.0,0.0
1.0,never,8,1,0.0,0.0
1.0,proxy,1,1,0.22984759052065887,0.0
1.0,proxy,2,1,0.22984759052065887,0.0
1.0,proxy,4,1,0.22984759052065887,0.0
1.0,proxy,8,1,0.22984759052065887,0.0
1.0,random,1,1,0.5008956626435263,0.0
1.0,random,2,1,0.5008956626435263,0.0
1.0,random,4,1,0.5008956626435263,0.0
1.0,random,8,1,0.5008956626435263,0.0
