dataset_fraction,workload_name,workload_size,policy_mode,unique_trace_hashes,minimum_hash_match,max_intervention_rate_delta,mean_intervention_rate_delta,mean_intervention_rate,std_intervention_rate,reference_intervention_rate,max_unauthorized_invocations,max_fault_injected_count,deterministic_replay_interpretation
0.1,fraction_0p1,1135,always,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.1,fraction_0p1,1135,bc,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.1,fraction_0p1,1135,bc_live,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.1,fraction_0p1,1135,never,1,1,0.0,0.0,0.0,0.0,0.0,0,0,stable across seeds/workers
0.1,fraction_0p1,1135,random,3,1,0.0,0.0,0.507783,0.005739,0.507783,0,0,seed-dependent stochastic baseline
0.1,fraction_0p1,1135,risk_proxy,1,1,0.0,0.0,0.199119,0.0,0.199119,0,0,stable across seeds/workers
0.25,fraction_0p25,2837,always,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.25,fraction_0p25,2837,bc,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.25,fraction_0p25,2837,bc_live,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.25,fraction_0p25,2837,never,1,1,0.0,0.0,0.0,0.0,0.0,0,0,stable across seeds/workers
0.25,fraction_0p25,2837,random,3,1,0.0,0.0,0.494067,0.013458,0.494067,0,0,seed-dependent stochastic baseline
0.25,fraction_0p25,2837,risk_proxy,1,1,0.0,0.0,0.205146,0.0,0.205146,0,0,stable across seeds/workers
0.5,fraction_0p5,5675,always,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.5,fraction_0p5,5675,bc,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.5,fraction_0p5,5675,bc_live,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.5,fraction_0p5,5675,never,1,1,0.0,0.0,0.0,0.0,0.0,0,0,stable across seeds/workers
0.5,fraction_0p5,5675,random,3,1,0.0,0.0,0.498913,0.006738,0.498913,0,0,seed-dependent stochastic baseline
0.5,fraction_0p5,5675,risk_proxy,1,1,0.0,0.0,0.209515,0.0,0.209515,0,0,stable across seeds/workers
0.75,fraction_0p75,8513,always,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.75,fraction_0p75,8513,bc,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.75,fraction_0p75,8513,bc_live,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
0.75,fraction_0p75,8513,never,1,1,0.0,0.0,0.0,0.0,0.0,0,0,stable across seeds/workers
0.75,fraction_0p75,8513,random,3,1,0.0,0.0,0.496496,0.003056,0.496496,0,0,seed-dependent stochastic baseline
0.75,fraction_0p75,8513,risk_proxy,1,1,0.0,0.0,0.222718,0.0,0.222718,0,0,stable across seeds/workers
1.0,fraction_1p0,11351,always,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
1.0,fraction_1p0,11351,bc,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
1.0,fraction_1p0,11351,bc_live,1,1,0.0,0.0,1.0,0.0,1.0,0,0,stable across seeds/workers
1.0,fraction_1p0,11351,never,1,1,0.0,0.0,0.0,0.0,0.0,0,0,stable across seeds/workers
1.0,fraction_1p0,11351,random,3,1,0.0,0.0,0.499604,0.004058,0.499604,0,0,seed-dependent stochastic baseline
1.0,fraction_1p0,11351,risk_proxy,1,1,0.0,0.0,0.229848,0.0,0.229848,0,0,stable across seeds/workers
