workload_size,policy_mode,workers,hash_match,intervention_rate,unauthorized_invocations
11351,always,1,1,1.0,0
11351,always,2,1,1.0,0
11351,always,4,1,1.0,0
11351,always,8,1,1.0,0
11351,bc,1,1,1.0,0
11351,bc,2,1,1.0,0
11351,bc,4,1,1.0,0
11351,bc,8,1,1.0,0
11351,never,1,1,0.0,0
11351,never,2,1,0.0,0
11351,never,4,1,0.0,0
11351,never,8,1,0.0,0
11351,proxy,1,1,0.229848,0
11351,proxy,2,1,0.229848,0
11351,proxy,4,1,0.229848,0
11351,proxy,8,1,0.229848,0
11351,random,1,1,0.499956,0
11351,random,2,1,0.499956,0
11351,random,4,1,0.499956,0
11351,random,8,1,0.499956,0
50000,always,1,1,1.0,0
50000,always,2,1,1.0,0
50000,always,4,1,1.0,0
50000,always,8,1,1.0,0
50000,bc,1,1,1.0,0
50000,bc,2,1,1.0,0
50000,bc,4,1,1.0,0
50000,bc,8,1,1.0,0
50000,never,1,1,0.0,0
50000,never,2,1,0.0,0
50000,never,4,1,0.0,0
50000,never,8,1,0.0,0
50000,proxy,1,1,0.2288,0
50000,proxy,2,1,0.2288,0
50000,proxy,4,1,0.2288,0
50000,proxy,8,1,0.2288,0
50000,random,1,1,0.499953,0
50000,random,2,1,0.499953,0
50000,random,4,1,0.499953,0
50000,random,8,1,0.499953,0
100000,always,1,1,1.0,0
100000,always,2,1,1.0,0
100000,always,4,1,1.0,0
100000,always,8,1,1.0,0
100000,bc,1,1,1.0,0
100000,bc,2,1,1.0,0
100000,bc,4,1,1.0,0
100000,bc,8,1,1.0,0
100000,never,1,1,0.0,0
100000,never,2,1,0.0,0
100000,never,4,1,0.0,0
100000,never,8,1,0.0,0
100000,proxy,1,1,0.22937,0
100000,proxy,2,1,0.22937,0
100000,proxy,4,1,0.22937,0
100000,proxy,8,1,0.22937,0
100000,random,1,1,0.49998,0
100000,random,2,1,0.49998,0
100000,random,4,1,0.49998,0
100000,random,8,1,0.49998,0
500000,always,1,1,1.0,0
500000,always,2,1,1.0,0
500000,always,4,1,1.0,0
500000,always,8,1,1.0,0
500000,bc,1,1,1.0,0
500000,bc,2,1,1.0,0
500000,bc,4,1,1.0,0
500000,bc,8,1,1.0,0
500000,never,1,1,0.0,0
500000,never,2,1,0.0,0
500000,never,4,1,0.0,0
500000,never,8,1,0.0,0
500000,proxy,1,1,0.229812,0
500000,proxy,2,1,0.229812,0
500000,proxy,4,1,0.229812,0
500000,proxy,8,1,0.229812,0
500000,random,1,1,0.499996,0
500000,random,2,1,0.499996,0
500000,random,4,1,0.499996,0
500000,random,8,1,0.499996,0
1000000,always,1,1,1.0,0
1000000,always,2,1,1.0,0
1000000,always,4,1,1.0,0
1000000,always,8,1,1.0,0
1000000,bc,1,1,1.0,0
1000000,bc,2,1,1.0,0
1000000,bc,4,1,1.0,0
1000000,bc,8,1,1.0,0
1000000,never,1,1,0.0,0
1000000,never,2,1,0.0,0
1000000,never,4,1,0.0,0
1000000,never,8,1,0.0,0
1000000,proxy,1,1,0.22981,0
1000000,proxy,2,1,0.22981,0
1000000,proxy,4,1,0.22981,0
1000000,proxy,8,1,0.22981,0
1000000,random,1,1,0.5,0
1000000,random,2,1,0.5,0
1000000,random,4,1,0.5,0
1000000,random,8,1,0.5,0
