workload_size,policy_mode,workers,replay_runtime_seconds,throughput_points_per_second,policy_action_time_seconds,gating_time_seconds,aggregation_time_seconds,trace_hash_time_seconds,trace_hash_overhead_percent,intervention_rate,unauthorized_invocations
11351,always,1,0.000208,54784698.445655,3.4e-05,4.4e-05,5.6e-05,4.3e-05,20.847075,1.0,0
11351,always,2,0.000716,15922822.657706,0.000531,4.8e-05,4.6e-05,4.3e-05,6.062746,1.0,0
11351,always,4,0.000932,12218432.17442,0.000729,4.8e-05,4.9e-05,4.1e-05,4.448288,1.0,0
11351,always,8,0.001093,10435690.072679,0.000894,4.4e-05,4.5e-05,4.1e-05,3.738978,1.0,0
11351,bc,1,0.000203,56147606.87747,4.7e-05,4.3e-05,4.7e-05,4.4e-05,21.526549,1.0,0
11351,bc,2,0.000876,13093257.469958,0.00067,5.4e-05,4.7e-05,4.1e-05,4.771267,1.0,0
11351,bc,4,0.000875,13044534.378721,0.000675,5.2e-05,4.9e-05,3.9e-05,4.443501,1.0,0
11351,bc,8,0.001229,9284095.836758,0.001031,4.7e-05,4.5e-05,4e-05,3.270315,1.0,0
11351,never,1,0.000188,60775159.620546,2.8e-05,5.1e-05,4.5e-05,4.3e-05,22.93716,0.0,0
11351,never,2,0.000725,16112875.675545,0.000526,5.7e-05,4.7e-05,4.2e-05,5.801468,0.0,0
11351,never,4,0.000905,12598428.930513,0.000716,4.7e-05,4.5e-05,4.6e-05,5.100178,0.0,0
11351,never,8,0.001166,9756673.212899,0.000967,4.7e-05,4.5e-05,4e-05,3.462421,0.0,0
11351,proxy,1,0.001235,9283475.817833,0.001064,3.9e-05,4.6e-05,4.4e-05,3.6456,0.229848,0
11351,proxy,2,0.002168,5432511.471525,0.00197,4.5e-05,4.5e-05,4.3e-05,2.063352,0.229848,0
11351,proxy,4,0.002147,5322286.454273,0.001946,4.4e-05,4.4e-05,4e-05,1.859158,0.229848,0
11351,proxy,8,0.0025,4544857.004351,0.002305,4.3e-05,4.5e-05,4e-05,1.613909,0.229848,0
11351,random,1,0.000378,30120286.223816,0.000199,4.6e-05,5.2e-05,5.2e-05,13.693902,0.499956,0
11351,random,2,0.001039,11134077.262418,0.000852,4.6e-05,4.6e-05,4.2e-05,4.078621,0.499956,0
11351,random,4,0.00113,10359286.961482,0.000935,4.9e-05,4.9e-05,4.3e-05,3.878809,0.499956,0
11351,random,8,0.001672,6792299.051132,0.001469,5.2e-05,4.7e-05,4.1e-05,2.44344,0.499956,0
50000,always,1,0.000609,84033821.810966,0.000105,0.000118,0.000157,0.000198,33.566431,1.0,0
50000,always,2,0.001378,37453196.22019,0.000836,0.000119,0.000169,0.000174,12.625845,1.0,0
50000,always,4,0.001411,36399365.67081,0.000973,0.000107,0.000123,0.000138,9.763905,1.0,0
50000,always,8,0.001744,28855336.545036,0.001338,0.000106,0.000116,0.000134,7.809229,1.0,0
50000,bc,1,0.000516,102203904.173288,0.000157,8.2e-05,0.000114,0.00014,27.980108,1.0,0
50000,bc,2,0.001374,38386745.903953,0.00088,0.000138,0.000122,0.000164,11.880733,1.0,0
50000,bc,4,0.001722,30307278.139868,0.001145,0.000142,0.000143,0.000211,11.905875,1.0,0
