dataset_fraction,workload_name,policy_mode,seed,workers,faults_injected,trace_hash_clean,trace_hash_fault,hash_mismatch,detected_by_trace_hash,detected_by_fault_counter,intervention_rate_clean,intervention_rate_fault,intervention_rate_delta,clean_unauthorized_invocations,fault_unauthorized_invocations
1.0,fraction_1p0,risk_proxy,1,1,116,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,c648144569c0bf2ca3e0329e70e687d5445acc0427f429d6cb50854946542fb4,1,1,1,0.2298475905206589,0.2347810765571315,0.004933486036472617,0,0
1.0,fraction_1p0,risk_proxy,1,4,116,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,c648144569c0bf2ca3e0329e70e687d5445acc0427f429d6cb50854946542fb4,1,1,1,0.2298475905206589,0.2347810765571315,0.004933486036472617,0,0
1.0,fraction_1p0,risk_proxy,2,1,107,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,ba3ef68f13185b4911532d3a5429321afe5371604ea09cfc85b82359a6684595,1,1,1,0.2298475905206589,0.2353977623116906,0.005550171791031705,0,0
1.0,fraction_1p0,risk_proxy,2,4,107,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,ba3ef68f13185b4911532d3a5429321afe5371604ea09cfc85b82359a6684595,1,1,1,0.2298475905206589,0.2353977623116906,0.005550171791031705,0,0
1.0,fraction_1p0,risk_proxy,3,1,130,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,b72276ffb75bbef948ea72f1eb39984aa2dd01c2bf1841bbcb42092670fb0ef7,1,1,1,0.2298475905206589,0.2361906439961237,0.006343053475464794,0,0
1.0,fraction_1p0,risk_proxy,3,4,130,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,b72276ffb75bbef948ea72f1eb39984aa2dd01c2bf1841bbcb42092670fb0ef7,1,1,1,0.2298475905206589,0.2361906439961237,0.006343053475464794,0,0
1.0,fraction_1p0,random,1,1,114,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,944e99cc4f407c56a42d648e0fc13fd1a5049c533b310a88eaaa39af0487cf20,1,1,1,0.4966963263148621,0.4966963263148621,0.0,0,0
1.0,fraction_1p0,random,1,4,114,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,944e99cc4f407c56a42d648e0fc13fd1a5049c533b310a88eaaa39af0487cf20,1,1,1,0.4966963263148621,0.4966963263148621,0.0,0,0
1.0,fraction_1p0,random,2,1,109,aa749dbbb19706268d19257dca4ed780d471c6fcc79f9862ce9f50e273201b60,fb3a4176a7faafa97746e5691a004ae7fe627465ac70ed9d0a105cad7ddd3241,1,1,1,0.5006607347370275,0.4998678530525944,-0.0007928816844331443,0,0
1.0,fraction_1p0,random,2,4,109,aa749dbbb19706268d19257dca4ed780d471c6fcc79f9862ce9f50e273201b60,fb3a4176a7faafa97746e5691a004ae7fe627465ac70ed9d0a105cad7ddd3241,1,1,1,0.5006607347370275,0.4998678530525944,-0.0007928816844331443,0,0
1.0,fraction_1p0,random,3,1,119,76f0073221be78fecf7782d395d1637091575056c6d5791694d9d2d3a06ce2b8,757a6eb1bfe2b5512210e5f6db747a9b04572d1203c09241b521a0550237f7f3,1,1,1,0.5016298123513346,0.5006607347370275,-0.00096907761430709,0,0
1.0,fraction_1p0,random,3,4,119,76f0073221be78fecf7782d395d1637091575056c6d5791694d9d2d3a06ce2b8,757a6eb1bfe2b5512210e5f6db747a9b04572d1203c09241b521a0550237f7f3,1,1,1,0.5016298123513346,0.5006607347370275,-0.00096907761430709,0,0
1.0,fraction_1p0,never,1,1,107,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,2d3c7b2044214c3f9e44c95e541e8af3e21278dfe22c7addee88323df4be0992,1,1,1,0.0,0.00942648224826,0.00942648224826,0,0
1.0,fraction_1p0,never,1,4,107,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,2d3c7b2044214c3f9e44c95e541e8af3e21278dfe22c7addee88323df4be0992,1,1,1,0.0,0.00942648224826,0.00942648224826,0,0
1.0,fraction_1p0,never,2,1,132,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,ae23237c3e27868b2d40d2079aa292c76e9756d508dc6fbc164b1e6794c6ca39,1,1,1,0.0,0.0116289313716853,0.0116289313716853,0,0
1.0,fraction_1p0,never,2,4,132,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,ae23237c3e27868b2d40d2079aa292c76e9756d508dc6fbc164b1e6794c6ca39,1,1,1,0.0,0.0116289313716853,0.0116289313716853,0,0
1.0,fraction_1p0,never,3,1,102,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,3447aa6664b2a578134e3424fd30b74469c20eeb677b2f495033e0b1be92ebfe,1,1,1,0.0,0.008985992423575,0.008985992423575,0,0
1.0,fraction_1p0,never,3,4,102,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,3447aa6664b2a578134e3424fd30b74469c20eeb677b2f495033e0b1be92ebfe,1,1,1,0.0,0.008985992423575,0.008985992423575,0,0
