workload_size,policy_mode,injection_rate,eligible_non_intervention_rows,injected_violations,detected_violations,false_negatives,detection_recall,fault_detection_time_seconds
11351,never,0.001,11351.0,11.0,11.0,0,1.0,0.00012
11351,never,0.01,11351.0,114.0,114.0,0,1.0,0.000138
11351,never,0.05,11351.0,568.0,568.0,0,1.0,0.000134
11351,proxy,0.001,8742.0,9.0,9.0,0,1.0,0.000188
11351,proxy,0.01,8742.0,87.0,87.0,0,1.0,0.000135
11351,proxy,0.05,8742.0,437.0,437.0,0,1.0,0.000145
11351,random,0.001,5676.0,6.0,6.0,0,1.0,0.000119
11351,random,0.01,5676.0,57.0,57.0,0,1.0,0.000126
11351,random,0.05,5676.0,284.0,284.0,0,1.0,0.000145
100000,never,0.001,100000.0,100.0,100.0,0,1.0,0.00041
100000,never,0.01,100000.0,1000.0,1000.0,0,1.0,0.00039
100000,never,0.05,100000.0,5000.0,5000.0,0,1.0,0.00097
100000,proxy,0.001,77063.0,77.0,77.0,0,1.0,0.000414
100000,proxy,0.01,77063.0,771.0,771.0,0,1.0,0.000403
100000,proxy,0.05,77063.0,3853.0,3853.0,0,1.0,0.000582
100000,random,0.001,50002.0,50.0,50.0,0,1.0,0.00052
100000,random,0.01,50002.0,500.0,500.0,0,1.0,0.000587
100000,random,0.05,50002.0,2500.0,2500.0,0,1.0,0.000816
1000000,never,0.001,1000000.0,1000.0,1000.0,0,1.0,0.003994
1000000,never,0.01,1000000.0,10000.0,10000.0,0,1.0,0.004715
1000000,never,0.05,1000000.0,50000.0,50000.0,0,1.0,0.008272
1000000,proxy,0.001,770190.0,770.0,770.0,0,1.0,0.003783
1000000,proxy,0.01,770190.0,7702.0,7702.0,0,1.0,0.003631
1000000,proxy,0.05,770190.0,38510.0,38510.0,0,1.0,0.006613
1000000,random,0.001,500000.0,500.0,500.0,0,1.0,0.002922
1000000,random,0.01,500000.0,5000.0,5000.0,0,1.0,0.003763
1000000,random,0.05,500000.0,25000.0,25000.0,0,1.0,0.006505
