dataset_fraction,workload_name,policy_mode,seed,workers,faults_injected,clean_unauthorized_invocations,fault_unauthorized_invocations,unauthorized_delta,detected_by_unauthorized_counter,detected_by_fault_counter,intervention_rate_clean,intervention_rate_fault,trace_hash_clean,trace_hash_fault
1.0,fraction_1p0,risk_proxy,1,1,82,0,82,82,1,1,0.2298475905206589,0.2298475905206589,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2
1.0,fraction_1p0,risk_proxy,1,4,82,0,82,82,1,1,0.2298475905206589,0.2298475905206589,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2
1.0,fraction_1p0,risk_proxy,2,1,73,0,73,73,1,1,0.2298475905206589,0.2298475905206589,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2
1.0,fraction_1p0,risk_proxy,2,4,73,0,73,73,1,1,0.2298475905206589,0.2298475905206589,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2
1.0,fraction_1p0,risk_proxy,3,1,82,0,82,82,1,1,0.2298475905206589,0.2298475905206589,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2
1.0,fraction_1p0,risk_proxy,3,4,82,0,82,82,1,1,0.2298475905206589,0.2298475905206589,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2
1.0,fraction_1p0,random,1,1,57,0,57,57,1,1,0.5006607347370275,0.5006607347370275,37845ce378b96aefc966f517606a9be3a14161bb412220ab92d35b8f8a806ab3,37845ce378b96aefc966f517606a9be3a14161bb412220ab92d35b8f8a806ab3
1.0,fraction_1p0,random,1,4,57,0,57,57,1,1,0.5006607347370275,0.5006607347370275,37845ce378b96aefc966f517606a9be3a14161bb412220ab92d35b8f8a806ab3,37845ce378b96aefc966f517606a9be3a14161bb412220ab92d35b8f8a806ab3
1.0,fraction_1p0,random,2,1,58,0,58,58,1,1,0.5037441635098229,0.5037441635098229,8faaf9cedc9a094533bba5d17d70e9265456c139b4c987b6ba61a414de5e1f32,8faaf9cedc9a094533bba5d17d70e9265456c139b4c987b6ba61a414de5e1f32
1.0,fraction_1p0,random,2,4,58,0,58,58,1,1,0.5037441635098229,0.5037441635098229,8faaf9cedc9a094533bba5d17d70e9265456c139b4c987b6ba61a414de5e1f32,8faaf9cedc9a094533bba5d17d70e9265456c139b4c987b6ba61a414de5e1f32
1.0,fraction_1p0,random,3,1,61,0,61,61,1,1,0.4944057792264998,0.4944057792264998,8d6575acdc8aadebe8874b2e32b429d130a7f11acac67bf0f5880533e5e7916a,8d6575acdc8aadebe8874b2e32b429d130a7f11acac67bf0f5880533e5e7916a
1.0,fraction_1p0,random,3,4,61,0,61,61,1,1,0.4944057792264998,0.4944057792264998,8d6575acdc8aadebe8874b2e32b429d130a7f11acac67bf0f5880533e5e7916a,8d6575acdc8aadebe8874b2e32b429d130a7f11acac67bf0f5880533e5e7916a
1.0,fraction_1p0,never,1,1,110,0,110,110,1,1,0.0,0.0,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9
1.0,fraction_1p0,never,1,4,110,0,110,110,1,1,0.0,0.0,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9
1.0,fraction_1p0,never,2,1,82,0,82,82,1,1,0.0,0.0,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9
1.0,fraction_1p0,never,2,4,82,0,82,82,1,1,0.0,0.0,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9
1.0,fraction_1p0,never,3,1,115,0,115,115,1,1,0.0,0.0,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9
1.0,fraction_1p0,never,3,4,115,0,115,115,1,1,0.0,0.0,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9
