dataset_fraction,workload_name,workload_size,seed,workers,rows,bc_live_intervention_rate,bc_live_action_0_count,bc_live_action_1_count,state_loading_ms_mean,state_loading_ms_std,policy_inference_ms_mean,policy_inference_ms_std
0.1,fraction_0p1,1135,1,1,1135,1.0,0,1135,0.520756,0.120555,0.343525,0.0
0.1,fraction_0p1,1135,1,2,1135,1.0,0,1135,0.452339,0.051029,0.004036,0.0
0.1,fraction_0p1,1135,1,4,1135,1.0,0,1135,0.459448,0.054321,0.004068,0.0
0.1,fraction_0p1,1135,1,8,1135,1.0,0,1135,0.437042,0.064869,0.003829,0.0
0.1,fraction_0p1,1135,2,1,1135,1.0,0,1135,0.497745,0.071887,0.004589,0.0
0.1,fraction_0p1,1135,2,2,1135,1.0,0,1135,0.472751,0.083651,0.005715,0.0
0.1,fraction_0p1,1135,2,4,1135,1.0,0,1135,0.488887,0.094,0.004465,0.0
0.1,fraction_0p1,1135,2,8,1135,1.0,0,1135,0.501895,0.076046,0.007455,0.0
0.1,fraction_0p1,1135,3,1,1135,1.0,0,1135,0.486791,0.092795,0.004128,0.0
0.1,fraction_0p1,1135,3,2,1135,1.0,0,1135,0.44986,0.057085,0.00418,0.0
0.1,fraction_0p1,1135,3,4,1135,1.0,0,1135,0.454547,0.05675,0.004393,0.0
0.1,fraction_0p1,1135,3,8,1135,1.0,0,1135,0.450301,0.051215,0.00467,0.0
0.25,fraction_0p25,2837,1,1,2837,1.0,0,2837,0.505998,0.092825,0.003994,0.0
0.25,fraction_0p25,2837,1,2,2837,1.0,0,2837,0.492614,0.070614,0.003944,0.0
0.25,fraction_0p25,2837,1,4,2837,1.0,0,2837,0.481605,0.089809,0.003845,0.0
0.25,fraction_0p25,2837,1,8,2837,1.0,0,2837,0.48784,0.104429,0.005915,0.0
0.25,fraction_0p25,2837,2,1,2837,1.0,0,2837,0.498329,0.093927,0.004274,0.0
0.25,fraction_0p25,2837,2,2,2837,1.0,0,2837,0.475867,0.073489,0.004001,0.0
0.25,fraction_0p25,2837,2,4,2837,1.0,0,2837,0.490895,0.116765,0.005215,0.0
0.25,fraction_0p25,2837,2,8,2837,1.0,0,2837,0.501629,0.107335,0.004119,0.0
0.25,fraction_0p25,2837,3,1,2837,1.0,0,2837,0.46953,0.088453,0.004001,0.0
0.25,fraction_0p25,2837,3,2,2837,1.0,0,2837,0.472105,0.076843,0.003825,0.0
0.25,fraction_0p25,2837,3,4,2837,1.0,0,2837,0.504535,0.100806,0.004147,0.0
0.25,fraction_0p25,2837,3,8,2837,1.0,0,2837,0.491766,0.079031,0.003926,0.0
0.5,fraction_0p5,5675,1,1,5675,1.0,0,5675,0.481352,0.085767,0.00408,0.000181
0.5,fraction_0p5,5675,1,2,5675,1.0,0,5675,0.466434,0.062176,0.004843,0.001045
0.5,fraction_0p5,5675,1,4,5675,1.0,0,5675,0.477585,0.073055,0.003959,1e-06
0.5,fraction_0p5,5675,1,8,5675,1.0,0,5675,0.482491,0.08976,0.004239,2.7e-05
0.5,fraction_0p5,5675,2,1,5675,1.0,0,5675,0.469576,0.067528,0.003956,2e-06
0.5,fraction_0p5,5675,2,2,5675,1.0,0,5675,0.479177,0.08343,0.004127,0.000102
0.5,fraction_0p5,5675,2,4,5675,1.0,0,5675,0.483216,0.071559,0.004029,0.000232
0.5,fraction_0p5,5675,2,8,5675,1.0,0,5675,0.480037,0.592857,0.004041,5.9e-05
0.5,fraction_0p5,5675,3,1,5675,1.0,0,5675,0.480348,0.100292,0.004416,0.00017
0.5,fraction_0p5,5675,3,2,5675,1.0,0,5675,0.478023,0.056733,0.004236,2.8e-05
0.5,fraction_0p5,5675,3,4,5675,1.0,0,5675,0.475739,0.080357,0.003976,1.1e-05
0.5,fraction_0p5,5675,3,8,5675,1.0,0,5675,0.477746,0.075857,0.004242,6.6e-05
0.75,fraction_0p75,8513,1,1,8513,1.0,0,8513,0.467473,0.076829,0.003834,0.00016
0.75,fraction_0p75,8513,1,2,8513,1.0,0,8513,0.468998,0.071064,0.004248,0.000663
0.75,fraction_0p75,8513,1,4,8513,1.0,0,8513,0.470255,0.06454,0.004212,0.000492
0.75,fraction_0p75,8513,1,8,8513,1.0,0,8513,0.466087,0.097075,0.004054,0.000588
0.75,fraction_0p75,8513,2,1,8513,1.0,0,8513,0.475586,0.082028,0.004007,0.000314
0.75,fraction_0p75,8513,2,2,8513,1.0,0,8513,0.46617,0.066253,0.004268,0.000704
0.75,fraction_0p75,8513,2,4,8513,1.0,0,8513,0.465389,0.059894,0.004085,0.000539
0.75,fraction_0p75,8513,2,8,8513,1.0,0,8513,0.458048,0.061691,0.004076,0.000543
0.75,fraction_0p75,8513,3,1,8513,1.0,0,8513,0.468853,0.078377,0.004358,0.000549
0.75,fraction_0p75,8513,3,2,8513,1.0,0,8513,0.469901,0.095629,0.004166,0.000722
0.75,fraction_0p75,8513,3,4,8513,1.0,0,8513,0.476257,0.079036,0.003956,0.000168
0.75,fraction_0p75,8513,3,8,8513,1.0,0,8513,0.471359,0.0792,0.004457,0.000552
1.0,fraction_1p0,11351,1,1,11351,1.0,0,11351,0.463189,0.076075,0.004063,0.000209
1.0,fraction_1p0,11351,1,2,11351,1.0,0,11351,0.474886,0.06758,0.004149,0.000333
1.0,fraction_1p0,11351,1,4,11351,1.0,0,11351,0.4628,0.06882,0.004039,0.000223
1.0,fraction_1p0,11351,1,8,11351,1.0,0,11351,0.467862,0.066034,0.003984,0.000251
1.0,fraction_1p0,11351,2,1,11351,1.0,0,11351,0.464862,0.080781,0.003929,0.000133
1.0,fraction_1p0,11351,2,2,11351,1.0,0,11351,0.485748,0.099983,0.004024,0.00022
1.0,fraction_1p0,11351,2,4,11351,1.0,0,11351,0.465674,0.348741,0.003973,0.000123
1.0,fraction_1p0,11351,2,8,11351,1.0,0,11351,0.466442,0.09056,0.004017,0.000119
1.0,fraction_1p0,11351,3,1,11351,1.0,0,11351,0.465915,0.06238,0.003964,0.000126
1.0,fraction_1p0,11351,3,2,11351,1.0,0,11351,0.453804,0.06993,0.003947,0.000142
1.0,fraction_1p0,11351,3,4,11351,1.0,0,11351,0.457908,0.067984,0.003936,0.00011
1.0,fraction_1p0,11351,3,8,11351,1.0,0,11351,0.45164,0.067336,0.004043,0.000123
