dataset_fraction,policy_mode,workers,runtime_seconds,throughput_points_per_second,speedup_vs_single_worker
0.25,always,1,1.0222089666676766,2776.1847580852714,1.0
0.25,always,2,1.1524390333336971,2462.596896576861,0.8873829630163774
0.25,always,4,1.168124566665938,2429.20168603666,0.8752007307838153
0.25,always,8,1.1554390333343083,2455.343742879828,0.8846932728112605
0.25,bc,1,1.0593234000007214,2683.225790532442,1.0
0.25,bc,2,1.1564512666664086,2453.5126301992354,0.916130358649951
0.25,bc,4,1.1787959666677732,2407.475086369032,0.8982472116640611
0.25,bc,8,1.181924366667469,2400.57971623998,0.8961719958961233
0.25,never,1,0.9878626666662361,2871.992003657513,1.0
0.25,never,2,1.1340710999999526,2502.5641036398533,0.8713007073908537
0.25,never,4,1.1433363333332334,2481.3697795979206,0.8640493259179683
0.25,never,8,1.1168884666682668,2540.5181121259143,0.8847018182182828
0.25,proxy,1,1.0035526000004513,2828.8209471931164,1.0
0.25,proxy,2,1.1064180333317684,2564.899919627244,0.9069712020175503
0.25,proxy,4,1.1751897333330514,2414.2489422116982,0.8540491786048984
0.25,proxy,8,1.1536687666666694,2459.1113986979412,0.8698803875830533
0.25,random,1,1.0628068000005442,2670.2164684461773,1.0
0.25,random,2,1.1816332333328319,2402.861955322344,0.9004684130604037
0.25,random,4,1.1884748333335058,2387.6801377609427,0.8943842027952457
0.25,random,8,1.1712404666662526,2422.303451008916,0.9075491920509391
0.5,always,1,2.075903233332307,2734.5230532487603,1.0
0.5,always,2,2.305906366667235,2462.4722338533834,0.9004503346412108
0.5,always,4,2.346730833333519,2418.285225685648,0.8846438852868125
0.5,always,8,2.297201600000941,2470.410669946271,0.9036943457909135
0.5,bc,1,2.0608480666669493,2753.928714298087,1.0
0.5,bc,2,2.3165156999990963,2449.9341859132123,0.8897296599387284
0.5,bc,4,2.347254766665477,2417.8984656745865,0.8781108424207397
0.5,bc,8,2.318289600002269,2448.2687434169543,0.8889865706120309
0.5,never,1,1.9853568999981992,2858.7868482923964,1.0
0.5,never,2,2.2147803666654604,2562.7546237721403,0.8964735956079165
0.5,never,4,2.285186933332928,2483.9186796490726,0.8689264101493898
0.5,never,8,2.2407812333331094,2532.7258344529055,0.8859941990995982
0.5,proxy,1,2.0232662666676333,2805.6241392714733,1.0
0.5,proxy,2,2.284802033333108,2484.00160601457,0.8856453483655002
0.5,proxy,4,2.2948208666663654,2473.3596407567366,0.8816279456035964
0.5,proxy,8,2.2533010666666087,2518.772701466489,0.8980711808063351
0.5,random,1,2.0641866000005393,2749.5444682638413,1.0
0.5,random,2,2.333950399999594,2432.2322826834575,0.8847283111952846
0.5,random,4,2.36587613333298,2399.440824991944,0.8727526933060465
0.5,random,8,2.3511936333319077,2413.8102314208377,0.8779658101766158
0.75,always,1,3.0689560000003744,2773.9237063129417,1.0
0.75,always,2,3.4758974999992156,2449.842477093049,0.8831974675229598
0.75,always,4,3.5015519333331517,2431.8651378991076,0.8766581438352805
0.75,always,8,3.468237066666916,2454.640210523815,0.8849053996688303
0.75,bc,1,3.092977033332621,2752.6863936702644,1.0
0.75,bc,2,3.4720553000006475,2452.527005853064,0.8909298030499274
0.75,bc,4,3.516559000000901,2421.110830787117,0.8797086486566309
0.75,bc,8,3.494155200000629,2436.4495892871496,0.8851613069186822
0.75,never,1,3.1889769333344398,2673.2954159060855,1.0
0.75,never,2,3.4656297000013487,2460.8027244914,0.9209241009306858
0.75,never,4,3.4970377666674417,2435.591115311999,0.9119904649306028
0.75,never,8,3.390333766667027,2511.168028864967,0.9406357138125571
0.75,proxy,1,3.0910109000008865,2754.3889426359765,1.0
0.75,proxy,2,3.3602911999987555,2533.851166666309,0.9200831536728278
0.75,proxy,4,3.4748288666681524,2450.090082620293,0.8896843945851819
0.75,proxy,8,3.4021147999992536,2502.457448086417,0.9086076717005822
0.75,random,1,3.1554083666669612,2698.336039830118,1.0
0.75,random,2,3.5337658999997075,2409.4525320008,0.893091645002338
0.75,random,4,3.612535399999615,2356.604594315337,0.8735379754447633
0.75,random,8,3.6068914666648197,2362.1311267706524,0.8757865985305952
1.0,always,1,4.083265566667251,2780.659852830693,1.0
1.0,always,2,4.596438933332441,2470.601113819398,0.8889397650860166
1.0,always,4,4.684522533332104,2423.5180973355696,0.8716141963940286
1.0,always,8,4.641076633333189,2445.803440429923,0.8798688060861335
1.0,bc,1,4.054156733333609,2799.8708966380823,1.0
1.0,bc,2,4.585452100000111,2476.7166693427826,0.8845486505542658
1.0,bc,4,4.692349899999196,2419.1484647323673,0.8640438816050326
1.0,bc,8,4.635724999998881,2448.677508338083,0.8745610132052555
1.0,never,1,3.898781500001254,2911.4390914247256,1.0
1.0,never,2,4.414048633333247,2572.5719958896684,0.8836522440187506
1.0,never,4,4.5306301999989955,2505.737409746001,0.8606332373140421
1.0,never,8,4.4896868666667915,2528.355714763155,0.868419162508587
1.0,proxy,1,4.070492766667788,2792.0801976889684,1.0
1.0,proxy,2,4.801303266667674,2365.246053319118,0.8484246818649853
1.0,proxy,4,4.659766633333978,2436.1094913711163,0.8733532235040845
1.0,proxy,8,4.633771999999833,2450.988528781478,0.8789340445133272
1.0,random,1,4.1369680666660615,2745.2250789716486,1.0
1.0,random,2,4.663082866666325,2434.684589679124,0.8870979075136676
1.0,random,4,4.794516866665314,2367.6937735856864,0.8629702534250452
1.0,random,8,4.708866999999979,2410.582923990509,0.8785689350339592
