dataset_fraction,workload_name,workload_size,policy_mode,workers,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max,throughput_points_per_second_mean,throughput_points_per_second_std,throughput_points_per_second_min,throughput_points_per_second_max,speedup_vs_single_worker_mean,speedup_vs_single_worker_std,speedup_vs_single_worker_min,speedup_vs_single_worker_max,throughput_gain_vs_single_worker_mean,throughput_gain_vs_single_worker_std,throughput_gain_vs_single_worker_min,throughput_gain_vs_single_worker_max
0.1,fraction_0p1,1135,always,1,0.018184,0.000298,0.017866,0.018457,62427.83192,1027.751016,61492.618182,63528.134291,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.1,fraction_0p1,1135,always,2,0.037819,0.002331,0.035134,0.039324,30090.271949,1921.605141,28862.707602,32304.797902,0.482367,0.037791,0.45433,0.525344,0.482367,0.037791,0.45433,0.525344
0.1,fraction_0p1,1135,always,4,0.052799,0.02599,0.037567,0.082808,24590.227755,9427.408502,13706.388626,30212.606243,0.392679,0.147237,0.222895,0.485244,0.392679,0.147237,0.222895,0.485244
0.1,fraction_0p1,1135,always,8,0.040974,0.004655,0.037004,0.046097,27932.161089,3065.218451,24621.992754,30672.442635,0.447229,0.046128,0.400406,0.492629,0.447229,0.046128,0.400406,0.492629
0.1,fraction_0p1,1135,never,1,0.010022,0.000585,0.009353,0.010441,113516.205551,6838.131843,108711.268615,121344.951093,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.1,fraction_0p1,1135,never,2,0.028279,0.001275,0.027346,0.029731,40189.255652,1771.370142,38175.256378,41505.459706,0.354417,0.01428,0.342045,0.370044,0.354417,0.01428,0.342045,0.370044
0.1,fraction_0p1,1135,never,4,0.044529,0.023777,0.027854,0.071755,29989.964933,12811.295535,15817.64692,40748.772151,0.268804,0.123786,0.130353,0.368793,0.268804,0.123786,0.130353,0.368793
0.1,fraction_0p1,1135,never,8,0.048265,0.02962,0.029504,0.082412,28920.595955,13266.60491,13772.199329,38468.968929,0.25311,0.114021,0.126686,0.348159,0.25311,0.114021,0.126686,0.348159
0.1,fraction_0p1,1135,random,1,0.01964,0.001299,0.018267,0.02085,57960.536993,3889.180218,54436.973018,62133.56253,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.1,fraction_0p1,1135,random,2,0.053286,0.021945,0.037369,0.07832,23520.488185,8161.219677,14491.754383,30373.012708,0.40458,0.13166,0.252861,0.488834,0.40458,0.13166,0.252861,0.488834
0.1,fraction_0p1,1135,random,4,0.03705,0.002461,0.035162,0.039834,30722.123638,1980.191185,28493.390035,32278.889606,0.531128,0.041021,0.497171,0.576705,0.531128,0.041021,0.497171,0.576705
0.1,fraction_0p1,1135,random,8,0.038705,0.00221,0.036964,0.041191,29387.050524,1637.332175,27554.362208,30705.634416,0.508695,0.047947,0.480786,0.564058,0.508695,0.047947,0.480786,0.564058
