workload_size,index,policy_mode,workers,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_max,throughput_points_per_second_mean,throughput_points_per_second_std,throughput_points_per_second_max,speedup_vs_single_worker_mean,speedup_vs_single_worker_std,speedup_vs_single_worker_max,throughput_gain_vs_single_worker_mean,throughput_gain_vs_single_worker_std,throughput_gain_vs_single_worker_max
11351,0,always,1,0.155457,0.0012,0.156798,73019.697046,562.066896,73477.578366,1.0,0.0,1.0,1.0,0.0,1.0
11351,1,always,2,0.418683,0.005115,0.42258,27113.947262,333.192423,27491.52379,0.371319,0.002705,0.374148,0.371319,0.002705,0.374148
11351,2,always,4,0.386503,0.045947,0.439395,29630.233541,3303.331598,31843.747659,0.405883,0.046443,0.439877,0.405883,0.046443,0.439877
11351,3,always,8,0.463302,0.048393,0.518924,24669.906579,2437.086095,26345.308523,0.338,0.035377,0.363924,0.338,0.035377,0.363924
11351,4,never,1,0.099063,0.002916,0.102026,114650.295697,3371.227762,117997.810735,1.0,0.0,1.0,1.0,0.0,1.0
11351,5,never,2,0.411102,0.049953,0.441343,27906.492538,3645.910066,32115.340217,0.243007,0.025404,0.272169,0.243007,0.025404,0.272169
11351,6,never,4,0.37011,0.074061,0.448841,31485.727653,6159.179811,37607.237447,0.274292,0.049778,0.318711,0.274292,0.049778,0.318711
11351,7,never,8,0.306369,0.02158,0.331277,37168.212583,2516.12766,38701.727684,0.323989,0.014434,0.336002,0.323989,0.014434,0.336002
11351,8,random,1,0.17415,0.008786,0.18036,65293.127864,3385.413662,69172.290864,1.0,0.0,1.0,1.0,0.0,1.0
11351,9,random,2,0.509221,0.118855,0.646154,23030.322233,4754.235496,26227.736981,0.352191,0.067415,0.401941,0.352191,0.067415,0.401941
11351,10,random,4,0.411479,0.027427,0.437235,27668.841957,1868.726628,29664.866198,0.42476,0.040744,0.471356,0.42476,0.040744,0.471356
11351,11,random,8,0.391578,0.023921,0.416937,29059.387974,1756.99787,30726.777205,0.44503,0.012877,0.458299,0.44503,0.012877,0.458299
11351,12,risk_proxy,1,0.13574,0.024334,0.163746,85284.622468,13907.63443,94780.754271,1.0,0.0,1.0,1.0,0.0,1.0
11351,13,risk_proxy,2,0.37515,0.061793,0.437489,30817.226551,5122.91239,36159.181951,0.362853,0.038262,0.394096,0.362853,0.038262,0.394096
11351,14,risk_proxy,4,0.365931,0.069363,0.445808,31706.084927,5435.215786,35373.051537,0.38419,0.121165,0.510279,0.38419,0.121165,0.510279
11351,15,risk_proxy,8,0.396789,0.068554,0.472866,29154.154103,4763.886536,33404.226454,0.353529,0.11456,0.481878,0.353529,0.11456,0.481878
