dataset_fraction,workload_name,workload_size,policy_mode,workers,runtime_seconds_mean,runtime_seconds_std,throughput_points_per_second_mean,throughput_points_per_second_std,intervention_rate_mean,intervention_rate_std,unauthorized_invocations_max,fault_injected_count_max,memory_delta_mb_max,state_missing_count_max
0.1,fraction_0p1,1135,always,1,0.934479,,1215.851548,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,always,2,0.90686,,1251.797917,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,always,4,0.858612,,1322.760854,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,always,8,0.848899,,1337.306192,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,bc,1,0.920832,,1232.926635,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,bc,2,0.890601,,1276.489437,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,bc,4,0.862689,,1315.787647,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,bc,8,0.852337,,1332.347166,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,bc_live,1,1.082645,,1456.91717,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,bc_live,2,0.574307,,1978.404945,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,bc_live,4,0.599686,,1894.766368,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,bc_live,8,0.597333,,1904.635602,,1.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,never,1,0.922004,,1231.814698,,0.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,never,2,0.875743,,1296.718364,,0.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,never,4,0.832489,,1364.57233,,0.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,never,8,0.852564,,1332.297521,,0.0,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,random,1,0.93764,,1211.698616,,0.507783,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,random,2,0.894926,,1269.93671,,0.507783,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,random,4,0.840211,,1350.980271,,0.507783,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,random,8,0.860701,,1319.182956,,0.507783,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,risk_proxy,1,7.450272,,815.636114,,0.199119,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,risk_proxy,2,0.952061,,1193.433044,,0.199119,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,risk_proxy,4,0.841054,,1351.108395,,0.199119,,0.0,0.0,,0.0
0.1,fraction_0p1,1135,risk_proxy,8,0.841469,,1348.84607,,0.199119,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,always,1,2.330744,,1218.217935,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,always,2,2.228418,,1273.60814,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,always,4,2.144072,,1323.510575,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,always,8,2.143651,,1324.044425,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,bc,1,2.256256,,1257.468575,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,bc,2,2.249981,,1260.911447,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,bc,4,2.129433,,1332.376968,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,bc,8,2.139204,,1326.232552,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,bc_live,1,1.470384,,1931.292759,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,bc_live,2,1.531276,,1853.720405,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,bc_live,4,1.557539,,1823.433028,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,bc_live,8,1.549626,,1831.581301,,1.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,never,1,2.258345,,1256.485454,,0.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,never,2,2.219913,,1278.672927,,0.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,never,4,2.102418,,1349.450143,,0.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,never,8,2.08606,,1360.062709,,0.0,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,random,1,2.319053,,1223.448406,,0.494067,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,random,2,2.255268,,1258.35508,,0.494067,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,random,4,2.13254,,1330.403413,,0.494067,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,random,8,2.172296,,1306.188122,,0.494067,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,risk_proxy,1,10.669505,,857.854917,,0.205146,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,risk_proxy,2,2.198483,,1290.493347,,0.205146,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,risk_proxy,4,2.125244,,1334.936704,,0.205146,,0.0,0.0,,0.0
0.25,fraction_0p25,2837,risk_proxy,8,2.112811,,1343.033821,,0.205146,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,always,1,4.536772,,1250.912363,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,always,2,4.440384,,1278.055565,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,always,4,4.209091,,1348.311834,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,always,8,4.324244,,1312.409503,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,bc,1,4.608137,,1232.225842,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,bc,2,4.443507,,1277.40937,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,bc,4,4.200303,,1351.363228,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,bc,8,4.258481,,1332.641261,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,bc_live,1,2.858795,,1985.345949,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,bc_live,2,3.026424,,1875.272779,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,bc_live,4,2.994607,,1895.152212,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,bc_live,8,2.999668,,1891.941295,,1.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,never,1,4.490899,,1263.761099,,0.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,never,2,4.321294,,1313.406696,,0.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,never,4,4.164206,,1363.175794,,0.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,never,8,4.201905,,1350.637832,,0.0,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,random,1,4.640003,,1224.338164,,0.498913,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,random,2,4.419808,,1284.248475,,0.498913,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,random,4,4.241485,,1338.109074,,0.498913,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,random,8,4.32714,,1311.509663,,0.498913,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,risk_proxy,1,14.044173,,900.868727,,0.209515,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,risk_proxy,2,4.396512,,1290.836598,,0.209515,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,risk_proxy,4,4.211505,,1348.353164,,0.209515,,0.0,0.0,,0.0
0.5,fraction_0p5,5675,risk_proxy,8,4.247241,,1336.189011,,0.209515,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,always,1,6.771349,,1258.161665,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,always,2,6.702693,,1270.126776,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,always,4,6.335818,,1343.857987,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,always,8,6.394646,,1331.284282,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,bc,1,6.712504,,1268.78258,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,bc,2,6.641573,,1281.933964,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,bc,4,6.319231,,1347.233399,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,bc,8,6.396298,,1330.988467,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,bc_live,1,4.228245,,2013.470348,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,bc_live,2,4.393871,,1937.546146,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,bc_live,4,4.422017,,1925.182651,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,bc_live,8,4.47118,,1904.722666,,1.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,never,1,6.724105,,1267.104772,,0.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,never,2,6.618442,,1286.826089,,0.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,never,4,6.214418,,1369.940736,,0.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,never,8,6.322626,,1346.605101,,0.0,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,random,1,6.732757,,1264.444246,,0.496496,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,random,2,6.719655,,1267.054249,,0.496496,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,random,4,6.358512,,1338.868431,,0.496496,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,random,8,6.441632,,1321.627076,,0.496496,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,risk_proxy,1,18.389685,,923.705678,,0.222718,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,risk_proxy,2,6.547627,,1300.315771,,0.222718,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,risk_proxy,4,6.257996,,1360.488241,,0.222718,,0.0,0.0,,0.0
0.75,fraction_0p75,8513,risk_proxy,8,6.314205,,1348.262225,,0.222718,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,always,1,8.931404,,1272.114215,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,always,2,8.794088,,1291.354617,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,always,4,8.436311,,1345.674275,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,always,8,8.449611,,1343.381245,,1.0,,0.0,0.0,,0.0
1.0,fraction_1p0,11351,bc,1,9.097484,,1248.134927,,1.0,,0.0,0.0,,0.0
