workload_size,policy_mode,workers,runtime_seconds_mean,runtime_seconds_std,throughput_points_per_second_mean,throughput_points_per_second_std,throughput_points_per_second_max,intervention_rate_mean,unauthorized_invocations_max,fault_injected_count_max,state_missing_count_max
11351,always,1,0.155457,0.0012,73019.697046,562.066896,73477.578366,1.0,0,0,11351
11351,always,2,0.418683,0.005115,27113.947262,333.192423,27491.52379,1.0,0,0,11351
11351,always,4,0.386503,0.045947,29630.233541,3303.331598,31843.747659,1.0,0,0,11351
11351,always,8,0.463302,0.048393,24669.906579,2437.086095,26345.308523,1.0,0,0,11351
11351,never,1,0.099063,0.002916,114650.295697,3371.227762,117997.810735,0.0,0,0,11351
11351,never,2,0.411102,0.049953,27906.492538,3645.910066,32115.340217,0.0,0,0,11351
11351,never,4,0.37011,0.074061,31485.727653,6159.179811,37607.237447,0.0,0,0,11351
11351,never,8,0.306369,0.02158,37168.212583,2516.12766,38701.727684,0.0,0,0,11351
11351,random,1,0.17415,0.008786,65293.127864,3385.413662,69172.290864,0.499662,0,0,11351
11351,random,2,0.509221,0.118855,23030.322233,4754.235496,26227.736981,0.499662,0,0,11351
11351,random,4,0.411479,0.027427,27668.841957,1868.726628,29664.866198,0.499662,0,0,11351
11351,random,8,0.391578,0.023921,29059.387974,1756.99787,30726.777205,0.499662,0,0,11351
11351,risk_proxy,1,0.13574,0.024334,85284.622468,13907.63443,94780.754271,0.229848,0,0,11351
11351,risk_proxy,2,0.37515,0.061793,30817.226551,5122.91239,36159.181951,0.229848,0,0,11351
11351,risk_proxy,4,0.365931,0.069363,31706.084927,5435.215786,35373.051537,0.229848,0,0,11351
11351,risk_proxy,8,0.396789,0.068554,29154.154103,4763.886536,33404.226454,0.229848,0,0,11351
