dataset_fraction,decision_points,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,p95_latency_ms,memory_delta_mb,intervention_rate,unauthorized_invocations
0.25,2837,always,1,1.0222089666676766,2776.1847580852714,0.2534240159858707,0.3312733339650245,,1.0,0.0
0.25,2837,always,2,1.1524390333336971,2462.596896576861,0.677816425810687,0.7825066670193336,,1.0,0.0
0.25,2837,always,4,1.168124566665938,2429.20168603666,1.4999324168870292,1.9891000001128607,,1.0,0.0
0.25,2837,always,8,1.1554390333343083,2455.343742879828,3.0694783691690923,4.481113333167741,,1.0,0.0
0.25,2837,bc,1,1.0593234000007214,2683.225790532442,0.26315013510532526,0.33146000084040367,,1.0,0.0
0.25,2837,bc,2,1.1564512666664086,2453.5126301992354,0.6779886969583169,0.7656400002209315,,1.0,0.0
0.25,2837,bc,4,1.1787959666677732,2407.475086369032,1.514112795193702,2.02169999902253,,1.0,0.0
0.25,2837,bc,8,1.181924366667469,2400.57971623998,3.1614912936207435,4.665973333127718,,1.0,0.0
0.25,2837,never,1,0.9878626666662361,2871.992003657513,0.240997015621597,0.3002866668490847,,0.0,0.0
0.25,2837,never,2,1.1340710999999526,2502.5641036398533,0.6643261073870258,0.7472266671053754,,0.0,0.0
0.25,2837,never,4,1.1433363333332334,2481.3697795979206,1.4680711314976742,1.951713332770547,,0.0,0.0
0.25,2837,never,8,1.1168884666682668,2540.5181121259143,2.971169404290754,4.309919999650446,,0.0,0.0
0.25,2837,proxy,1,1.0035526000004513,2828.8209471931164,0.24675794853205804,0.31974666708265426,,0.20514628128304543,0.0
0.25,2837,proxy,2,1.1064180333317684,2564.899919627244,0.6451919280750005,0.7343333340638006,,0.20514628128304543,0.0
0.25,2837,proxy,4,1.1751897333330514,2414.2489422116982,1.4978784984321958,2.0142200000312487,,0.20514628128304543,0.0
0.25,2837,proxy,8,1.1536687666666694,2459.1113986979412,3.0749778404101797,4.462119999516289,,0.20514628128304543,0.0
0.25,2837,random,1,1.0628068000005442,2670.2164684461773,0.26395002937021317,0.35611333199388634,,0.48584185172130184,0.0
0.25,2837,random,2,1.1816332333328319,2402.861955322344,0.6995298436946108,0.7818866669064543,,0.48584185172130184,0.0
0.25,2837,random,4,1.1884748333335058,2387.6801377609427,1.525435307235754,2.032366665904798,,0.48584185172130184,0.0
0.25,2837,random,8,1.1712404666662526,2422.303451008916,3.1282383503794158,4.580726666608824,,0.48584185172130184,0.0
0.5,5675,always,1,2.075903233332307,2734.5230532487603,0.25708778268485305,0.3254666662542149,,1.0,0.0
0.5,5675,always,2,2.305906366667235,2462.4722338533834,0.6805870249623327,0.7987466667448948,,1.0,0.0
0.5,5675,always,4,2.346730833333519,2418.285225685648,1.507243154204718,2.0119733328707903,,1.0,0.0
0.5,5675,always,8,2.297201600000941,2470.410669946271,3.074516740110214,4.487076665949037,,1.0,0.0
0.5,5675,bc,1,2.0608480666669493,2753.928714298087,0.25485413215305514,0.31984000124793965,,1.0,0.0
0.5,5675,bc,2,2.3165156999990963,2449.9341859132123,0.6839409632693426,0.7878199990955181,,1.0,0.0
0.5,5675,bc,4,2.347254766665477,2417.8984656745865,1.512553280473891,2.0231299988760534,,1.0,0.0
0.5,5675,bc,8,2.318289600002269,2448.2687434169543,3.1128304376014833,4.512536667001162,,1.0,0.0
0.5,5675,never,1,1.9853568999981992,2858.7868482923964,0.2428444111515872,0.30924000032731186,,0.0,0.0
0.5,5675,never,2,2.2147803666654604,2562.7546237721403,0.6487936387742441,0.7657733334781369,,0.0,0.0
0.5,5675,never,4,2.285186933332928,2483.9186796490726,1.4588985668027583,1.9780500004950834,,0.0,0.0
0.5,5675,never,8,2.2407812333331094,2532.7258344529055,2.999946760648257,4.406499999701434,,0.0,0.0
0.5,5675,proxy,1,2.0232662666676333,2805.6241392714733,0.24734021146100002,0.3073866656147099,,0.2095154185022026,0.0
0.5,5675,proxy,2,2.284802033333108,2484.00160601457,0.6697930279074605,0.771520000610811,,0.2095154185022026,0.0
0.5,5675,proxy,4,2.2948208666663654,2473.3596407567366,1.4695494273030345,1.9747799997276163,,0.2095154185022026,0.0
