dataset_fraction,policy_mode,workers,state_loading_ms_mean,policy_inference_ms_mean,gating_ms_mean,generation_stub_ms_mean,logging_ms_mean,total_latency_ms_mean
0.25,always,1,0.22627578430085415,0.006881071555487333,0.00016422276175436664,0.0122270943140612,0.007144906597609333,0.2534240159858707
0.25,always,2,0.6460266595890398,0.008795335449996932,0.00017882742575193336,0.013950640331414833,0.008000082250121566,0.677816425810687
0.25,always,4,1.4661581482892518,0.009360086983742567,0.00018530137681106666,0.014905487010535366,0.008399165768243498,1.4999324168870292
0.25,always,8,3.0359271060895714,0.009387157787170067,0.00019085890643283333,0.0147171190197711,0.008343144146183366,3.0694783691690923
0.25,bc,1,0.23476857009484056,0.0076012572221272,0.00015276701825556668,0.0125452473492289,0.007319821401732333,0.26315013510532526
0.25,bc,2,0.6454728116449976,0.009372000939456135,0.00016524501199949998,0.014171295992772831,0.007948971920823234,0.6779886969583169
0.25,bc,4,1.4793965926509394,0.010125872411231734,0.00017815769868806665,0.014921419343165267,0.008578897920128134,1.514112795193702
0.25,bc,8,3.12655942896421,0.010209129348506167,0.00017860414677960002,0.015192198355856232,0.0084424862073506,3.1614912936207435
0.25,never,1,0.22424483608609833,0.006874468335427534,0.0001670308877172,0.0025637175386119333,0.0064212078531093,0.240997015621597
0.25,never,2,0.6439631770687315,0.008832452136727934,0.000191446339347,0.003014675089727067,0.0074786746679139674,0.6643261073870258
0.25,never,4,1.4463161085656437,0.009523346282954733,0.00020197391053606664,0.0032766302158111333,0.0078534249670038,1.4680711314976742
0.25,never,8,2.94980645051175,0.009309951843922066,0.00019924798596743332,0.0032032546090187005,0.007761132672300101,2.971169404290754
0.25,proxy,1,0.22759569967579896,0.007036399940360733,0.0001702620002064,0.004615391846525534,0.006630771957396133,0.24675794853205804
0.25,proxy,2,0.6227273880844898,0.008805945290116366,0.00018630005991233334,0.0052213370713298,0.007419457165037234,0.6451919280750005
0.25,proxy,4,1.4727457055602635,0.009872435671298066,0.00021035129818553335,0.0058505228609907,0.008265479963364165,1.4978784984321958
0.25,proxy,8,3.050230936450047,0.009714663369116533,0.0002058982351637,0.005804394306179433,0.0080930090534673,3.0749778404101797
0.25,random,1,0.23068231699541775,0.01797843968123933,0.00017433906523109998,0.0075851838747535,0.006781729530225467,0.26395002937021317
0.25,random,2,0.6612489484199116,0.0214243802291865,0.00019309130760946668,0.008445141562567867,0.007373739878793133,0.6995298436946108
0.25,random,4,1.484814933611755,0.022834202798723433,0.0002060274580004,0.008881294810949934,0.007794571743310066,1.525435307235754
0.25,random,8,3.0878980730943275,0.02280121022282387,0.00021254845101926668,0.008763224057877899,0.007669944784354133,3.1282383503794158
0.5,always,1,0.22953775624131575,0.0070371394820128675,0.00015800293585763333,0.012368552157947299,0.0072302143892072,0.25708778268485305
0.5,always,2,0.6489446402456277,0.008692534509400001,0.00017645816964353335,0.013889950068580965,0.0080194126387405,0.6805870249623327
0.5,always,4,1.4732883054442212,0.009402102795602134,0.000188604996462,0.014832869316162267,0.008601715119669067,1.507243154204718
0.5,always,8,3.040851747424852,0.009354866373175902,0.00019172393430873333,0.014773838453618035,0.008434161506280333,3.074516740110214
0.5,bc,1,0.2270254273045016,0.007471201184970466,0.00015071365715096666,0.012310925109476666,0.007139964755677466,0.25485413215305514
0.5,bc,2,0.6516930572721059,0.009230772394375067,0.00016579734722710002,0.013967365658424533,0.008021521297158267,0.6839409632693426
0.5,bc,4,1.4782416916325163,0.0099884522795453,0.00018437003591003333,0.014815207041024533,0.008423318641754966,1.512553280473891
0.5,bc,8,3.0784865726935458,0.0101064845817724,0.00017764463408903334,0.014820223188344967,0.008328898663305334,3.1128304376014833
0.5,never,1,0.22590411747071548,0.006985386182067133,0.00016915125576786664,0.0025552011851600665,0.006513885469736534,0.2428444111515872
0.5,never,2,0.6288814684181667,0.0086854273153256,0.00018656096927523332,0.0029596886974512667,0.007221674009481967,0.6487936387742441
0.5,never,4,1.4371485403910205,0.009507060215458633,0.00020066372307953333,0.0032504610731399334,0.0078851453754035,1.4588985668027583
0.5,never,8,2.97825338033782,0.0094867253815122,0.0002003524411591,0.0032531923744618333,0.007843659322415835,2.999946760648257
0.5,proxy,1,0.22782318941277324,0.0072598237743537,0.00017035534918556668,0.004671494856727367,0.006670995591105366,0.24734021146100002
0.5,proxy,2,0.646704939798238,0.0089881703377309,0.00019084288037433332,0.005381503669148733,0.007644340678589267,0.6697930279074605
0.5,proxy,4,1.4451098502058877,0.0095999118938314,0.00020195594661396666,0.005784710727648401,0.007932317170872399,1.4695494273030345
0.5,proxy,8,2.9880761174863224,0.009499911910621099,0.0002004405261883667,0.005786566809050466,0.007866220245957966,3.0123265491993916
0.5,random,1,0.2243584434661833,0.0174730455175246,0.00017083112501553336,0.007433168895082033,0.006620446402313167,0.256784293697511
0.5,random,2,0.6523079060287903,0.021088493385284766,0.0001906490396751,0.008504475750380866,0.0073452452373319,0.6902985726909682
0.5,random,4,1.4822001292354192,0.0227868722406593,0.00020740086558233332,0.009010085183374867,0.007729597651290567,1.5228387136330277
0.5,random,8,3.118921415576677,0.022860939794012467,0.00020719530108236666,0.008896346539339267,0.007656240812836067,3.159433298090344
0.75,always,1,0.2257543834803193,0.006957880105564266,0.0001658600604403,0.012240678971142602,0.007143615634665468,0.25299719644096447
0.75,always,2,0.6475578135418102,0.008796562117449233,0.00018034378724803336,0.014012357568405,0.007989948713617133,0.6794153294900225
0.75,always,4,1.4701810446801484,0.009392713103782735,0.00018909510559363333,0.014751603443641799,0.0084936489352486,1.5039272367687861
0.75,always,8,3.0718503386876486,0.0094312032550267,0.00019379380457819998,0.014774709263269433,0.008343008729156333,3.1055200086423227
0.75,bc,1,0.2271605466234465,0.007460018009953234,0.00014908962072243334,0.0123394729673443,0.0071305885155983325,0.25498588432714525
0.75,bc,2,0.6494578683432065,0.009373550250769433,0.00016571909392523333,0.013975883929198699,0.008074979427884233,0.6819211519648333
0.75,bc,4,1.4780728611058667,0.010095700689811233,0.0001749833487644667,0.0148995653674286,0.008419436935775399,1.5125810955710008
0.75,bc,8,3.0970805630646994,0.0100940444040562,0.00017757938103996667,0.014831853256329566,0.0083323974972438,3.131427941593928
0.75,never,1,0.24202108932394847,0.007646799010461167,0.00017808058423636667,0.0027424292393283,0.006870746712622468,0.2602407690121055
0.75,never,2,0.655453659109042,0.0091485296920688,0.0001978307831518,0.0031138063371376665,0.007538145588993334,0.6763484709520161
0.75,never,4,1.4750401895225036,0.009679294417794233,0.00021233800005773332,0.003288664411883333,0.007942675900202633,1.49709365285354
0.75,never,8,3.0100592309749827,0.0095056110210354,0.00020122558133033334,0.003282708811662233,0.007804663463986099,3.0317726770848066
0.75,proxy,1,0.23327970947272747,0.007185038574312067,0.00017499119123766667,0.004944872555128834,0.006723881133826899,0.2530608324326329
0.75,proxy,2,0.633466866368065,0.008876635721708333,0.00018736834954390002,0.005453435911133334,0.0074702337740968,0.6563238497840687
0.75,proxy,4,1.4636515603576745,0.0096424918887228,0.00020143702782653334,0.006035322450511867,0.007980895874362966,1.488418783044965
0.75,proxy,8,3.0176120678071405,0.0095742511427937,0.00020179724513499998,0.005905239038891,0.0079213594794033,3.0421368299577716
0.75,random,1,0.22845855751326008,0.0177672148348602,0.00017622851072106666,0.007625502170275433,0.006708046522882834,0.2614775558968949
0.75,random,2,0.6568966639107018,0.0214843141826568,0.00019691453157279998,0.008741853634606833,0.0075187908587016,0.6957066917272533
0.75,random,4,1.5117890912122967,0.0230164571863405,0.00020646855607493332,0.009153306710801267,0.0078404714203062,1.5529415795430819
0.75,random,8,3.1949375464962,0.023330114721504133,0.00020542701024946666,0.009146164680492999,0.0078016210641467,3.236348819459872
1.0,always,1,0.22520903002983328,0.006968748713146333,0.000159974156235,0.012166628484306267,0.007105136116313967,0.25234534110729867
1.0,always,2,0.6448325962625735,0.0087312131231626,0.00017777876937333334,0.013880383521736567,0.007970399076397601,0.676452336067927
1.0,always,4,1.4753710921186036,0.009461774289639,0.00019289049158416666,0.014714638965950199,0.008447290973078767,1.5090973012757811
1.0,always,8,3.0810826681936745,0.009488450353884766,0.0001952045349815,0.014795310243259934,0.008383000038762101,3.114860332423549
1.0,bc,1,0.22346424103390863,0.0073510439616806325,0.00014806330080506665,0.012088890850222966,0.006996907759235567,0.2507766922193073
1.0,bc,2,0.6431594367550405,0.009288459174328266,0.00016999384054403334,0.013943743582390167,0.007929730129902035,0.6753586115768481
1.0,bc,4,1.477294720006502,0.0100226147538193,0.00017922651421966665,0.014809814107746266,0.008411211931853867,1.5116432531660988
1.0,bc,8,3.0740068041028814,0.0100958916972762,0.0001785892596222,0.014864440729514533,0.008313625834208267,3.1083721052317763
1.0,never,1,0.22118941943436699,0.006896153065699133,0.0001684139494534,0.0025357090464078664,0.006396294013749933,0.23789782398458004
1.0,never,2,0.6248800693015358,0.008680809334998667,0.00018612163539666665,0.002997036968287767,0.007247887123867633,0.6448589375408927
1.0,never,4,1.4332779050296007,0.009406407655141667,0.00019887820941913336,0.0032210465881796664,0.007742812663965999,1.4547790561813663
1.0,never,8,2.989111396929969,0.009472557490971,0.00020365900158409998,0.0032513346749113,0.007803729479291167,3.0107620474035492
1.0,proxy,1,0.22992078819685036,0.007236980586582267,0.00017465128521763334,0.0049195166440308335,0.0066847972240929,0.2496819516779147
1.0,proxy,2,0.6789166358300132,0.009567867731123334,0.0001971133375811,0.005999958884634133,0.007960217898221234,0.7035829501065832
1.0,proxy,4,1.471582950107761,0.009696584741273334,0.00019812350802876665,0.0060371832050257,0.008009179804097934,1.496454685341537
1.0,proxy,8,3.0884442398662633,0.009829421778607501,0.00020550611847270001,0.006115875251466033,0.007996191219908065,3.113533694533746
1.0,random,1,0.22410076939472448,0.017506533928161868,0.00017224033193219998,0.007526937430825234,0.006591765775170466,0.25662839690780226
1.0,random,2,0.6510450209925236,0.02116674595369687,0.00018966023423343335,0.008595054767901301,0.007453126019533733,0.6893117610710225
1.0,random,4,1.5052936363915095,0.0228029336610953,0.00020358266438966666,0.009038560484585467,0.0078099462506945995,1.5460691069882007
1.0,random,8,3.130708055085796,0.022848389270541,0.00020459871053686668,0.008957560264464766,0.007666757698228134,3.171293489551019
