dataset_fraction,workload_name,workload_size,policy_mode,workers,state_loading_ms_mean,state_loading_ms_median,state_loading_ms_p95,state_loading_ms_std,policy_inference_ms_mean,policy_inference_ms_median,policy_inference_ms_p95,policy_inference_ms_std,gating_ms_mean,gating_ms_median,gating_ms_p95,gating_ms_std,generation_stub_ms_mean,generation_stub_ms_median,generation_stub_ms_p95,generation_stub_ms_std,logging_ms_mean,logging_ms_median,logging_ms_p95,logging_ms_std,total_latency_ms_mean,total_latency_ms_median,total_latency_ms_p95,total_latency_ms_std,decision_points
0.1,fraction_0p1,1135,always,1,0.798704,0.759,1.041393,0.109582,0.000998,0.000933,0.0011,0.000734,0.000228,0.0002,0.0003,0.000274,0.011698,0.010933,0.014297,0.003794,0.004537,0.004267,0.004867,0.001851,0.820958,0.780367,1.06894,0.111201,1135.0
0.1,fraction_0p1,1135,always,2,1.550057,1.4756,1.776017,1.100718,0.001269,0.001167,0.0014,0.001142,0.00027,0.0002,0.0003,0.000741,0.014509,0.012967,0.02725,0.009997,0.005386,0.004833,0.006083,0.003067,1.577489,1.502067,1.80444,1.101493,1135.0
0.1,fraction_0p1,1135,always,4,2.975607,2.810133,3.360583,2.52188,0.00131,0.0013,0.001443,0.000572,0.000276,0.0003,0.0003,0.000397,0.014451,0.0139,0.016243,0.002878,0.005356,0.0052,0.005733,0.001691,3.002986,2.837933,3.387793,2.522281,1135.0
0.1,fraction_0p1,1135,always,8,5.910327,5.733333,7.48784,1.585597,0.00131,0.0013,0.001567,0.000163,0.000272,0.0003,0.0003,0.000348,0.01429,0.013933,0.01621,0.002719,0.005395,0.0052,0.00601,0.001749,5.937606,5.7597,7.518833,1.586542,1135.0
0.1,fraction_0p1,1135,bc,1,0.785817,0.736233,1.090947,0.167729,0.001617,0.0015,0.001877,0.001114,0.00022,0.0002,0.0003,0.000224,0.011888,0.010833,0.015183,0.005397,0.004651,0.0042,0.005333,0.00506,0.80892,0.757667,1.11749,0.171342,1135.0
0.1,fraction_0p1,1135,bc,2,1.522384,1.4359,1.773087,1.063355,0.001898,0.001767,0.002067,0.001416,0.000243,0.0002,0.0003,0.000184,0.013989,0.012833,0.02432,0.004406,0.005306,0.0048,0.005733,0.002598,1.549542,1.462767,1.800967,1.063849,1135.0
0.1,fraction_0p1,1135,bc,4,2.988714,2.822467,3.419123,2.471332,0.001994,0.0019,0.002233,0.001163,0.00026,0.0003,0.0003,0.000214,0.014362,0.0138,0.016043,0.00317,0.005395,0.0052,0.005843,0.001598,3.016729,2.8497,3.44673,2.472033,1135.0
0.1,fraction_0p1,1135,bc,8,5.931094,5.7656,7.558247,1.456259,0.002056,0.001933,0.002577,0.001033,0.000266,0.0003,0.000333,0.000207,0.014618,0.014033,0.017277,0.003458,0.005452,0.005267,0.0065,0.001043,5.959561,5.7939,7.587557,1.458093,1135.0
0.1,fraction_0p1,1135,bc_live,1,0.501764,0.4682,0.671693,0.095037,0.117414,0.117414,0.117414,0.0,0.000187,0.0002,0.000233,0.00025,0.004035,0.003667,0.004377,0.002175,0.002878,0.002633,0.003,0.001918,0.010016,0.009167,0.0154,0.0036,1135.0
0.1,fraction_0p1,1135,bc_live,2,0.458317,0.444233,0.560457,0.063893,0.004643,0.004643,0.004643,0.0,0.000235,0.0002,0.0002,0.00151,0.005847,0.0038,0.009363,0.043993,0.008465,0.002667,0.003843,0.18346,0.017711,0.009533,0.017177,0.189896,1135.0
0.1,fraction_0p1,1135,bc_live,4,0.467627,0.445633,0.584197,0.068327,0.004309,0.004309,0.004309,0.0,0.000196,0.0002,0.000233,0.000363,0.006605,0.004067,0.007127,0.069262,0.003163,0.0029,0.003753,0.002173,0.015012,0.010067,0.0162,0.133636,1135.0
0.1,fraction_0p1,1135,bc_live,8,0.46308,0.446467,0.579143,0.064015,0.005318,0.005318,0.005318,0.0,0.000203,0.0002,0.000233,0.000304,0.004909,0.0043,0.006387,0.003292,0.003394,0.002933,0.004243,0.002654,0.015528,0.010467,0.0183,0.1246,1135.0
0.1,fraction_0p1,1135,never,1,0.797881,0.755433,1.064703,0.12664,0.001053,0.000967,0.001167,0.001087,0.000238,0.0002,0.0003,0.000309,0.000933,0.000867,0.001,0.001138,0.004975,0.0045,0.0054,0.002661,0.809894,0.766633,1.079637,0.127861,1135.0
0.1,fraction_0p1,1135,never,2,1.508225,1.4614,1.732657,0.443157,0.001309,0.001167,0.0014,0.001364,0.000282,0.000267,0.0003,0.000693,0.001119,0.001,0.001133,0.001365,0.005775,0.005233,0.006333,0.002862,1.522764,1.4755,1.747543,0.443512,1135.0
0.1,fraction_0p1,1135,never,4,2.895391,2.7841,3.333047,1.432953,0.001325,0.0013,0.001433,0.000772,0.000278,0.0003,0.0003,0.000343,0.001096,0.0011,0.0012,0.000698,0.005899,0.0056,0.00621,0.002131,2.910045,2.7986,3.34874,1.433489,1135.0
0.1,fraction_0p1,1135,never,8,5.949067,5.581967,7.14151,3.787581,0.001311,0.0013,0.0015,0.000127,0.000274,0.0003,0.0003,0.000125,0.001075,0.0011,0.0012,0.000124,0.005736,0.0056,0.00621,0.001276,5.963597,5.597233,7.155377,3.787802,1135.0
0.1,fraction_0p1,1135,random,1,0.796204,0.753167,1.08435,0.15343,0.011758,0.010733,0.01501,0.00504,0.000264,0.0002,0.0003,0.000684,0.006302,0.010167,0.01231,0.006034,0.004633,0.004167,0.005367,0.003734,0.823696,0.778967,1.12147,0.156596,1135.0
0.1,fraction_0p1,1135,random,2,1.524126,1.440967,1.779163,1.159942,0.013972,0.0128,0.027343,0.00495,0.000305,0.000267,0.0003,0.000833,0.007473,0.010833,0.015847,0.007422,0.00509,0.0046,0.005467,0.002782,1.556421,1.471533,1.81556,1.161163,1135.0
0.1,fraction_0p1,1135,random,4,2.903543,2.839967,3.407257,0.802117,0.014464,0.013833,0.016707,0.003314,0.000284,0.0003,0.0003,0.000263,0.007525,0.012,0.0145,0.006864,0.005183,0.004967,0.005533,0.001854,2.936547,2.873333,3.43942,0.803186,1135.0
0.1,fraction_0p1,1135,random,8,5.985182,5.745567,7.40927,2.19698,0.014512,0.014,0.016443,0.006781,0.000281,0.0003,0.000333,5.2e-05,0.007527,0.0123,0.014733,0.006603,0.005366,0.004967,0.005687,0.007766,6.01846,5.777467,7.442973,2.198913,1135.0
0.1,fraction_0p1,1135,risk_proxy,1,6.53692,3.8939,12.01099,9.839436,0.008161,0.007367,0.01062,0.003293,0.000293,0.000233,0.000367,0.000796,0.004022,0.001,0.015987,0.007334,0.005775,0.005267,0.007277,0.002465,6.560777,3.915733,12.039567,9.84085,1135.0
0.1,fraction_0p1,1135,risk_proxy,2,1.633335,1.5086,1.939177,1.823841,0.007123,0.0063,0.010377,0.002931,0.00027,0.000267,0.0003,0.000253,0.004067,0.000967,0.016643,0.006536,0.005908,0.005267,0.007867,0.002851,1.656411,1.531367,1.96467,1.824296,1135.0
0.1,fraction_0p1,1135,risk_proxy,4,2.915675,2.841533,3.47462,0.842099,0.007157,0.0066,0.008853,0.005567,0.000273,0.0003,0.000333,5.1e-05,0.004212,0.001033,0.016633,0.010805,0.00589,0.0056,0.006953,0.001846,2.938882,2.8644,3.49871,0.842827,1135.0
0.1,fraction_0p1,1135,risk_proxy,8,5.855328,5.718567,7.231193,1.395835,0.006715,0.006567,0.007967,0.000968,0.000274,0.0003,0.0003,4.9e-05,0.003868,0.001033,0.01621,0.005739,0.005739,0.0056,0.0063,0.001704,5.877432,5.741033,7.25219,1.396084,1135.0
0.25,fraction_0p25,2837,always,1,0.796191,0.736033,1.07002,0.140968,0.001041,0.000933,0.001267,0.001274,0.000224,0.0002,0.0003,0.000256,0.012028,0.010933,0.01542,0.004416,0.004737,0.0043,0.005707,0.002687,0.819114,0.757167,1.099413,0.144202,2837.0
0.25,fraction_0p25,2837,always,2,1.52611,1.4389,1.776993,2.060887,0.001233,0.001133,0.001367,0.001056,0.000259,0.0002,0.0003,0.000642,0.013732,0.012733,0.0192,0.004414,0.005172,0.0048,0.005667,0.00234,1.55225,1.465,1.806813,2.061233,2837.0
0.25,fraction_0p25,2837,always,4,2.973897,2.856033,3.494853,2.041439,0.001346,0.0013,0.001667,0.000749,0.00026,0.0003,0.0003,0.000137,0.014779,0.014,0.018767,0.003507,0.005548,0.0052,0.0065,0.002142,3.001991,2.883667,3.524347,2.041936,2837.0
0.25,fraction_0p25,2837,always,8,5.973157,5.7909,7.45378,2.43701,0.001336,0.0013,0.001667,0.000516,0.000263,0.0003,0.0003,5.7e-05,0.014539,0.0141,0.0168,0.004413,0.005455,0.005267,0.006267,0.001759,6.000821,5.818367,7.486547,2.437632,2837.0
0.25,fraction_0p25,2837,bc,1,0.770488,0.740733,0.981567,0.10109,0.001593,0.0015,0.001767,0.00113,0.000221,0.0002,0.0003,0.000429,0.011479,0.010767,0.013067,0.003621,0.004507,0.004233,0.005033,0.001994,0.792961,0.7627,1.006787,0.103028,2837.0
0.25,fraction_0p25,2837,bc,2,1.539767,1.447867,1.784893,2.037586,0.001929,0.001767,0.002267,0.001453,0.000252,0.0002,0.0003,0.000501,0.013882,0.012733,0.02674,0.00435,0.005328,0.004833,0.0062,0.002827,1.566944,1.474267,1.817893,2.037927,2837.0
0.25,fraction_0p25,2837,bc,4,2.953716,2.8354,3.428453,2.161544,0.002037,0.001933,0.002233,0.001111,0.000262,0.0003,0.0003,0.000245,0.014496,0.013867,0.01664,0.003268,0.005469,0.005233,0.006007,0.001831,2.981974,2.862833,3.457713,2.162003,2837.0
0.25,fraction_0p25,2837,bc,8,5.975574,5.788533,7.430373,2.594832,0.00205,0.002,0.0025,0.000706,0.000266,0.0003,0.0003,0.000257,0.014458,0.014,0.016833,0.00235,0.005492,0.0053,0.006307,0.001734,6.00386,5.815933,7.458093,2.595507,2837.0
0.25,fraction_0p25,2837,bc_live,1,0.491286,0.461633,0.671547,0.091719,0.00409,0.00409,0.00409,0.0,0.000164,0.0002,0.0002,5.5e-05,0.003497,0.0034,0.003733,0.000945,0.002545,0.002433,0.002633,0.00108,0.008747,0.008467,0.0092,0.001872,2837.0
0.25,fraction_0p25,2837,bc_live,2,0.480195,0.4552,0.637053,0.073636,0.003924,0.003924,0.003924,0.0,0.000193,0.0002,0.0003,7.1e-05,0.004976,0.004233,0.005273,0.02405,0.006885,0.0029,0.003767,0.201222,0.016833,0.010267,0.01294,0.242453,2837.0
0.25,fraction_0p25,2837,bc_live,4,0.492345,0.458,0.691093,0.102442,0.004402,0.004402,0.004402,0.0,0.000191,0.0002,0.000267,0.000139,0.005173,0.0051,0.0062,0.004435,0.010426,0.0033,0.0038,0.383664,0.019888,0.012033,0.014433,0.396545,2837.0
0.25,fraction_0p25,2837,bc_live,8,0.493745,0.453767,0.688133,0.096914,0.004653,0.004653,0.004653,0.0,0.000188,0.0002,0.000233,0.000293,0.00411,0.003767,0.0047,0.001686,0.010401,0.002667,0.003333,0.401277,0.021515,0.009267,0.011467,0.608441,2837.0
0.25,fraction_0p25,2837,never,1,0.781736,0.729233,1.034313,0.141391,0.001034,0.001,0.001167,0.00082,0.000238,0.0002,0.0003,0.000425,0.000904,0.000833,0.001033,0.000863,0.004921,0.004533,0.005707,0.002331,0.793642,0.740433,1.048433,0.142928,2837.0
0.25,fraction_0p25,2837,never,2,1.531467,1.436133,1.755007,2.226049,0.001259,0.001167,0.001433,0.001167,0.00026,0.000267,0.0003,0.000406,0.001042,0.000967,0.001167,0.000886,0.005717,0.005167,0.0066,0.002855,1.545534,1.450133,1.769893,2.22622,2837.0
0.25,fraction_0p25,2837,never,4,2.92859,2.8161,3.42044,1.760848,0.001348,0.0013,0.0016,0.000906,0.000276,0.0003,0.0003,0.000391,0.001099,0.001067,0.001233,0.000561,0.005999,0.0056,0.006833,0.002502,2.943371,2.830033,3.43462,1.76101,2837.0
0.25,fraction_0p25,2837,never,8,5.830188,5.651833,7.172687,2.519316,0.001337,0.0013,0.001533,0.000457,0.000275,0.0003,0.0003,0.000166,0.001086,0.0011,0.001207,0.000238,0.005841,0.005633,0.006467,0.001581,5.844715,5.666633,7.186827,2.519715,2837.0
0.25,fraction_0p25,2837,random,1,0.787988,0.752833,1.028913,0.124644,0.011597,0.010767,0.01452,0.003704,0.00024,0.0002,0.0003,0.000299,0.006237,0.0041,0.012473,0.008038,0.004473,0.004167,0.005033,0.002111,0.815039,0.777833,1.062447,0.127854,2837.0
0.25,fraction_0p25,2837,random,2,1.535951,1.4741,1.83156,0.745384,0.014836,0.013133,0.028607,0.008481,0.00029,0.0003,0.0003,0.000654,0.007746,0.004833,0.01678,0.016827,0.005432,0.0047,0.006433,0.00649,1.569866,1.507567,1.86884,0.747474,2837.0
0.25,fraction_0p25,2837,random,4,2.953536,2.825167,3.38452,2.856144,0.014436,0.013833,0.01684,0.003305,0.000279,0.0003,0.0003,0.000247,0.007236,0.0047,0.014433,0.006554,0.005149,0.004933,0.0055,0.002029,2.986069,2.858267,3.418087,2.856445,2837.0
