policy_mode,seed,workers,fault_mode,expected_rows,observed_rows,injected_events,ray_task_count,ray_execution_seconds,throughput_points_per_second,expected_hash,observed_hash,hash_match,row_count_match,unauthorized_invocations,authorization_execution_consistent,validation_passed,expected_flagged,detected_flag,detection_correct,reference_source,workload_fraction,decision_points,ray_chunk_size,ray_init_seconds,input_csv
risk_proxy,1,1,clean,11351,11351,0,45,2.375091899997642,4779.183491809841,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
risk_proxy,1,1,action_flip,11351,11351,116,45,0.19867619999786257,57133.1644158793,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,c648144569c0bf2ca3e0329e70e687d5445acc0427f429d6cb50854946542fb4,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
risk_proxy,1,1,dropped_row,11351,11238,113,45,0.15658130000156234,71771.02246492953,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,f60201b396122702f7ac1b258a94ca8aa706ef7dfe8fd08182018864a53e37df,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
risk_proxy,2,1,clean,11351,11351,0,45,0.15918819999933476,71305.53646594053,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
risk_proxy,2,1,action_flip,11351,11351,107,45,0.1964442999997118,57782.28230606158,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,ba3ef68f13185b4911532d3a5429321afe5371604ea09cfc85b82359a6684595,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
risk_proxy,2,1,dropped_row,11351,11238,113,45,0.16182670000125654,69444.65900814105,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,125dc10a3657e5258ae904d2296816c22a96f771539aaa2ece09fcfd4e17521c,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
risk_proxy,3,1,clean,11351,11351,0,45,0.16184470000007423,70135.13571958052,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
risk_proxy,3,1,action_flip,11351,11351,130,45,0.19273339999926975,58894.825702462615,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,b72276ffb75bbef948ea72f1eb39984aa2dd01c2bf1841bbcb42092670fb0ef7,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
risk_proxy,3,1,dropped_row,11351,11238,113,45,0.16462790000150562,68263.03439391027,fc28e652a5f6795a5b3cad1f643a9bcb92f8c411059e53f7113b3ab8727304b2,0ad24b8aa66d9a1264b448fe0a39f875ddffa3fa71491fb6467b11c6eabbb72d,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
random,1,1,clean,11351,11351,0,45,0.20668400000067777,54919.58738926466,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
random,1,1,action_flip,11351,11351,114,45,0.3251846999992267,34906.31631816316,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,944e99cc4f407c56a42d648e0fc13fd1a5049c533b310a88eaaa39af0487cf20,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
random,1,1,dropped_row,11351,11238,113,45,0.19747049999932642,56909.76626907985,6c5fcecd2e890b67231e63e3de404b135a8b04293469898c75bd19ee975debc9,bdf48c18df17f3200cc81b79760681e866bb75c0ddc9109246e26a54defd0240,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
random,2,1,clean,11351,11351,0,45,0.20375530000092112,55708.98033056654,aa749dbbb19706268d19257dca4ed780d471c6fcc79f9862ce9f50e273201b60,aa749dbbb19706268d19257dca4ed780d471c6fcc79f9862ce9f50e273201b60,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
random,2,1,action_flip,11351,11351,109,45,0.22789819999889005,49807.32625380667,aa749dbbb19706268d19257dca4ed780d471c6fcc79f9862ce9f50e273201b60,fb3a4176a7faafa97746e5691a004ae7fe627465ac70ed9d0a105cad7ddd3241,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,12.680535900002724,paper_outputs\replay_input_v260.csv
