row_index,utterance_id,source_record_id,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,authorized_to_generate,generation_invoked,unauthorized_invocation,response_safety
0,d0_u0,d0_u0,random,1,1,1,0,1,1,0,ok
1,d0_u1,d0_u1,random,1,1,1,0,1,1,0,ok
2,d0_u2,d0_u2,random,1,0,0,0,0,0,0,not_invoked
3,d0_u3,d0_u3,random,1,1,1,0,1,1,0,ok
4,d0_u5,d0_u5,random,1,0,0,0,0,0,0,not_invoked
5,d0_u6,d0_u6,random,1,0,0,0,0,0,0,not_invoked
6,d0_u7,d0_u7,random,1,0,0,0,0,0,0,not_invoked
7,d0_u8,d0_u8,random,1,1,1,0,1,1,0,ok
8,d0_u9,d0_u9,random,1,0,0,0,0,0,0,not_invoked
9,d0_u11,d0_u11,random,1,0,0,0,0,0,0,not_invoked
10,d0_u13,d0_u13,random,1,1,1,0,1,1,0,ok
11,d1_u1,d1_u1,random,1,1,1,0,1,1,0,ok
12,d1_u4,d1_u4,random,1,0,0,0,0,0,0,not_invoked
13,d1_u5,d1_u5,random,1,0,0,0,0,0,0,not_invoked
14,d1_u8,d1_u8,random,1,1,1,0,1,1,0,ok
15,d2_u0,d2_u0,random,1,1,1,0,1,1,0,ok
16,d2_u1,d2_u1,random,1,0,0,0,0,0,0,not_invoked
17,d2_u2,d2_u2,random,1,1,1,0,1,1,0,ok
18,d2_u3,d2_u3,random,1,0,0,0,0,0,0,not_invoked
19,d2_u5,d2_u5,random,1,0,1,1,1,1,0,ok
20,d2_u7,d2_u7,random,1,0,0,0,0,0,0,not_invoked
21,d2_u8,d2_u8,random,1,1,1,0,1,1,0,ok
22,d2_u9,d2_u9,random,1,1,1,0,1,1,0,ok
23,d2_u10,d2_u10,random,1,1,1,0,1,1,0,ok
24,d2_u11,d2_u11,random,1,1,1,0,1,1,0,ok
25,d2_u12,d2_u12,random,1,0,0,0,0,0,0,not_invoked
26,d3_u3,d3_u3,random,1,0,0,0,0,0,0,not_invoked
27,d3_u4,d3_u4,random,1,0,0,0,0,0,0,not_invoked
28,d3_u5,d3_u5,random,1,1,1,0,1,1,0,ok
29,d3_u8,d3_u8,random,1,1,1,0,1,1,0,ok
30,d3_u9,d3_u9,random,1,0,0,0,0,0,0,not_invoked
31,d4_u1,d4_u1,random,1,0,0,0,0,0,0,not_invoked
32,d4_u3,d4_u3,random,1,1,1,0,1,1,0,ok
33,d4_u4,d4_u4,random,1,0,0,0,0,0,0,not_invoked
34,d4_u5,d4_u5,random,1,0,0,0,0,0,0,not_invoked
35,d4_u6,d4_u6,random,1,0,0,0,0,0,0,not_invoked
36,d4_u7,d4_u7,random,1,0,0,0,0,0,0,not_invoked
37,d4_u8,d4_u8,random,1,0,0,0,0,0,0,not_invoked
38,d4_u9,d4_u9,random,1,1,1,0,1,1,0,ok
39,d4_u10,d4_u10,random,1,0,0,0,0,0,0,not_invoked
40,d4_u11,d4_u11,random,1,0,0,0,0,0,0,not_invoked
41,d4_u12,d4_u12,random,1,1,1,0,1,1,0,ok
42,d4_u13,d4_u13,random,1,1,1,0,1,1,0,ok
43,d4_u14,d4_u14,random,1,1,1,0,1,1,0,ok
44,d5_u0,d5_u0,random,1,1,1,0,1,1,0,ok
45,d5_u1,d5_u1,random,1,0,0,0,0,0,0,not_invoked
46,d5_u2,d5_u2,random,1,1,1,0,1,1,0,ok
47,d6_u0,d6_u0,random,1,0,0,0,0,0,0,not_invoked
48,d6_u2,d6_u2,random,1,0,0,0,0,0,0,not_invoked
49,d6_u3,d6_u3,random,1,0,0,0,0,0,0,not_invoked
50,d6_u4,d6_u4,random,1,0,0,0,0,0,0,not_invoked
51,d6_u5,d6_u5,random,1,1,1,0,1,1,0,ok
52,d6_u6,d6_u6,random,1,0,0,0,0,0,0,not_invoked
53,d6_u7,d6_u7,random,1,0,0,0,0,0,0,not_invoked
54,d6_u9,d6_u9,random,1,1,1,0,1,1,0,ok
55,d6_u10,d6_u10,random,1,1,1,0,1,1,0,ok
56,d6_u11,d6_u11,random,1,1,1,0,1,1,0,ok
57,d6_u12,d6_u12,random,1,0,0,0,0,0,0,not_invoked
58,d6_u13,d6_u13,random,1,1,1,0,1,1,0,ok
59,d6_u14,d6_u14,random,1,1,1,0,1,1,0,ok
60,d6_u15,d6_u15,random,1,0,0,0,0,0,0,not_invoked
61,d6_u16,d6_u16,random,1,0,0,0,0,0,0,not_invoked
62,d6_u18,d6_u18,random,1,0,0,0,0,0,0,not_invoked
63,d6_u19,d6_u19,random,1,0,0,0,0,0,0,not_invoked
64,d6_u20,d6_u20,random,1,0,0,0,0,0,0,not_invoked
65,d6_u21,d6_u21,random,1,1,1,0,1,1,0,ok
66,d7_u0,d7_u0,random,1,1,1,0,1,1,0,ok
67,d7_u1,d7_u1,random,1,0,0,0,0,0,0,not_invoked
68,d8_u0,d8_u0,random,1,1,1,0,1,1,0,ok
69,d8_u1,d8_u1,random,1,1,1,0,1,1,0,ok
70,d8_u2,d8_u2,random,1,0,0,0,0,0,0,not_invoked
71,d8_u3,d8_u3,random,1,0,0,0,0,0,0,not_invoked
72,d8_u4,d8_u4,random,1,0,0,0,0,0,0,not_invoked
73,d8_u5,d8_u5,random,1,1,1,0,1,1,0,ok
74,d8_u6,d8_u6,random,1,1,1,0,1,1,0,ok
75,d9_u0,d9_u0,random,1,1,1,0,1,1,0,ok
76,d9_u1,d9_u1,random,1,1,1,0,1,1,0,ok
77,d9_u2,d9_u2,random,1,0,0,0,0,0,0,not_invoked
78,d9_u3,d9_u3,random,1,1,1,0,1,1,0,ok
79,d9_u4,d9_u4,random,1,1,1,0,1,1,0,ok
80,d9_u5,d9_u5,random,1,1,1,0,1,1,0,ok
81,d9_u6,d9_u6,random,1,0,0,0,0,0,0,not_invoked
82,d9_u7,d9_u7,random,1,0,0,0,0,0,0,not_invoked
83,d9_u8,d9_u8,random,1,1,1,0,1,1,0,ok
84,d9_u9,d9_u9,random,1,0,0,0,0,0,0,not_invoked
85,d9_u10,d9_u10,random,1,1,1,0,1,1,0,ok
86,d9_u11,d9_u11,random,1,0,0,0,0,0,0,not_invoked
87,d9_u13,d9_u13,random,1,1,1,0,1,1,0,ok
88,d10_u0,d10_u0,random,1,0,0,0,0,0,0,not_invoked
89,d10_u1,d10_u1,random,1,1,1,0,1,1,0,ok
