dataset_fraction,policy,workers,repetitions,runtime_median_seconds,runtime_q1_seconds,runtime_q3_seconds,runtime_min_seconds,runtime_max_seconds,runtime_iqr_seconds
0.1,always,1,7,0.912224800000331,0.9043399500005762,0.9198715500006074,0.8630281000005198,0.9249546999999438,0.015531600000031176
0.1,bc,1,7,0.897987500000454,0.8869843999991645,0.922936550000486,0.883650799998577,0.941433699999834,0.03595215000132157
0.1,bc_live,1,7,0.5486089999994874,0.5457549000002473,0.5524070500005109,0.5418418999997812,0.5655401999993046,0.006652150000263646
0.1,never,1,7,0.905370700000276,0.8919820499995694,0.9269583499999499,0.8554426999999123,0.9339381000008872,0.034976300000380434
0.1,random,1,7,0.9011731000009604,0.8973190500009878,0.9390819000000192,0.896446200000355,0.9487707999996928,0.04176284999903146
0.1,risk_proxy,1,7,0.9109399000008124,0.8837619999994786,0.9207090500003687,0.863563000000795,0.938470099999904,0.03694705000089016
0.25,always,1,7,2.252237099999548,2.2087576000003537,2.3034528999996837,2.19779059999928,2.332327100000839,0.09469529999933002
0.25,bc,1,7,2.2550950000004377,2.229454949999308,2.2821673999997074,2.129266699999789,2.3444657000000007,0.05271245000039926
0.25,bc_live,1,7,1.3788965999992795,1.3628423000000112,1.3844128999999157,1.3331319999997504,1.40748209999947,0.021570599999904516
0.25,never,1,7,2.215110099999947,2.1531202999995003,2.220033550000153,2.110611100000824,2.3020871999997325,0.06691325000065262
0.25,random,1,7,2.216004899999461,2.2137439500002074,2.29686324999966,2.0978098000014143,2.3666353999997227,0.08311929999945278
0.25,risk_proxy,1,7,2.239442699999927,2.2008019499999136,2.259080650000215,2.183515099999568,2.2753419000000576,0.05827870000030133
0.5,always,1,7,4.495969100000366,4.399043299999903,4.547591600000487,4.348436999998739,4.5899430999998,0.14854830000058428
0.5,bc,1,7,4.489477200000692,4.444637250000596,4.508483200000228,4.30512330000056,4.626076900000044,0.06384594999963156
0.5,bc_live,1,7,2.740863200000604,2.712160800000675,2.8128283000005467,2.652936899999986,2.830534599999737,0.10066749999987179
0.5,never,1,7,4.39293859999998,4.296465650000755,4.4792606500004695,4.22689790000004,4.5330228000002535,0.1827949999997145
0.5,random,1,7,4.515300200000638,4.4312136999997165,4.703316000000086,4.2551766999986285,4.741851499999029,0.2721023000003697
0.5,risk_proxy,1,7,4.467990800001644,4.357476850000239,4.500587150000683,4.220809700000245,4.643367199998465,0.1431103000004441
0.75,always,1,7,6.6265499999990425,6.593828700000813,6.650485199999821,6.338794499999494,6.754083499999979,0.05665649999900779
0.75,bc,1,7,6.627748599999904,6.547186150000016,6.778447400000914,6.3669537999994645,6.832636499999353,0.23126125000089814
0.75,bc_live,1,7,4.090742899999896,4.0741132000002835,4.1213463000003685,4.051910000000135,4.182428599999184,0.04723310000008496
0.75,never,1,7,6.685916899999938,6.5575148000007175,6.731765649999943,6.344228699999803,6.931103099999746,0.17425084999922547
0.75,random,1,7,6.6820952000016405,6.578686349999771,6.861129750000146,6.489424600000348,6.976754299999811,0.2824434000003748
0.75,risk_proxy,1,7,6.669716799999151,6.528594500000509,6.737679449999632,6.418373700000302,6.991581100000985,0.20908494999912364
1.0,always,1,15,9.11795919999986,9.03767979999975,9.386484199999813,8.637994799999433,9.948234699999375,0.34880440000006274
1.0,always,2,15,8.969323999999688,8.641437999999653,9.12796660000049,8.472193800000241,10.040933199999929,0.4865286000008382
1.0,always,4,15,8.417394899999636,8.29058939999959,8.513987600000291,8.140214400000332,9.430451700000049,0.22339820000070176
1.0,always,8,15,8.531695800000307,8.358804499999678,8.568423449999955,8.3043691999992,8.643130100000235,0.20961895000027653
1.0,bc,1,15,9.105778099999952,8.76647469999989,9.357582850000199,8.522434100001192,10.600506899999344,0.5911081500003093
1.0,bc,2,15,8.964729100000113,8.66795860000002,9.308316449999893,8.522109499999715,9.673118599999723,0.640357849999873
1.0,bc,4,15,8.423467399999936,8.29716394999923,8.5758100500002,8.171253700000307,9.336570800000118,0.27864610000096945
1.0,bc,8,15,8.476991300000009,8.357942199999343,8.614221400000133,8.344601400000101,8.80749250000008,0.2562792000007903
1.0,bc_live,1,15,5.671244600000136,5.438518949999889,5.791183150000052,5.320816600000399,5.897595700000238,0.35266420000016296
1.0,bc_live,2,15,5.867856500000016,5.753572550000172,6.051248649999707,5.457607700000153,6.85007239999959,0.2976760999995349
1.0,bc_live,4,15,6.062791199999992,5.623211099999935,6.100536949999878,5.531072800000402,6.863142700000026,0.4773258499999429
1.0,bc_live,8,15,5.886616699999649,5.7206396999999924,6.201144600000134,5.604148799999166,6.801855200000318,0.4805049000001418
1.0,never,1,15,8.996924700000818,8.897651650000626,9.34784135000018,8.394136400000207,9.62072309999985,0.45018969999955516
1.0,never,2,15,8.901573699999972,8.538470350001262,9.147149300000367,8.017482999999629,9.314733899999736,0.6086789499991045
1.0,never,4,15,8.281616299999769,8.123301149998952,8.414991699999973,8.081284900001265,8.836923500000012,0.2916905500010216
1.0,never,8,15,8.315544299999601,8.2192248500005,8.419272399999954,8.178940599998896,8.445012300000599,0.20004754999945362
1.0,random,1,15,9.375718400000553,8.933734249999361,9.525244700000258,8.672254600000088,9.62382880000041,0.5915104500008965
1.0,random,2,15,9.115306400000009,8.80653435000022,9.26569789999985,8.47512210000059,9.404900599999564,0.45916354999963005
1.0,random,4,15,8.456914800000959,8.358153300000595,8.538651950000258,8.25678920000064,8.626251000000593,0.18049864999966303
1.0,random,8,15,8.589057400000456,8.402518750000127,8.639693950000037,8.382088800000929,8.845912599999792,0.23717519999991055
1.0,risk_proxy,1,15,9.174574599999689,8.897082149999733,9.384186200000386,8.561544299998786,9.777908199999729,0.48710405000065293
1.0,risk_proxy,2,15,8.809794200000397,8.57915734999915,9.19808649999959,8.38039690000005,9.50027940000018,0.6189291500004401
1.0,risk_proxy,4,15,8.2849939000007,8.21797719999995,8.407097750000503,8.085763600000064,8.590728000000126,0.1891205500005526
1.0,risk_proxy,8,15,8.446969499999796,8.310846200000015,8.483773100000235,8.25581030000103,8.615995099999964,0.17292690000022048
