policy,workers,paired_repetitions,runtime_median_seconds,runtime_q1_seconds,runtime_q3_seconds,runtime_iqr_seconds,median_paired_speedup,ci95_lower,ci95_upper,confidence,bootstrap_samples
always,1,15,0.1503528000012011,0.14799469999979914,0.1540400499998213,0.006045350000022154,1.0,1.0,1.0,0.95,10000
always,2,15,0.4304116999992402,0.38582059999953344,0.45303715000045486,0.06721655000092142,0.3511050174981395,0.3430382978973011,0.38521574039385387,0.95,10000
always,4,15,0.4025447000003623,0.3814455000001544,0.5069411000004038,0.1254956000002494,0.3767756175749533,0.3049585163838986,0.38179675388109047,0.95,10000
always,8,15,0.4482764000003953,0.4048509999993257,0.5731622499988589,0.16831124999953317,0.3595595393651958,0.3048059852979181,0.3767712888045473,0.95,10000
never,1,15,0.0963310999995883,0.09444494999934244,0.1006541499991726,0.006209199999830162,1.0,1.0,1.0,0.95,10000
never,2,15,0.3503220000002329,0.30855774999963614,0.37968185000045196,0.07112410000081582,0.266698637254165,0.2529688641485922,0.3265678495356078,0.95,10000
never,4,15,0.3391914000003453,0.30347039999924164,0.4538288999992801,0.15035850000003848,0.2701426081965264,0.21191174220928244,0.315271220326644,0.95,10000
never,8,15,0.3423224000016489,0.28926139999930456,0.416801200000009,0.12753980000070442,0.3032344796380629,0.2571431540161987,0.3312575957069158,0.95,10000
random,1,15,0.1585876000008284,0.15699969999968738,0.16050470000118366,0.0035050000014962834,1.0,1.0,1.0,0.95,10000
random,2,15,0.4319857000009506,0.42063435000000027,0.4703084500006298,0.04967410000062955,0.36725649880915673,0.32853477275520954,0.3805639369795977,0.95,10000
random,4,15,0.4508311999998113,0.38827069999933883,0.5332824999995864,0.1450118000002476,0.3472686985199981,0.2953092434154073,0.38257283841204576,0.95,10000
random,8,15,0.4250926000004256,0.4173649499998646,0.5412350500000684,0.12387010000020382,0.3664502745979957,0.2767333350684645,0.38454096170038204,0.95,10000
risk_proxy,1,15,0.1199223999992682,0.11813020000045066,0.1208204499998828,0.00269024999943214,1.0,1.0,1.0,0.95,10000
risk_proxy,2,15,0.3801665000009961,0.3462014000006093,0.4071846500000902,0.060983249999480904,0.3319963890287318,0.30742044429934823,0.34489290720550114,0.95,10000
risk_proxy,4,15,0.3766270999985863,0.34501985000042623,0.44196089999968535,0.09694104999925912,0.32115506292735974,0.2970361080490989,0.3351007590705925,0.95,10000
risk_proxy,8,15,0.3686871999998402,0.3288180499994269,0.4188024000004589,0.089984350001032,0.32641212493300775,0.3109233934547024,0.35532445345337327,0.95,10000
