dataset_fraction,workload_name,policy_mode,seed,workers,trace_hash,reference_hash,hash_match,record_trace_hash,reference_record_trace_hash,record_trace_hash_match,config_manifest_hash,config_bound_trace_hash,intervention_rate,reference_intervention_rate,intervention_rate_delta,unauthorized_invocations,authorization_execution_consistent,receipt_validation_passed,receipt_fault_injected_count,expected_row_count,observed_row_count,row_count_match,validation_passed,fault_injected_count
1.0,fraction_1p0,rule_gate,1,1,6e8d3605a5d01992bcbdb75bcef0084794245f180c9981c41544adb5c28c781d,6e8d3605a5d01992bcbdb75bcef0084794245f180c9981c41544adb5c28c781d,1,,,,dd97d9bf2952a634ce495ac55272836928562048a716efe182cba16828e94301,,0.16735,0.16735,0.0,0,1,1,0,20000,20000,1,1,186
1.0,fraction_1p0,rule_gate,1,4,6e8d3605a5d01992bcbdb75bcef0084794245f180c9981c41544adb5c28c781d,6e8d3605a5d01992bcbdb75bcef0084794245f180c9981c41544adb5c28c781d,1,,,,71bdf1421b218c0d2ad5d09f5ddc987533971d75ba79cb65e019044726178e31,,0.16735,0.16735,0.0,0,1,1,0,20000,20000,1,1,186
1.0,fraction_1p0,rule_gate,2,1,8c4acee00328ecb19b726a312c40f61a8461dde82145ebd946f000e8682309ef,8c4acee00328ecb19b726a312c40f61a8461dde82145ebd946f000e8682309ef,1,,,,b87a5b9554618ae8946132d636630e5e43dac8af76fa597a4579cd69b8c6bb6b,,0.1682,0.1682,0.0,0,1,1,0,20000,20000,1,1,199
1.0,fraction_1p0,rule_gate,2,4,8c4acee00328ecb19b726a312c40f61a8461dde82145ebd946f000e8682309ef,8c4acee00328ecb19b726a312c40f61a8461dde82145ebd946f000e8682309ef,1,,,,13e04b3dba5d31cef2780e519855e17b4c7c82caf4083773667270a606073a97,,0.1682,0.1682,0.0,0,1,1,0,20000,20000,1,1,199
1.0,fraction_1p0,rule_gate,3,1,16674edcd40aa6c593c9d36c9198fbda3196abb2ad3798656536852fdf44136b,16674edcd40aa6c593c9d36c9198fbda3196abb2ad3798656536852fdf44136b,1,,,,c65ee9b39946ee4ab0bf061d9eb412ef222443f29b1070a4e891ae18a6f8acff,,0.1676,0.1676,0.0,0,1,1,0,20000,20000,1,1,203
1.0,fraction_1p0,rule_gate,3,4,16674edcd40aa6c593c9d36c9198fbda3196abb2ad3798656536852fdf44136b,16674edcd40aa6c593c9d36c9198fbda3196abb2ad3798656536852fdf44136b,1,,,,4f7ffb4d96ea6a63cadb50b6d3145734ba1077811550f9a4c6720be11a5db8cf,,0.1676,0.1676,0.0,0,1,1,0,20000,20000,1,1,203
1.0,fraction_1p0,random,1,1,479a7bf4e7390c44137ede9f0d6866677e26971302b945d8ac66a41d0efc7510,479a7bf4e7390c44137ede9f0d6866677e26971302b945d8ac66a41d0efc7510,1,,,,82eec4e886cabadbdbded1ca5e72750f830e62dc1bb2f511d2f3ee5c1db43de8,,0.49605,0.49605,0.0,0,1,1,0,20000,20000,1,1,188
1.0,fraction_1p0,random,1,4,479a7bf4e7390c44137ede9f0d6866677e26971302b945d8ac66a41d0efc7510,479a7bf4e7390c44137ede9f0d6866677e26971302b945d8ac66a41d0efc7510,1,,,,015d7af121c72e40daa3cb6060c1ddfe125e3fe77ebbb45e8aa3874247149360,,0.49605,0.49605,0.0,0,1,1,0,20000,20000,1,1,188
1.0,fraction_1p0,random,2,1,984323138b5cb611bd9024a373b01417255ddcc28df4a844b95c0b56948922ef,984323138b5cb611bd9024a373b01417255ddcc28df4a844b95c0b56948922ef,1,,,,05e5dbb1898d33b0803312c692b83656dac49eac27c56a081eef5d267b401caa,,0.50255,0.50255,0.0,0,1,1,0,20000,20000,1,1,182
1.0,fraction_1p0,random,2,4,984323138b5cb611bd9024a373b01417255ddcc28df4a844b95c0b56948922ef,984323138b5cb611bd9024a373b01417255ddcc28df4a844b95c0b56948922ef,1,,,,8018bb32977a73979b1f73a860aa1df09b8340c42c6bc6f32e55e68c844020bb,,0.50255,0.50255,0.0,0,1,1,0,20000,20000,1,1,182
1.0,fraction_1p0,random,3,1,c6b38668526e022f8401c9e9032126dace31b30ed539c5b293ef3c91309d0ead,c6b38668526e022f8401c9e9032126dace31b30ed539c5b293ef3c91309d0ead,1,,,,7963b1b458d6a07baca6c87d067f037a47b76d1f1458df8654e76075cdc6f768,,0.49505,0.49505,0.0,0,1,1,0,20000,20000,1,1,197
1.0,fraction_1p0,random,3,4,c6b38668526e022f8401c9e9032126dace31b30ed539c5b293ef3c91309d0ead,c6b38668526e022f8401c9e9032126dace31b30ed539c5b293ef3c91309d0ead,1,,,,50170a55f04acc08d5095ec62f52042d4354a1fc75ea8003578b85ade9f8d1f2,,0.49505,0.49505,0.0,0,1,1,0,20000,20000,1,1,197
1.0,fraction_1p0,never,1,1,95eacb292b72713621cd15840eea455b900cccdda03ef109dc368aff5a228882,95eacb292b72713621cd15840eea455b900cccdda03ef109dc368aff5a228882,1,,,,ac1fa61604244c4a7722f5e0c58064a9b3f051210a3ea7f5c0874afffaae87f4,,0.0098,0.0098,0.0,0,1,1,0,20000,20000,1,1,196
1.0,fraction_1p0,never,1,4,95eacb292b72713621cd15840eea455b900cccdda03ef109dc368aff5a228882,95eacb292b72713621cd15840eea455b900cccdda03ef109dc368aff5a228882,1,,,,ccfe4987184432c7e64d0c399240466c9b9c3e53deee7b26f85dc68a75953770,,0.0098,0.0098,0.0,0,1,1,0,20000,20000,1,1,196
1.0,fraction_1p0,never,2,1,6767eab7add7f52a6d436e33011dc5ed356c2025bb266915aff367814eaaaf22,6767eab7add7f52a6d436e33011dc5ed356c2025bb266915aff367814eaaaf22,1,,,,ad3844169355a6a9dda5319d30b0e2c9fc39c5314b09e1b8bb5bc46b7a381767,,0.0114,0.0114,0.0,0,1,1,0,20000,20000,1,1,228
1.0,fraction_1p0,never,2,4,6767eab7add7f52a6d436e33011dc5ed356c2025bb266915aff367814eaaaf22,6767eab7add7f52a6d436e33011dc5ed356c2025bb266915aff367814eaaaf22,1,,,,2f8ccaf989462b485404b96d46bcc72761431214ba80b47fc2bf842d9f5d0ff5,,0.0114,0.0114,0.0,0,1,1,0,20000,20000,1,1,228
1.0,fraction_1p0,never,3,1,df538730dd6459a10512e793b618aab35364fa441886aaae87b2d0503681fcfb,df538730dd6459a10512e793b618aab35364fa441886aaae87b2d0503681fcfb,1,,,,08cdffdfb6f37cf175ed259f7ec6149fa18235c47616271a0891acfaf6ed164d,,0.0098,0.0098,0.0,0,1,1,0,20000,20000,1,1,196
1.0,fraction_1p0,never,3,4,df538730dd6459a10512e793b618aab35364fa441886aaae87b2d0503681fcfb,df538730dd6459a10512e793b618aab35364fa441886aaae87b2d0503681fcfb,1,,,,0ef03c1bbeb3dca4dd1345a28a557dfa51f5e0226601cf55b7f99eb339ba661a,,0.0098,0.0098,0.0,0,1,1,0,20000,20000,1,1,196
