dataset_fraction,workload_name,policy_mode,seed,workers,runtime_seconds,throughput_points_per_second,speedup_vs_single_worker,throughput_gain_vs_single_worker
1.0,fraction_1p0,never,1,1,0.25912590000007185,77182.55874844798,1.0,1.0
1.0,fraction_1p0,never,1,4,0.683264400002372,29271.24550895754,0.3792468918315842,0.37924689183158417
1.0,fraction_1p0,never,2,1,0.2689969999992172,74350.27156458325,1.0,1.0
1.0,fraction_1p0,never,2,4,0.9490189999996801,21074.393663358416,0.2834474336122964,0.28344743361229635
1.0,fraction_1p0,never,3,1,0.2677819999989879,74687.61903367513,1.0,1.0
1.0,fraction_1p0,never,3,4,0.6359864999976708,31447.208392117205,0.421049817881305,0.421049817881305
1.0,fraction_1p0,random,1,1,0.37358600000152364,53535.19671486199,1.0,1.0
1.0,fraction_1p0,random,1,4,1.138196700001572,17571.655233205627,0.32822621959895654,0.32822621959895654
1.0,fraction_1p0,random,2,1,0.39788319999934174,50266.00771289939,1.0,1.0
1.0,fraction_1p0,random,2,4,1.0835885999986203,18457.18937983056,0.36719027867204246,0.36719027867204246
1.0,fraction_1p0,random,3,1,0.3750355000011041,53328.28492220369,1.0,1.0
1.0,fraction_1p0,random,3,4,1.0528621999983443,18995.83820183824,0.35620568389832385,0.3562056838983239
1.0,fraction_1p0,rule_gate,1,1,0.3705169000022579,53978.64442857565,1.0,1.0
1.0,fraction_1p0,rule_gate,1,4,0.9753965999989305,20504.47992131809,0.37986281683026596,0.37986281683026596
1.0,fraction_1p0,rule_gate,2,1,0.3880563000020629,51538.91329658526,1.0,1.0
1.0,fraction_1p0,rule_gate,2,4,0.747610700000223,26751.891057731027,0.5190619930960688,0.5190619930960688
1.0,fraction_1p0,rule_gate,3,1,0.3753480000013951,53283.88588703193,1.0,1.0
1.0,fraction_1p0,rule_gate,3,4,0.7841322999993281,25505.899961036088,0.47867942693052784,0.4786794269305279
