run_id,configuration_id,execution_instance_id,policy_mode,seed,workers,decision_points,total_runtime_seconds,timed_execution_runtime_seconds,end_to_end_runtime_seconds,checkpoint_preparation_seconds,replay_only_runtime_seconds,post_replay_validation_seconds,timed_runtime_decomposition_error_seconds,end_to_end_runtime_decomposition_error_seconds,runtime_decomposition_tolerance_seconds,runtime_decomposition_valid,runtime_boundary_definition,throughput_points_per_second,end_to_end_throughput_points_per_second,replay_only_throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,primary_trace_unauthorized_invocations,authorization_execution_consistent,execution_receipts_enabled,receipt_validation_passed,receipt_rows,orphan_receipts,missing_receipts,unlogged_downstream_calls,duplicate_downstream_calls,mismatched_correlation_ids,receipt_fault_injected_count,record_trace_hash,config_manifest_hash,config_bound_trace_hash,expected_row_count,observed_row_count,row_count_match,validation_passed,fault_injected_count,trace_hash,memory_before_mb,memory_after_mb,memory_delta_mb,state_missing_count,dataset_fraction,workload_name,input_csv
rbpg-dd97d9bf2952a634ce495ac5,rbpg-dd97d9bf2952a634ce495ac5,rbpg-exec-eef172dd42af4de4a4a36de2962f2b82,rule_gate,1,1,20000,0.3705169000022579,0.3705169000022579,0.46495470000081696,0.0,0.3705169000022579,0.09443779999855906,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,53978.64442857565,43014.94317610911,53978.64442857565,0.01746895500764367,0.015699999494245276,0.02260000110254623,0.16735,0,0,1,0,1,0,0,0,0,0,0,0,,dd97d9bf2952a634ce495ac55272836928562048a716efe182cba16828e94301,,20000,20000,1,1,186,6e8d3605a5d01992bcbdb75bcef0084794245f180c9981c41544adb5c28c781d,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,rule_gate,1,4,20000,0.9753965999989305,0.9753965999989305,1.0805540000001201,0.0,0.9753965999989305,0.10515740000118967,0.0,0.0,1.0805540000001201e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,20504.47992131809,18509.024074685556,20504.47992131809,0.07097722000471549,0.017800000932766125,0.04050500265293515,0.16735,0,0,1,0,1,0,0,0,0,0,0,0,,71bdf1421b218c0d2ad5d09f5ddc987533971d75ba79cb65e019044726178e31,,20000,20000,1,1,186,6e8d3605a5d01992bcbdb75bcef0084794245f180c9981c41544adb5c28c781d,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-10689871d2a645aab63c07672992e000,rule_gate,2,1,20000,0.3880563000020629,0.3880563000020629,0.4815970000017842,0.0,0.3880563000020629,0.09354069999972126,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,51538.91329658526,41528.49789331309,51538.91329658526,0.018327214974488016,0.015899997379165143,0.02809999950841302,0.1682,0,0,1,0,1,0,0,0,0,0,0,0,,b87a5b9554618ae8946132d636630e5e43dac8af76fa597a4579cd69b8c6bb6b,,20000,20000,1,1,199,8c4acee00328ecb19b726a312c40f61a8461dde82145ebd946f000e8682309ef,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-13e04b3dba5d31cef2780e51,rbpg-13e04b3dba5d31cef2780e51,rbpg-exec-221e57c014974de3a4636d49f11eb8a8,rule_gate,2,4,20000,0.747610700000223,0.747610700000223,0.8459462999999232,0.0,0.747610700000223,0.09833559999970021,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,26751.891057731027,23642.162629001174,26751.891057731027,0.06666201502102923,0.016599999071331695,0.028200000087963417,0.1682,0,0,1,0,1,0,0,0,0,0,0,0,,13e04b3dba5d31cef2780e519855e17b4c7c82caf4083773667270a606073a97,,20000,20000,1,1,199,8c4acee00328ecb19b726a312c40f61a8461dde82145ebd946f000e8682309ef,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-c65ee9b39946ee4ab0bf061d,rbpg-c65ee9b39946ee4ab0bf061d,rbpg-exec-9be3c7065d974fd9b4fa034974792f5b,rule_gate,3,1,20000,0.3753480000013951,0.3753480000013951,0.4680331000017759,0.0,0.3753480000013951,0.09268510000038077,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,53283.88588703193,42732.02044881893,53283.88588703193,0.017727864995140407,0.015899997379165143,0.02260000110254623,0.1676,0,0,1,0,1,0,0,0,0,0,0,0,,c65ee9b39946ee4ab0bf061d9eb412ef222443f29b1070a4e891ae18a6f8acff,,20000,20000,1,1,203,16674edcd40aa6c593c9d36c9198fbda3196abb2ad3798656536852fdf44136b,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-d6629d6a37a64bd78678ef57b1242c43,rule_gate,3,4,20000,0.7841322999993281,0.7841322999993281,0.8840969000011683,0.0,0.7841322999993281,0.09996460000184015,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,25505.899961036088,22621.95467484794,25505.899961036088,0.09071740000672435,0.016499998309882358,0.02719999974942766,0.1676,0,0,1,0,1,0,0,0,0,0,0,0,,4f7ffb4d96ea6a63cadb50b6d3145734ba1077811550f9a4c6720be11a5db8cf,,20000,20000,1,1,203,16674edcd40aa6c593c9d36c9198fbda3196abb2ad3798656536852fdf44136b,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-82eec4e886cabadbdbded1ca,rbpg-82eec4e886cabadbdbded1ca,rbpg-exec-b1837b70f5cd47af8f60057042bcfd3f,random,1,1,20000,0.37358600000152364,0.37358600000152364,0.46437560000049416,0.0,0.37358600000152364,0.09078959999897052,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,53535.19671486199,43068.58499882147,53535.19671486199,0.017693779995715885,0.01880000127130188,0.020600000425474718,0.49605,0,0,1,0,1,0,0,0,0,0,0,0,,82eec4e886cabadbdbded1ca5e72750f830e62dc1bb2f511d2f3ee5c1db43de8,,20000,20000,1,1,188,479a7bf4e7390c44137ede9f0d6866677e26971302b945d8ac66a41d0efc7510,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-015d7af121c72e40daa3cb60,rbpg-015d7af121c72e40daa3cb60,rbpg-exec-42b2c2f6aa284979ac5c29c609ee0092,random,1,4,20000,1.138196700001572,1.138196700001572,1.2480018000023847,0.0,1.138196700001572,0.10980510000081267,0.0,0.0,1.2480018000023847e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,17571.655233205627,16025.617911738416,17571.655233205627,0.05693499000153679,0.021200001356191933,0.03769999984797323,0.49605,0,0,1,0,1,0,0,0,0,0,0,0,,015d7af121c72e40daa3cb6060c1ddfe125e3fe77ebbb45e8aa3874247149360,,20000,20000,1,1,188,479a7bf4e7390c44137ede9f0d6866677e26971302b945d8ac66a41d0efc7510,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-05e5dbb1898d33b0803312c6,rbpg-05e5dbb1898d33b0803312c6,rbpg-exec-843555d5ca74429986a5278b9b5854b4,random,2,1,20000,0.39788319999934174,0.39788319999934174,0.49160589999883086,0.0,0.39788319999934174,0.09372269999948912,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,50266.00771289939,40682.99424406331,50266.00771289939,0.018835534989557347,0.01880000127130188,0.02809999932651408,0.50255,0,0,1,0,1,0,0,0,0,0,0,0,,05e5dbb1898d33b0803312c692b83656dac49eac27c56a081eef5d267b401caa,,20000,20000,1,1,182,984323138b5cb611bd9024a373b01417255ddcc28df4a844b95c0b56948922ef,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-8018bb32977a73979b1f73a8,rbpg-8018bb32977a73979b1f73a8,rbpg-exec-b06f1e0a903341869d4233060fbc1c8b,random,2,4,20000,1.0835885999986203,1.0835885999986203,1.1877459999996063,0.0,1.0835885999986203,0.10415740000098594,0.0,0.0,1.1877459999996064e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,18457.18937983056,16838.617010713257,18457.18937983056,0.05539908001137519,0.020200001017656177,0.042400002712383866,0.50255,0,0,1,0,1,0,0,0,0,0,0,0,,8018bb32977a73979b1f73a860aa1df09b8340c42c6bc6f32e55e68c844020bb,,20000,20000,1,1,182,984323138b5cb611bd9024a373b01417255ddcc28df4a844b95c0b56948922ef,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
