row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,0:metropt3_00000000,d0782e618ab8612831602dbbbf49ca6b,0,0,0,clean,0,not_invoked,,0,0,0.006199999916134402,0.0015000005078036338,0.000200001522898674,0.00670000008540228,0.006900001608300954,0.04059999992023222
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,1:metropt3_00000750,05da0fab18234fd47fe9504c0f177e66,0,0,0,clean,0,not_invoked,,0,0,0.0032999996619764715,0.0008999995770864189,0.00019999788491986692,0.01979999797185883,0.005199999577598646,0.046700002712896094
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,2:metropt3_00001510,634a9b2ba786f34a2b7b58468cee6d3f,0,0,0,clean,0,not_invoked,,0,0,0.0017000020307023078,0.0005000001692678779,0.00019999788491986692,0.0040000013541430235,0.003999997716164216,0.01799999881768599
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,3:metropt3_00002270,2f8ac53cff4768ff2b2410e707d06687,0,0,0,clean,0,not_invoked,,0,0,0.024499997380189598,0.0010000003385357559,0.000300002284348011,0.007200000254670158,0.00660000296193175,0.07989999721758068
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,4:metropt3_00003030,e0cc9fcb36404940b3d5158d89451d40,0,0,0,clean,0,not_invoked,,0,0,0.0020000006770715117,0.000700001692166552,0.0002999986463692039,0.004699999408330768,0.004600002284860238,0.021899999410379678
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,5:metropt3_00003790,2264ac44ca4af6aabc57d0219fe4a4b8,0,0,0,clean,0,not_invoked,,0,0,0.0016000012692529708,0.0005000001692678779,0.00019999788491986692,0.0039000005926936865,0.017800000932766125,0.031299998227041215
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,6:metropt3_00004550,85f9c707a7e6869964ec6fadf9fc19d8,0,0,0,clean,0,not_invoked,,0,0,0.0026000016077887267,0.0005999972927384079,0.000200001522898674,0.004900000931229442,0.004099998477613553,0.06539999958476983
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,7:metropt3_00005300,a340fcd9eb2fbf85235359b3ae0632f3,0,0,0,clean,0,not_invoked,,0,0,0.0013999997463542968,0.00039999940781854093,0.000200001522898674,0.0035000011848751456,0.017400001524947584,0.029900002118665725
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,8:metropt3_00006060,fc43e36219ff125a7b38ad507f0bb846,0,0,0,clean,0,not_invoked,,0,0,0.0010999974620062858,0.00039999940781854093,9.999712347052991e-05,0.0029999973776284605,0.0029000002541579306,0.030300001526484266
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,9:metropt3_00006820,cd2f690e8da96820d7537357337659a1,0,0,0,clean,0,not_invoked,,0,0,0.0036999990697950125,0.0011000010999850929,0.00019999788491986692,0.007200000254670158,0.006800000846851617,0.03890000152750872
10,metropt3_00007580,metropt3_00007580,2020-02-01 02:05:12,control_signal_active,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,10:metropt3_00007580,38d94128fa4c18020bb7a4285d5b8d8c,0,0,0,clean,0,not_invoked,,0,0,0.0021000014385208488,0.000700001692166552,0.000300002284348011,0.004800000169780105,0.01920000067912042,0.0365999985660892
11,metropt3_00008340,metropt3_00008340,2020-02-01 02:17:45,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,11:metropt3_00008340,499a3800941b2acbf3f0095f62031759,0,0,0,clean,0,not_invoked,,0,0,0.0015999976312741637,0.0005000001692678779,0.00019999788491986692,0.0032999996619764715,0.0031000017770566046,0.02939999831141904
12,metropt3_00009100,metropt3_00009100,2020-02-01 02:30:19,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,12:metropt3_00009100,7092af9b0a4bda35f8cb4e67e4679811,0,0,0,clean,0,not_invoked,,0,0,0.0010000003385357559,0.00039999940781854093,0.00019999788491986692,0.0029999973776284605,0.0030000010156072676,0.013500000932253897
13,metropt3_00009860,metropt3_00009860,2020-02-01 02:42:52,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,13:metropt3_00009860,0ec0c6f9cd2c2692bc14a383d004f23c,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864189,0.00039999940781854093,0.00019999788491986692,0.0029000002541579306,0.0027000023692380637,0.012600001355167478
14,metropt3_00010610,metropt3_00010610,2020-02-01 02:55:16,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,14:metropt3_00010610,6a876994add303a24a405e61096c58bd,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864189,0.0002999986463692039,0.000200001522898674,0.0029000002541579306,0.0025999979698099196,0.012600001355167478
15,metropt3_00011370,metropt3_00011370,2020-02-01 03:07:49,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,15:metropt3_00011370,f9047dd3e6e3be03640d4ac082eaf8cc,0,0,0,clean,0,not_invoked,,0,0,0.0010000003385357559,0.0002999986463692039,0.000100000761449337,0.0029000002541579306,0.0026999987312592566,0.012599997717188671
16,metropt3_00012130,metropt3_00012130,2020-02-01 03:20:22,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,16:metropt3_00012130,74a464b3c2b2fe59b543058d9a4afd8d,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864189,0.000400003045797348,0.000200001522898674,0.0030000010156072676,0.0025999979698099196,0.012500000593718141
17,metropt3_00012890,metropt3_00012890,2020-02-01 03:32:56,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,17:metropt3_00012890,aef0cc72edf3fb1ba89b0b75ed71641c,0,0,0,clean,0,not_invoked,,0,0,0.0010999974620062858,0.00039999940781854093,0.00019999788491986692,0.0029999973776284605,0.0025000008463393897,0.012500000593718141
18,metropt3_00013650,metropt3_00013650,2020-02-01 03:45:29,control_signal_active,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,18:metropt3_00013650,69652fb772a4e9194a95de925e2ca28c,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864189,0.00039999940781854093,0.00019999788491986692,0.0029000002541579306,0.0027000023692380637,0.012499996955739334
19,metropt3_00014410,metropt3_00014410,2020-02-01 03:58:02,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,19:metropt3_00014410,c5865dd73d9cc571c7870398cfcb4f97,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864189,0.00039999940781854093,0.00019999788491986692,0.0030000010156072676,0.0027000023692380637,0.012500000593718141
20,metropt3_00015170,metropt3_00015170,2020-02-01 04:10:35,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,20:metropt3_00015170,5a0866c3d939e80e2938b7d10c68a2ad,0,0,0,clean,0,not_invoked,,0,0,0.0010000003385357559,0.000300002284348011,0.000100000761449337,0.0029000002541579306,0.0025999979698099196,0.012399999832268804
21,metropt3_00015920,metropt3_00015920,2020-02-01 04:22:58,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-791f83512201437b82ad081e38a77376,21:metropt3_00015920,b3bb13dbcff41e017c7000e1f325e5af,0,0,0,clean,0,not_invoked,,0,0,0.0007999988156370819,0.000300002284348011,0.000100000761449337,0.0029000002541579306,0.0025999979698099196,0.012299999070819467
