row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,0:metropt3_00000000,e4651e68e87e0581c6a37a0830655a8d,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00000000"", ""safety"": ""ok""}",0,0,0.006199999916134402,0.0121000011858996,0.00019999788491986692,0.016999998479150236,0.006999998731771484,0.053499999921768904
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,1:metropt3_00000750,e270a0642c9d850c801a20c197e5335d,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00000750"", ""safety"": ""ok""}",0,0,0.004300000000512227,0.013600001693703234,0.000200001522898674,0.040499999158782884,0.006000002031214535,0.08919999891077168
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,2:metropt3_00001510,18d3d9489ec99a5fcd7e430ffffe98b0,0,0,0,clean,0,not_invoked,,0,0,0.0016999983927235007,0.005399997462518513,0.000300002284348011,0.004400000761961564,0.004300000000512227,0.022799998987466097
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,3:metropt3_00002270,6955607169b87d449dc0b111028bf8de,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00002270"", ""safety"": ""ok""}",0,0,0.0032999996619764715,0.03199999991920777,0.0002999986463692039,0.01840000186348334,0.006099999154685065,0.0911999995878432
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,4:metropt3_00003030,b0f1b0994b1ad73ad083ccd0351c942e,0,0,0,clean,0,not_invoked,,0,0,0.0018999999156221747,0.005500001861946657,0.00019999788491986692,0.004499997885432094,0.004500001523410901,0.023399999918183312
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,5:metropt3_00003790,a024429fbda5dfad99daa19608ee6c16,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00003790"", ""safety"": ""ok""}",0,0,0.015599998732795939,0.003999997716164216,0.01680000059423037,0.010699997801566496,0.0034000004234258085,0.05569999848376028
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,6:metropt3_00004550,a273a985c5cf49d151e202b84b3388c5,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00004550"", ""safety"": ""ok""}",0,0,0.02559999848017469,0.026799996703630313,0.0002999986463692039,0.030899998819222674,0.019600000086938962,0.11280000035185367
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,7:metropt3_00005300,708233ef7dbb55e9879e65df2f8ed1a2,0,0,0,clean,0,not_invoked,,0,0,0.0016000012692529708,0.004800000169780105,0.000200001522898674,0.0037999998312443495,0.0039000005926936865,0.019899998733308166
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,8:metropt3_00006060,4218b56ad129258ca37c3a0493ddcad0,0,0,0,clean,0,not_invoked,,0,0,0.0013999997463542968,0.0035000011848751456,0.000100000761449337,0.0032000025385059416,0.0032000025385059416,0.016600002709310502
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,9:metropt3_00006820,ab380a16391ef7cf2b3ee2458d874463,0,0,0,clean,0,not_invoked,,0,0,0.008500002877553925,0.03130000186502002,0.0002999986463692039,0.009499999578110874,0.009800001862458885,0.0760000002628658
10,metropt3_00007580,metropt3_00007580,2020-02-01 02:05:12,control_signal_active,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,10:metropt3_00007580,c7d9facd34f50a0a214ddb510973554b,0,0,0,clean,0,not_invoked,,0,0,0.0026000016077887267,0.007200000254670158,0.000300002284348011,0.00540000110049732,0.005699999746866524,0.030499999411404133
11,metropt3_00008340,metropt3_00008340,2020-02-01 02:17:45,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-c6eb7a018fa8492689277d092a161648,11:metropt3_00008340,c64fcd5e85c6c6dfa08be834c31d5c66,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00008340"", ""safety"": ""ok""}",0,0,0.0018999999156221747,0.005800000508315861,0.0002999986463692039,0.027300000510877,0.005300000339047983,0.04860000262851827
