row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,0:metropt3_00000000,01e56cd873e57b8db5b08a338e940b08,0,0,0,clean,0,not_invoked,,0,0,0.007599999662488699,0.015699999494245276,0.000200001522898674,0.00790000194683671,0.007099999493220821,0.05779999992228113
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,1:metropt3_00000750,233b6ae9fddc70b55a9d8c7eff039dee,0,0,0,clean,0,not_invoked,,0,0,0.0041000021155923605,0.01179999890155159,0.0002999986463692039,0.006900001608300954,0.006599999323952943,0.04769999941345304
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,2:metropt3_00001510,59df3dc8c9b16bb048afea4a8985daef,0,0,0,clean,0,not_invoked,,0,0,0.0016999983927235007,0.005900001269765198,0.000200001522898674,0.022000000171829015,0.004800000169780105,0.08289999823318794
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,3:metropt3_00002270,6309a9797347ccb349b8a49f2e3368a6,0,0,0,clean,0,not_invoked,,0,0,0.017800000932766125,0.03199999991920777,0.000300002284348011,0.005800000508315861,0.005399997462518513,0.07650000043213367
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,4:metropt3_00003030,ed30113f59136bc7cb5576f2f1332138,0,0,0,clean,0,not_invoked,,0,0,0.0018999999156221747,0.00549999822396785,0.000200001522898674,0.004699999408330768,0.0040000013541430235,0.02479999966453761
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,5:metropt3_00003790,f608adb5d60f89f154aaabd0e8ccbe47,0,0,0,clean,0,not_invoked,,0,0,0.0013000026228837669,0.004599998646881431,0.00019999788491986692,0.027099998987978324,0.0034999975468963385,0.05779999992228113
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,6:metropt3_00004550,01cfabf28a2ef0e3278303c3a2fe3d10,0,0,0,clean,0,not_invoked,,0,0,0.0029999973776284605,0.008000002708286047,0.000200001522898674,0.005199999577598646,0.004600002284860238,0.03420000211917795
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,7:metropt3_00005300,50036e18c22315a61dd4025ecddeba7e,0,0,0,clean,0,not_invoked,,0,0,0.0015000005078036338,0.004999998054699972,0.000200001522898674,0.018299997464055195,0.0032999996619764715,0.03590000051190145
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,8:metropt3_00006060,44f62ea078de427de731abc4e1ad030f,0,0,0,clean,0,not_invoked,,0,0,0.0010999974620062858,0.00419999923906289,0.00019999788491986692,0.0035000011848751456,0.0032999996619764715,0.018700000509852543
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,rule_gate,1,0,0,0,0,0,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-549354e72f774348b6f1625f0b299da6,9:metropt3_00006820,e90db5ed9b236a9fc0dc08ec4da4925c,0,0,0,clean,0,not_invoked,,0,0,0.008600000001024455,0.03559999822755344,0.000300002284348011,0.009399998816661537,0.008199996955227107,0.09549999958835542
