row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,0:metropt3_00000000,ba23952f1eb43ba7c2d7f4a23659a856,0,0,0,clean,0,not_invoked,,0,0,0.0065000022004824,0.0147999999171588,0.0002000015228986,0.0099999997473787,0.0063000006775837,0.0436000009358394
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,1:metropt3_00000750,6b2cd70b62b2fbf0dbfbce78919172f0,0,0,0,clean,0,not_invoked,,0,0,0.0044000007619615,0.0117999989015515,0.0001999978849198,0.0294999990728683,0.0055000018619466,0.0706999999238178
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,2:metropt3_00001510,64f3ec1d8fc9b180fd36ad097114c50d,0,0,0,clean,0,not_invoked,,0,0,0.0017999991541728,0.0051999995775986,0.0001999978849198,0.0046999994083307,0.0036000019463244,0.0185000026249326
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,3:metropt3_00002270,c7a4a924e01baecb62d73cdac4c72673,0,0,0,clean,0,not_invoked,,0,0,0.0326000008499249,0.0108999993244651,0.0001999978849198,0.0106000006780959,0.0050999988161493,0.0642999984847847
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,4:metropt3_00003030,1feffefacb31ba61576df551b8a0e3a1,0,0,0,clean,0,not_invoked,,0,0,0.0018999999156221,0.0054999982239678,0.0001999978849198,0.0245000010181684,0.0035999983083456,0.0526000003446824
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,5:metropt3_00003790,419cf74edf0f084b8079bad77df02fed,0,0,0,clean,0,not_invoked,,0,0,0.0015000005078036,0.0043999971239827,0.0002000015228986,0.0043000000005122,0.0031000017770566,0.0158999973791651
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,6:metropt3_00004550,0636082b9dbd603095678086776a9899,0,0,0,clean,0,not_invoked,,0,0,0.0239000000874511,0.00979999822448,0.0001999978849198,0.0096000003395602,0.0050000016926787,0.0531000005139503
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,7:metropt3_00005300,d478e159d3c5c9867803209c30d6dce5,0,0,0,clean,0,not_invoked,,0,0,0.0021000014385208,0.0197999979718588,0.0001999978849198,0.0190000027942005,0.0035000011848751,0.0475999986520037
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,8:metropt3_00006060,5934cbe09c101078551c6d42ee50a667,0,0,0,clean,0,not_invoked,,0,0,0.0013999997463542,0.0045999986468814,0.0002000015228986,0.0249000004259869,0.0031999989005271,0.0365999985660892
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-3474d04f8a834d258f0d21766c341aa7,9:metropt3_00006820,158028e21eca3a65a06937d5bf655420,0,0,0,clean,0,not_invoked,,0,0,0.0084999992395751,0.0218000022869091,0.0004000030457973,0.0260999986494425,0.0092999980552122,0.0747000012779608
