row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,0:metropt3_00000000,e6c6e9c2030ce0049ba84ff597dc1da5,0,0,0,clean,0,not_invoked,,0,0,0.0059999983932357,0.0013999997463542,0.000300002284348,0.0070000023697502,0.0058999976317863,0.0264000009337905
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,1:metropt3_00000750,dbcc4832835cc59ca4dfe4e989b164ac,0,0,0,clean,0,not_invoked,,0,0,0.0015000005078036,0.0006000009307172,0.0002000015228986,0.0040999984776135,0.0034000004234258,0.0123999998322688
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,2:metropt3_00001510,8026c49bd5e18d08e97396900cf52a12,0,0,0,clean,0,not_invoked,,0,0,0.001100001099985,0.0003999994078185,0.0002000015228986,0.0034000004234258,0.0031000017770566,0.0104999999166466
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,3:metropt3_00002270,03c6d833ad1896d66a7f2993f4273edf,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864,0.0003999994078185,0.0001000007614493,0.0030999981390777,0.0026000016077887,0.009300001693191
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,4:metropt3_00003030,189e4ce49fad0d8c044e8bb1da80daf9,0,0,0,clean,0,not_invoked,,0,0,0.000799998815637,0.0002999986463692,0.0002000015228986,0.0029999973776284,0.0025000008463393,0.0088000015239231
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,5:metropt3_00003790,9383f3e5db463e6a5d03034b97fbd5af,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864,0.0002999986463692,9.999712347052991e-05,0.0031000017770566,0.00240000008489,0.0089999994088429
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,6:metropt3_00004550,33759ca08a58903f0aeb20e9324bf6dc,0,0,0,clean,0,not_invoked,,0,0,0.000799998815637,0.0002999986463692,0.0002000015228986,0.0029999973776284,0.0025000008463393,0.0089000022853724
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,7:metropt3_00005300,a39abd0727a312c0fd83841e8ecd47b8,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864,0.000300002284348,0.0001999978849198,0.0029000002541579,0.0025000008463393,0.0087000007624737
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,8:metropt3_00006060,884c476c07bc98e93a14e7941e4a7cfb,0,0,0,clean,0,not_invoked,,0,0,0.0009000032150652,0.000300002284348,0.0001999978849198,0.0027999994927085,0.0025000008463393,0.0086000000010244
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,never,3,0,0,0,0,0,rbpg-08cdffdfb6f37cf175ed259f,rbpg-08cdffdfb6f37cf175ed259f,rbpg-exec-6471acfc4cf5405ab4f904e514ad3ec4,9:metropt3_00006820,ad85216c279cedc65a7bf5f5d26d4588,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864,0.0002000015228986,0.0001000007614493,0.0029000002541579,0.00240000008489,0.0086000000010244
