row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,0:metropt3_00000000,7951fa7e794c15ca12fbbebbf88ae988,0,0,0,clean,0,not_invoked,,0,0,0.0061999999161344,0.0012999989849049,0.0002000015228986,0.0103000020317267,0.0067000000854022,0.030999999580672
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,1:metropt3_00000750,303504dc4ff2582e84b58445ebd48bfb,0,0,0,clean,0,not_invoked,,0,0,0.0045000015234109,0.001100001099985,0.0002000015228986,0.0259000007645227,0.0055000018619466,0.0432000015280209
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,2:metropt3_00001510,413c9ae938079b6afcb59e8a7288c3a0,0,0,0,clean,0,not_invoked,,0,0,0.0013999997463542,0.0005000001692678,0.0001000007614493,0.0046000022848602,0.0035000011848751,0.0131000015244353
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,3:metropt3_00002270,224a2bdb7404d2b0eb27083c7ab06f8a,0,0,0,clean,0,not_invoked,,0,0,0.0240000008489005,0.0010000003385357,0.0001999978849198,0.0107999985630158,0.0051000024541281,0.0459999973827507
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,4:metropt3_00003030,74da700f589523ed5f0532a4eda9257e,0,0,0,clean,0,not_invoked,,0,0,0.0015999976312741,0.0005000001692678,0.0001999978849198,0.004499997885432,0.0035000011848751,0.0275000020337756
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,5:metropt3_00003790,ba88ca3fa464b6e138ca74dc689add0c,0,0,0,clean,0,not_invoked,,0,0,0.0013000026228837,0.0003999994078185,0.0002000015228986,0.0034999975468963,0.0031000017770566,0.0106000006780959
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,6:metropt3_00004550,7f38ff53d81ee0d7963bd81c4b2e0446,0,0,0,clean,0,not_invoked,,0,0,0.0236000014410819,0.000799998815637,0.0002000015228986,0.00979999822448,0.0260999986494425,0.0656000011076685
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,7:metropt3_00005300,853afe7fe567760584d343bb81cba3db,0,0,0,clean,0,not_invoked,,0,0,0.0155999987327959,0.0006000009307172,0.0002000015228986,0.0047999965318012,0.0037000027077738,0.0276999999186955
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,8:metropt3_00006060,1b8f2b543c4fc3154dc7e3d24ff80f9d,0,0,0,clean,0,not_invoked,,0,0,0.0012999989849049,0.0003999994078185,0.0001000007614493,0.0036000019463244,0.0168000005942303,0.0247999996645376
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-e732bb0067064c5783eafcb4ac679137,9:metropt3_00006820,211726fb2c5c52a9a698fa1c4a923627,0,0,0,clean,0,not_invoked,,0,0,0.0044000007619615,0.0013000026228837,0.000300002284348,0.0142999997478909,0.0065999993239529,0.0333000025420915
