row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,0:metropt3_00000000,e30664eaa380a4c7681406ee0f703e6b,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00000000"", ""safety"": ""ok""}",0,0,0.0061999999161344,0.0127000021166168,0.0002000015228986,0.0173000007634982,0.0067000000854022,0.0497000000905245
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,1:metropt3_00000750,25486098f4ffba2a08e00fe76a07b8f4,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00000750"", ""safety"": ""ok""}",0,0,0.0252999998338054,0.0139000003400724,0.0002999986463692,0.020700001186924,0.0068999979703221,0.0734999994165264
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,2:metropt3_00001510,7bbaa2bf219fd3362c516e274acb624e,0,0,0,clean,0,not_invoked,,0,0,0.0020000006770715,0.0209999998332932,0.000300002284348,0.0246000017796177,0.0044000007619615,0.0556000013602897
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,3:metropt3_00002270,36bbc86ed465d0abfb900593b581936e,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00002270"", ""safety"": ""ok""}",0,0,0.0035999983083456,0.0120000004244502,0.0002999986463692,0.0308000016957521,0.0049000009312294,0.056699998822296
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,4:metropt3_00003030,a6360bf70775524369e075b44531c735,0,0,0,clean,0,not_invoked,,0,0,0.0015999976312741,0.0051999995775986,0.0001999978849198,0.004000001354143,0.0039000005926936,0.0178000009327661
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,5:metropt3_00003790,4a92a4a8ef6c1e6505a1e7c2d616c1c7,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00003790"", ""safety"": ""ok""}",0,0,0.0010999974620062,0.0039000005926936,0.0002000015228986,0.0105999970401171,0.0034000004234258,0.0216000007640104
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,random,3,1,1,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,6:metropt3_00004550,8425a04006a44b5a60506f22505e57bd,1,1,0,clean,0,ok,"{""service"": ""industrial_control_service"", ""status"": ""executed"", ""record_id"": ""metropt3_00004550"", ""safety"": ""ok""}",0,0,0.0332000017806422,0.0126000013551674,0.0001999978849198,0.0189999991562217,0.0058000005083158,0.0763999996706843
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,7:metropt3_00005300,3150d5eb267984b04d3868721ee4e021,0,0,0,clean,0,not_invoked,,0,0,0.0018999999156221,0.0061999999161344,0.0002000015228986,0.0046999994083307,0.0040999984776135,0.0206000004254747
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,8:metropt3_00006060,d2ae827c5db2a519cb2bb0802fe4178e,0,0,0,clean,0,not_invoked,,0,0,0.0012999989849049,0.0045999986468814,0.0001999978849198,0.0035999983083456,0.0175999994098674,0.0299000021186657
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,random,3,0,0,0,0,0,rbpg-50170a55f04acc08d5095ec6,rbpg-50170a55f04acc08d5095ec6,rbpg-exec-eef1a69a67714f778b6442eb588bd952,9:metropt3_00006820,750b9a80696e68d7bc6ff24ac5d236b3,0,0,0,clean,0,not_invoked,,0,0,0.0051000024541281,0.0177000001713167,0.000300002284348,0.007700000423938,0.0068999979703221,0.0438999995822086
