row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,0:metropt3_00000000,61e8eebeca5032869502b9e69e49b298,0,0,0,clean,0,not_invoked,,0,0,0.006400001439033,0.0144000005093403,0.0001999978849198,0.00739999813959,0.006400001439033,0.0404000020353123
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,1:metropt3_00000750,33990c64dbf28d0e7b9a6aeacd7172ae,0,0,0,clean,0,not_invoked,,0,0,0.0015999976312741,0.0049999980546999,0.0001999978849198,0.0044000007619615,0.0034000004234258,0.0173000007634982
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,2:metropt3_00001510,be7eabb67977fc1f3c0d1af916f7fd3d,0,0,0,clean,0,not_invoked,,0,0,0.0011999982234556,0.0040999984776135,0.0002000015228986,0.0036000019463244,0.0029999973776284,0.0142999997478909
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,3:metropt3_00002270,eaa354f0356f20126bfc97f870f9e3ae,0,0,0,clean,0,not_invoked,,0,0,0.0010999974620062,0.003699999069795,0.0002000015228986,0.0032999996619764,0.0026000016077887,0.0131000015244353
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,4:metropt3_00003030,063e0af92050f829032ce9440fe18972,0,0,0,clean,0,not_invoked,,0,0,0.0010000003385357,0.0039000005926936,0.0002000015228986,0.0032999996619764,0.0026999987312592,0.0131000015244353
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,5:metropt3_00003790,121a2836e24534485daeadcdeee17486,0,0,0,clean,0,not_invoked,,0,0,0.0010000003385357,0.0034000004234258,0.0001999978849198,0.0031999989005271,0.0025000008463393,0.0122999990708194
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,6:metropt3_00004550,d6cf52893cccbcc261b69819e61315e8,0,0,0,clean,0,not_invoked,,0,0,0.0009000032150652,0.0034000004234258,0.0002000015228986,0.0032999996619764,0.0024999972083605,0.0121999983093701
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,7:metropt3_00005300,917805b7364c022309c6db0ee06d1515,0,0,0,clean,0,not_invoked,,0,0,0.0008999995770864,0.0035000011848751,0.0001000007614493,0.0030999981390777,0.0025000008463393,0.0122000019473489
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,8:metropt3_00006060,bab67cb37cbea17ed39d74353a4f2fd6,0,0,0,clean,0,not_invoked,,0,0,0.0010000003385357,0.0034000004234258,0.0002000015228986,0.0031000017770566,0.0025999979698099,0.0121000011858996
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,rule_gate,2,0,0,0,0,0,rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-21de0ded12424f2f8d6cb2d280444a7d,9:metropt3_00006820,05feb163daabc4e820c8f01d74c5124b,0,0,0,clean,0,not_invoked,,0,0,0.0010000003385357,0.0034000004234258,0.0001999978849198,0.0031000017770566,0.0023999964469112,0.0121999983093701
