dataset_fraction,workload_name,policy_mode,seed,workers,trace_hash,reference_hash,hash_match,record_trace_hash,reference_record_trace_hash,record_trace_hash_match,config_manifest_hash,config_bound_trace_hash,intervention_rate,reference_intervention_rate,intervention_rate_delta,unauthorized_invocations,authorization_execution_consistent,receipt_validation_passed,receipt_fault_injected_count,expected_row_count,observed_row_count,row_count_match,validation_passed,fault_injected_count
1.0,fraction_1p0,rule_gate,1,1,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,1,,,,dd97d9bf2952a634ce495ac55272836928562048a716efe182cba16828e94301,,0.16045,0.16045,0.0,153,0,1,0,20000,20000,1,0,153
1.0,fraction_1p0,rule_gate,1,4,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,1,,,,71bdf1421b218c0d2ad5d09f5ddc987533971d75ba79cb65e019044726178e31,,0.16045,0.16045,0.0,153,0,1,0,20000,20000,1,0,153
1.0,fraction_1p0,rule_gate,2,1,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,1,,,,b87a5b9554618ae8946132d636630e5e43dac8af76fa597a4579cd69b8c6bb6b,,0.16045,0.16045,0.0,161,0,1,0,20000,20000,1,0,161
1.0,fraction_1p0,rule_gate,2,4,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,1,,,,13e04b3dba5d31cef2780e519855e17b4c7c82caf4083773667270a606073a97,,0.16045,0.16045,0.0,161,0,1,0,20000,20000,1,0,161
1.0,fraction_1p0,rule_gate,3,1,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,1,,,,c65ee9b39946ee4ab0bf061d9eb412ef222443f29b1070a4e891ae18a6f8acff,,0.16045,0.16045,0.0,179,0,1,0,20000,20000,1,0,179
1.0,fraction_1p0,rule_gate,3,4,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,1,,,,4f7ffb4d96ea6a63cadb50b6d3145734ba1077811550f9a4c6720be11a5db8cf,,0.16045,0.16045,0.0,179,0,1,0,20000,20000,1,0,179
1.0,fraction_1p0,random,1,1,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,1,,,,82eec4e886cabadbdbded1ca5e72750f830e62dc1bb2f511d2f3ee5c1db43de8,,0.49565,0.49565,0.0,102,0,1,0,20000,20000,1,0,102
1.0,fraction_1p0,random,1,4,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,1,,,,015d7af121c72e40daa3cb6060c1ddfe125e3fe77ebbb45e8aa3874247149360,,0.49565,0.49565,0.0,102,0,1,0,20000,20000,1,0,102
1.0,fraction_1p0,random,2,1,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,1,,,,05e5dbb1898d33b0803312c692b83656dac49eac27c56a081eef5d267b401caa,,0.50155,0.50155,0.0,100,0,1,0,20000,20000,1,0,100
1.0,fraction_1p0,random,2,4,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,1,,,,8018bb32977a73979b1f73a860aa1df09b8340c42c6bc6f32e55e68c844020bb,,0.50155,0.50155,0.0,100,0,1,0,20000,20000,1,0,100
