dataset_fraction,workload_name,policy_mode,seed,workers,runtime_seconds,throughput_points_per_second,speedup_vs_single_worker,throughput_gain_vs_single_worker
1.0,fraction_1p0,never,1,1,0.2520551000015985,79347.72992045456,1.0,1.0
1.0,fraction_1p0,never,1,4,0.7570922999984759,26416.858288005653,0.332925192875566,0.332925192875566
1.0,fraction_1p0,never,2,1,0.26153379999959725,76471.9512354839,1.0,1.0
1.0,fraction_1p0,never,2,4,0.774903199999244,25809.675324633467,0.33750512322036147,0.33750512322036147
1.0,fraction_1p0,never,3,1,0.2520796999997401,79339.98652021808,1.0,1.0
1.0,fraction_1p0,never,3,4,0.7297550000002957,27406.45833189481,0.3454305897179711,0.3454305897179711
1.0,fraction_1p0,random,1,1,0.33816940000178874,59141.95666400984,1.0,1.0
1.0,fraction_1p0,random,1,4,0.7854724000026181,25462.384165163967,0.4305299587874273,0.4305299587874273
1.0,fraction_1p0,random,2,1,0.3372808000021905,59297.77206372289,1.0,1.0
1.0,fraction_1p0,random,2,4,0.9077461000015319,22032.592593861045,0.3715585228089896,0.37155852280898954
1.0,fraction_1p0,random,3,1,0.3428466000004846,58335.12713841038,1.0,1.0
1.0,fraction_1p0,random,3,4,0.711837499999092,28096.300068520573,0.481636047554283,0.4816360475542831
1.0,fraction_1p0,rule_gate,1,1,0.3528943999990588,56674.17788452676,1.0,1.0
1.0,fraction_1p0,rule_gate,1,4,1.2030505999973684,16624.40465932501,0.2933329653797028,0.2933329653797028
1.0,fraction_1p0,rule_gate,2,1,0.37683649999962654,53073.41512836421,1.0,1.0
1.0,fraction_1p0,rule_gate,2,4,0.8863965999989887,22563.263442146348,0.4251330612053978,0.4251330612053978
1.0,fraction_1p0,rule_gate,3,1,0.3576080999991973,55927.14482710233,1.0,1.0
1.0,fraction_1p0,rule_gate,3,4,0.7846687999990536,25488.460864028395,0.4557440030744546,0.4557440030744546
