run_id,configuration_id,execution_instance_id,policy_mode,seed,workers,decision_points,total_runtime_seconds,timed_execution_runtime_seconds,end_to_end_runtime_seconds,checkpoint_preparation_seconds,replay_only_runtime_seconds,post_replay_validation_seconds,timed_runtime_decomposition_error_seconds,end_to_end_runtime_decomposition_error_seconds,runtime_decomposition_tolerance_seconds,runtime_decomposition_valid,runtime_boundary_definition,throughput_points_per_second,end_to_end_throughput_points_per_second,replay_only_throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,primary_trace_unauthorized_invocations,authorization_execution_consistent,execution_receipts_enabled,receipt_validation_passed,receipt_rows,orphan_receipts,missing_receipts,unlogged_downstream_calls,duplicate_downstream_calls,mismatched_correlation_ids,receipt_fault_injected_count,record_trace_hash,config_manifest_hash,config_bound_trace_hash,expected_row_count,observed_row_count,row_count_match,validation_passed,fault_injected_count,trace_hash,memory_before_mb,memory_after_mb,memory_delta_mb,state_missing_count,dataset_fraction,workload_name,input_csv
rbpg-dd97d9bf2952a634ce495ac5,rbpg-dd97d9bf2952a634ce495ac5,rbpg-exec-fb7c9047cdb944fc92432a77be4547af,rule_gate,1,1,20000,0.3528943999990588,0.3528943999990588,0.4469141999979911,0.0,0.3528943999990588,0.09401979999893229,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,56674.17788452676,44751.31915721161,56674.17788452676,0.016667974996562408,0.015499997971346602,0.0197000008483883,0.16045,153,153,0,0,1,0,0,0,0,0,0,0,,dd97d9bf2952a634ce495ac55272836928562048a716efe182cba16828e94301,,20000,20000,1,0,153,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-71bdf1421b218c0d2ad5d09f,rbpg-71bdf1421b218c0d2ad5d09f,rbpg-exec-2e5a38089a3b46389628d8fe434714f0,rule_gate,1,4,20000,1.2030505999973684,1.2030505999973684,1.3053972999987309,0.0,1.2030505999973684,0.10234670000136248,0.0,0.0,1.305397299998731e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,16624.40465932501,15321.00610290786,16624.40465932501,0.057996100012132956,0.020299998141126707,0.03729999662027694,0.16045,153,153,0,0,1,0,0,0,0,0,0,0,,71bdf1421b218c0d2ad5d09f5ddc987533971d75ba79cb65e019044726178e31,,20000,20000,1,0,153,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-b87a5b9554618ae8946132d6,rbpg-b87a5b9554618ae8946132d6,rbpg-exec-7c8cbe9153f44548bfcb8e978ff1f84a,rule_gate,2,1,20000,0.37683649999962654,0.37683649999962654,0.5154976000012539,0.0,0.37683649999962654,0.13866110000162735,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,53073.41512836421,38797.46481836453,53073.41512836421,0.017829319993143144,0.015800000255694613,0.02980500121338984,0.16045,161,161,0,0,1,0,0,0,0,0,0,0,,b87a5b9554618ae8946132d636630e5e43dac8af76fa597a4579cd69b8c6bb6b,,20000,20000,1,0,161,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-13e04b3dba5d31cef2780e51,rbpg-13e04b3dba5d31cef2780e51,rbpg-exec-f4c04a93d4fb471c8a186c3f543bf730,rule_gate,2,4,20000,0.8863965999989887,0.8863965999989887,0.9918281999998726,0.0,0.8863965999989887,0.10543160000088392,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,22563.263442146348,20164.78257020981,22563.263442146348,0.0535553199792048,0.01669999983278103,0.0349000001733657,0.16045,161,161,0,0,1,0,0,0,0,0,0,0,,13e04b3dba5d31cef2780e519855e17b4c7c82caf4083773667270a606073a97,,20000,20000,1,0,161,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-c65ee9b39946ee4ab0bf061d,rbpg-c65ee9b39946ee4ab0bf061d,rbpg-exec-b8082c6871bc42c0ae908c61c4dc25a8,rule_gate,3,1,20000,0.3576080999991973,0.3576080999991973,0.45779419999962556,0.0,0.3576080999991973,0.10018610000042827,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,55927.14482710233,43687.75314326035,55927.14482710233,0.016900650006391515,0.015599998732795939,0.020600000425474718,0.16045,179,179,0,0,1,0,0,0,0,0,0,0,,c65ee9b39946ee4ab0bf061d9eb412ef222443f29b1070a4e891ae18a6f8acff,,20000,20000,1,0,179,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,rule_gate,3,4,20000,0.7846687999990536,0.7846687999990536,0.886609099998168,0.0,0.7846687999990536,0.10194029999911436,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,25488.460864028395,22557.855542021087,25488.460864028395,0.07765492999387788,0.016500001947861165,0.023600001441081986,0.16045,179,179,0,0,1,0,0,0,0,0,0,0,,4f7ffb4d96ea6a63cadb50b6d3145734ba1077811550f9a4c6720be11a5db8cf,,20000,20000,1,0,179,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-82eec4e886cabadbdbded1ca,rbpg-82eec4e886cabadbdbded1ca,rbpg-exec-eccdd08bcf8c4979a3886e64276fbfdf,random,1,1,20000,0.33816940000178874,0.33816940000178874,0.4315537000002223,0.0,0.33816940000178874,0.09338429999843356,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,59141.95666400984,46344.17454882138,59141.95666400984,0.015986945006079622,0.01590000101714395,0.017499998648418114,0.49565,102,102,0,0,1,0,0,0,0,0,0,0,,82eec4e886cabadbdbded1ca5e72750f830e62dc1bb2f511d2f3ee5c1db43de8,,20000,20000,1,0,102,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-015d7af121c72e40daa3cb60,rbpg-015d7af121c72e40daa3cb60,rbpg-exec-46f9530fb41c4d9193e56c5986916a8c,random,1,4,20000,0.7854724000026181,0.7854724000026181,0.8940441000013379,0.0,0.7854724000026181,0.10857169999871985,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,25462.384165163967,22370.261153750773,25462.384165163967,0.07621109498450096,0.017099999240599573,0.024999997549457476,0.49565,102,102,0,0,1,0,0,0,0,0,0,0,,015d7af121c72e40daa3cb6060c1ddfe125e3fe77ebbb45e8aa3874247149360,,20000,20000,1,0,102,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-05e5dbb1898d33b0803312c6,rbpg-05e5dbb1898d33b0803312c6,rbpg-exec-4d9c555eb3ba405b8e4f2dba505c3bec,random,2,1,20000,0.3372808000021905,0.3372808000021905,0.4307078999991063,0.0,0.3372808000021905,0.09342709999691579,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,59297.77206372289,46435.18263779582,59297.77206372289,0.01591289498119295,0.015800000255694613,0.01809999957913533,0.50155,100,100,0,0,1,0,0,0,0,0,0,0,,05e5dbb1898d33b0803312c692b83656dac49eac27c56a081eef5d267b401caa,,20000,20000,1,0,100,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-8018bb32977a73979b1f73a8,rbpg-8018bb32977a73979b1f73a8,rbpg-exec-19293b291f63401a8e7093ca92efc4c5,random,2,4,20000,0.9077461000015319,0.9077461000015319,1.0708852999996452,0.0,0.9077461000015319,0.16313919999811333,0.0,0.0,1.0708852999996453e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,22032.592593861045,18676.13646392067,22032.592593861045,0.061940644990500004,0.017400001524947584,0.03340000330354087,0.50155,100,100,0,0,1,0,0,0,0,0,0,0,,8018bb32977a73979b1f73a860aa1df09b8340c42c6bc6f32e55e68c844020bb,,20000,20000,1,0,100,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
rbpg-7963b1b458d6a07baca6c87d,rbpg-7963b1b458d6a07baca6c87d,rbpg-exec-93fb152dff084d1b9cec5b7a359141a9,random,3,1,20000,0.3428466000004846,0.3428466000004846,0.434158899999602,0.0,0.3428466000004846,0.09131229999911739,0.0,0.0,1e-09,1,run_start->validation_end; preparation=model/checkpoint load+state load+batched inference+action-map construction; replay_only=per-record replay using prepared actions; post_replay_validation=trace reconstruction+receipt reconciliation+hashing+validation,58335.12713841038,46066.083178344,58335.12713841038,0.016191420016548365,0.01590000101714395,0.019000002794200554,0.4954,92,92,0,0,1,0,0,0,0,0,0,0,,7963b1b458d6a07baca6c87d067f037a47b76d1f1458df8654e76075cdc6f768,,20000,20000,1,0,92,9e5fb8e895abdcd28b5747de1bff79fd9e75825ffe3b8c583717274ee3025c8d,,,,20000,1.0,fraction_1p0,paper_outputs/secondary_metropt3/replay_input_metropt3.csv
