row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,0:metropt3_00000000,16a1088a569f0546f91085af40cca602,0,0,0,clean,0,not_invoked,,0,0,0.007300001016119495,0.0020000006770715117,0.00019999788491986692,0.006800000846851617,0.020200001017656177,0.054600001021754
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,1:metropt3_00000750,4ce6bf553da73d59649be8f2383a2951,0,0,0,clean,0,not_invoked,,0,0,0.003999997716164216,0.0012000018614344299,0.00019999788491986692,0.020700001186924055,0.025299999833805487,0.06829999983892776
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,2:metropt3_00001510,33304cd14f9d4ce232dba27a3d0124cf,0,0,0,clean,0,not_invoked,,0,0,0.0017000020307023078,0.0006000009307172149,0.000200001522898674,0.0039000005926936865,0.02010000025620684,0.03400000059627928
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,3:metropt3_00002270,f7b65019e83cd2db950d42fc3d477ea7,0,0,0,clean,0,not_invoked,,0,0,0.0029999973776284605,0.0008999995770864189,0.00019999788491986692,0.006099999154685065,0.005299996701069176,0.05889999738428742
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,4:metropt3_00003030,230a631e90510df0637742fa044227c7,0,0,0,clean,0,not_invoked,,0,0,0.0020000006770715117,0.0005999972927384079,0.000200001522898674,0.0037000027077738196,0.0037000027077738196,0.01790000169421546
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,5:metropt3_00003790,ae90892d30bab004ff00bf440e32fe2d,0,0,0,clean,0,not_invoked,,0,0,0.0011999982234556228,0.00039999940781854093,0.000200001522898674,0.0032999996619764715,0.0029000002541579306,0.014400000509340316
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,6:metropt3_00004550,57e0b831480606ac09289edac10d6b1d,0,0,0,clean,0,not_invoked,,0,0,0.05600000076810829,0.0010000003385357559,0.000300002284348011,0.00679999720887281,0.007800001185387373,0.09030000001075678
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,7:metropt3_00005300,64f61c9859cf5da1632053c6434a45f0,0,0,0,clean,0,not_invoked,,0,0,0.0021000014385208488,0.000800002453615889,0.000200001522898674,0.005999998393235728,0.004300000000512227,0.02260000110254623
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,8:metropt3_00006060,13c06d47bd42eff632656c6ef3a10e25,0,0,0,clean,0,not_invoked,,0,0,0.0017000020307023078,0.0006000009307172149,0.00019999788491986692,0.0035000011848751456,0.02719999974942766,0.06130000110715628
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,never,2,0,0,0,0,0,rbpg-2f8ccaf989462b485404b96d,rbpg-2f8ccaf989462b485404b96d,rbpg-exec-b35f686b4607411c8da767a4b4a35230,9:metropt3_00006820,677a574dae946cd04faf4cb7cf14ece5,0,0,0,clean,0,not_invoked,,0,0,0.005100002454128116,0.0012000018614344299,0.000300002284348011,0.006599999323952943,0.005800000508315861,0.038800000766059384
