row_index,utterance_id,source_record_id,timestamp,label,split,Dialogue_ID,Utterance_ID,policy_mode,seed,action_before_fault,action,action_flip_fault_injected,unauthorized_invoke_fault_injected,fault_injected,run_id,configuration_id,execution_instance_id,replay_point_id,correlation_id,authorized_to_generate,generation_invoked,unauthorized_invocation,receipt_fault_mode,receipt_fault_injected,response_safety,response_json,state_exists,state_size_bytes,state_loading_ms,policy_inference_ms,gating_ms,generation_stub_ms,logging_ms,total_latency_ms
0,metropt3_00000000,metropt3_00000000,2020-02-01 00:00:00,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,0:metropt3_00000000,7aba5d5c25cbf509be29878d064de516,0,0,0,clean,0,not_invoked,,0,0,0.006499998562503606,0.01469999915570952,0.000300002284348011,0.006299997039604932,0.005900001269765198,0.05080000119050965
1,metropt3_00000750,metropt3_00000750,2020-02-01 00:12:23,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,1:metropt3_00000750,0f05ef35dccb11a0a154937729c16c3c,0,0,0,clean,0,not_invoked,,0,0,0.0037999998312443495,0.010700001439545304,0.0002999986463692039,0.026999998226528987,0.00540000110049732,0.09920000229612924
2,metropt3_00001510,metropt3_00001510,2020-02-01 00:24:57,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,2:metropt3_00001510,659316e21cf5af0a514d2a16f6872a5b,0,0,0,clean,0,not_invoked,,0,0,0.0017000020307023078,0.00540000110049732,0.000200001522898674,0.01809999957913533,0.0035000011848751456,0.03690000085043721
3,metropt3_00002270,metropt3_00002270,2020-02-01 00:37:30,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,3:metropt3_00002270,2bfd370fc6c19c2e5646185ecc14020e,0,0,0,clean,0,not_invoked,,0,0,0.02350000067963265,0.011399999493733048,0.0002999986463692039,0.00540000110049732,0.025699999241624027,0.11870000162161887
4,metropt3_00003030,metropt3_00003030,2020-02-01 00:50:03,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,4:metropt3_00003030,7cd5dcef8bb1c3c9b8d35354e02fe94a,0,0,0,clean,0,not_invoked,,0,0,0.0016999983927235007,0.005300000339047983,0.000200001522898674,0.0036000019463244826,0.0034999975468963385,0.022100000933278352
5,metropt3_00003790,metropt3_00003790,2020-02-01 01:02:36,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,5:metropt3_00003790,aff522dc6b3cc2b75d2efcb4304c4d0d,0,0,0,clean,0,not_invoked,,0,0,0.0012999989849049598,0.00419999923906289,0.000200001522898674,0.0031000017770566046,0.0029000002541579306,0.017700000171316788
6,metropt3_00004550,metropt3_00004550,2020-02-01 01:15:09,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,6:metropt3_00004550,80b451957b8e1015ba8b3be35732810d,0,0,0,clean,0,not_invoked,,0,0,0.0035000011848751456,0.02429999949526973,0.0002999986463692039,0.020600000425474718,0.004699999408330768,0.08909999814932235
7,metropt3_00005300,metropt3_00005300,2020-02-01 01:27:33,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,7:metropt3_00005300,cc6c3ab47f4260aedf164f4ad3e7fd78,0,0,0,clean,0,not_invoked,,0,0,0.0017000020307023078,0.00540000110049732,0.00019999788491986692,0.0037999998312443495,0.0034999975468963385,0.03649999780463986
8,metropt3_00006060,metropt3_00006060,2020-02-01 01:40:06,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,8:metropt3_00006060,fe23259da8088e943d822664a39102ac,0,0,0,clean,0,not_invoked,,0,0,0.0013999997463542968,0.004300000000512227,0.000200001522898674,0.0031999989005271345,0.0027999994927085936,0.0180000024556648
9,metropt3_00006820,metropt3_00006820,2020-02-01 01:52:39,control_signal_inactive,secondary_validation,,,rule_gate,3,0,0,0,0,0,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-4f7ffb4d96ea6a63cadb50b6,rbpg-exec-6e73fd4ed55344c689bce3432f22b537,9:metropt3_00006820,72ced9e701599ba6e907eb0d015d3968,0,0,0,clean,0,not_invoked,,0,0,0.008999999408842996,0.024000000848900527,0.00039999940781854093,0.010600000678095967,0.009799998224480078,0.0932000002649147
