dataset_fraction,workload_name,policy_mode,seed,workers,faults_injected,trace_hash_clean,trace_hash_fault,hash_mismatch,detected_by_trace_hash,detected_by_fault_counter,intervention_rate_clean,intervention_rate_fault,intervention_rate_delta,clean_unauthorized_invocations,fault_unauthorized_invocations
1.0,fraction_1p0,rule_gate,1,1,186,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,6e8d3605a5d01992bcbdb75bcef0084794245f180c9981c41544adb5c28c781d,1,1,1,0.16045,0.16735,0.0068999999999999895,0,0
1.0,fraction_1p0,rule_gate,1,4,186,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,6e8d3605a5d01992bcbdb75bcef0084794245f180c9981c41544adb5c28c781d,1,1,1,0.16045,0.16735,0.0068999999999999895,0,0
1.0,fraction_1p0,rule_gate,2,1,199,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,8c4acee00328ecb19b726a312c40f61a8461dde82145ebd946f000e8682309ef,1,1,1,0.16045,0.1682,0.007749999999999979,0,0
1.0,fraction_1p0,rule_gate,2,4,199,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,8c4acee00328ecb19b726a312c40f61a8461dde82145ebd946f000e8682309ef,1,1,1,0.16045,0.1682,0.007749999999999979,0,0
1.0,fraction_1p0,rule_gate,3,1,203,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,16674edcd40aa6c593c9d36c9198fbda3196abb2ad3798656536852fdf44136b,1,1,1,0.16045,0.1676,0.00714999999999999,0,0
1.0,fraction_1p0,rule_gate,3,4,203,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,16674edcd40aa6c593c9d36c9198fbda3196abb2ad3798656536852fdf44136b,1,1,1,0.16045,0.1676,0.00714999999999999,0,0
1.0,fraction_1p0,random,1,1,188,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,479a7bf4e7390c44137ede9f0d6866677e26971302b945d8ac66a41d0efc7510,1,1,1,0.49565,0.49605,0.00040000000000001146,0,0
1.0,fraction_1p0,random,1,4,188,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,479a7bf4e7390c44137ede9f0d6866677e26971302b945d8ac66a41d0efc7510,1,1,1,0.49565,0.49605,0.00040000000000001146,0,0
1.0,fraction_1p0,random,2,1,182,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,984323138b5cb611bd9024a373b01417255ddcc28df4a844b95c0b56948922ef,1,1,1,0.50155,0.50255,0.0010000000000000009,0,0
1.0,fraction_1p0,random,2,4,182,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,984323138b5cb611bd9024a373b01417255ddcc28df4a844b95c0b56948922ef,1,1,1,0.50155,0.50255,0.0010000000000000009,0,0
1.0,fraction_1p0,random,3,1,197,9e5fb8e895abdcd28b5747de1bff79fd9e75825ffe3b8c583717274ee3025c8d,c6b38668526e022f8401c9e9032126dace31b30ed539c5b293ef3c91309d0ead,1,1,1,0.4954,0.49505,-0.00035000000000001696,0,0
1.0,fraction_1p0,random,3,4,197,9e5fb8e895abdcd28b5747de1bff79fd9e75825ffe3b8c583717274ee3025c8d,c6b38668526e022f8401c9e9032126dace31b30ed539c5b293ef3c91309d0ead,1,1,1,0.4954,0.49505,-0.00035000000000001696,0,0
1.0,fraction_1p0,never,1,1,196,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,95eacb292b72713621cd15840eea455b900cccdda03ef109dc368aff5a228882,1,1,1,0.0,0.0098,0.0098,0,0
1.0,fraction_1p0,never,1,4,196,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,95eacb292b72713621cd15840eea455b900cccdda03ef109dc368aff5a228882,1,1,1,0.0,0.0098,0.0098,0,0
1.0,fraction_1p0,never,2,1,228,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,6767eab7add7f52a6d436e33011dc5ed356c2025bb266915aff367814eaaaf22,1,1,1,0.0,0.0114,0.0114,0,0
1.0,fraction_1p0,never,2,4,228,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,6767eab7add7f52a6d436e33011dc5ed356c2025bb266915aff367814eaaaf22,1,1,1,0.0,0.0114,0.0114,0,0
1.0,fraction_1p0,never,3,1,196,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,df538730dd6459a10512e793b618aab35364fa441886aaae87b2d0503681fcfb,1,1,1,0.0,0.0098,0.0098,0,0
1.0,fraction_1p0,never,3,4,196,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,df538730dd6459a10512e793b618aab35364fa441886aaae87b2d0503681fcfb,1,1,1,0.0,0.0098,0.0098,0,0
