dataset_fraction,workload_name,policy_mode,seed,workers,clean_row_count,clean_reference_hash,clean_computed_hash,clean_hash_mismatch,fault_mode,corruptions_injected,corrupted_row_count,corrupted_hash,row_count_mismatch,hash_mismatch,detected,detection_channel,corrupted_trace_path
1.0,fraction_1p0,rule_gate,1,1,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,trace_action_corruption_1_percent,200,20000,f9e0258d05b3ddf13a68d5f1f1f68931facdf641cd729a355ec1351af5177505,0,1,1,SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_trace_action_corruption_1_percent_fraction_1p0_policy_rule_gate_seed_1_workers_1.csv
1.0,fraction_1p0,rule_gate,1,1,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,drop_trace_rows_1_percent,200,19800,b4279c62ce8ec45f42ce2902f9455da1534c2938cd5c4735c9bb8f01faaca083,1,1,1,row-count mismatch + SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_drop_trace_rows_1_percent_fraction_1p0_policy_rule_gate_seed_1_workers_1.csv
1.0,fraction_1p0,rule_gate,1,1,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,duplicate_trace_rows_1_percent,200,20200,d3b2c46cb2cabcbcb94c3253f8d25699c949535f202cecb3bf36d8bee6aa5b5f,1,1,1,row-count mismatch + SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_duplicate_trace_rows_1_percent_fraction_1p0_policy_rule_gate_seed_1_workers_1.csv
1.0,fraction_1p0,rule_gate,1,4,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,trace_action_corruption_1_percent,200,20000,fa47845e79c8f418f8de8cb5ee9001e8e628346072a76e4748b6bf39641420d3,0,1,1,SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_trace_action_corruption_1_percent_fraction_1p0_policy_rule_gate_seed_1_workers_4.csv
1.0,fraction_1p0,rule_gate,1,4,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,drop_trace_rows_1_percent,200,19800,c52b9ceecaa50a952bbd7444d0eab6241b2c1aa793c2f8f3684bb3ef0192c6ec,1,1,1,row-count mismatch + SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_drop_trace_rows_1_percent_fraction_1p0_policy_rule_gate_seed_1_workers_4.csv
1.0,fraction_1p0,rule_gate,1,4,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,duplicate_trace_rows_1_percent,200,20200,59fb9a68a6928ebaef5a56be34749a4d91d0914d047f03e571d900d263ae0df9,1,1,1,row-count mismatch + SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_duplicate_trace_rows_1_percent_fraction_1p0_policy_rule_gate_seed_1_workers_4.csv
1.0,fraction_1p0,rule_gate,2,1,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,trace_action_corruption_1_percent,200,20000,9511069a311dc863f61a34cbd6a6df5724b25052a8b5a158d230d1462d2e3e49,0,1,1,SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_trace_action_corruption_1_percent_fraction_1p0_policy_rule_gate_seed_2_workers_1.csv
1.0,fraction_1p0,rule_gate,2,1,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,drop_trace_rows_1_percent,200,19800,e9aeb1795b79b883b3d7d12b34ed015f1894d14bb4fbb15a7a39f40c6951c543,1,1,1,row-count mismatch + SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_drop_trace_rows_1_percent_fraction_1p0_policy_rule_gate_seed_2_workers_1.csv
1.0,fraction_1p0,rule_gate,2,1,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,duplicate_trace_rows_1_percent,200,20200,7f6b24faa3804553bbaf406d50b933c3c9f0102f475e8551ab445c2484640348,1,1,1,row-count mismatch + SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_duplicate_trace_rows_1_percent_fraction_1p0_policy_rule_gate_seed_2_workers_1.csv
1.0,fraction_1p0,rule_gate,2,4,20000,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,0,trace_action_corruption_1_percent,200,20000,24e1eb94c8c211aa5d1d6f44d97725cdecd45d757bff5638342d66dacff7b628,0,1,1,SHA-256 action-trace mismatch,paper_outputs\secondary_metropt3\fault_trace_corruption\corrupted_traces\corrupted_trace_action_corruption_1_percent_fraction_1p0_policy_rule_gate_seed_2_workers_4.csv
