dataset_fraction,workload_name,policy_mode,seed,workers,faults_injected,clean_unauthorized_invocations,fault_unauthorized_invocations,unauthorized_delta,detected_by_unauthorized_counter,detected_by_fault_counter,intervention_rate_clean,intervention_rate_fault,trace_hash_clean,trace_hash_fault
1.0,fraction_1p0,rule_gate,1,1,153,0,153,153,1,1,0.16045,0.16045,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f
1.0,fraction_1p0,rule_gate,1,4,153,0,153,153,1,1,0.16045,0.16045,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f
1.0,fraction_1p0,rule_gate,2,1,161,0,161,161,1,1,0.16045,0.16045,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f
1.0,fraction_1p0,rule_gate,2,4,161,0,161,161,1,1,0.16045,0.16045,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f
1.0,fraction_1p0,rule_gate,3,1,179,0,179,179,1,1,0.16045,0.16045,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f
1.0,fraction_1p0,rule_gate,3,4,179,0,179,179,1,1,0.16045,0.16045,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f,d95129dedf0ce3453691d09ad8446eac25d9c2919928b84c48188b12f593b72f
1.0,fraction_1p0,random,1,1,102,0,102,102,1,1,0.49565,0.49565,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016
1.0,fraction_1p0,random,1,4,102,0,102,102,1,1,0.49565,0.49565,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016,cc50a173241e2d6d1a36913ef2fb854381bd3a85be9bbdf02f0787b4953d8016
1.0,fraction_1p0,random,2,1,100,0,100,100,1,1,0.50155,0.50155,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8
1.0,fraction_1p0,random,2,4,100,0,100,100,1,1,0.50155,0.50155,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8,4bea5e9c61f1336099c34e8180e5f792751ee45490846ae63623724608a98da8
1.0,fraction_1p0,random,3,1,92,0,92,92,1,1,0.4954,0.4954,9e5fb8e895abdcd28b5747de1bff79fd9e75825ffe3b8c583717274ee3025c8d,9e5fb8e895abdcd28b5747de1bff79fd9e75825ffe3b8c583717274ee3025c8d
1.0,fraction_1p0,random,3,4,92,0,92,92,1,1,0.4954,0.4954,9e5fb8e895abdcd28b5747de1bff79fd9e75825ffe3b8c583717274ee3025c8d,9e5fb8e895abdcd28b5747de1bff79fd9e75825ffe3b8c583717274ee3025c8d
1.0,fraction_1p0,never,1,1,184,0,184,184,1,1,0.0,0.0,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b
1.0,fraction_1p0,never,1,4,184,0,184,184,1,1,0.0,0.0,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b
1.0,fraction_1p0,never,2,1,222,0,222,222,1,1,0.0,0.0,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b
1.0,fraction_1p0,never,2,4,222,0,222,222,1,1,0.0,0.0,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b
1.0,fraction_1p0,never,3,1,194,0,194,194,1,1,0.0,0.0,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b
1.0,fraction_1p0,never,3,4,194,0,194,194,1,1,0.0,0.0,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b,2931f2c65ba1d289bc49be5a0aed42df7ab99837e8b63b73ee16f897bd100c4b
