policy,workers,paired_repetitions,runtime_median_seconds,runtime_q1_seconds,runtime_q3_seconds,runtime_iqr_seconds,median_paired_speedup,ci95_lower,ci95_upper,confidence,bootstrap_samples
always,1,15,9.11795919999986,9.03767979999975,9.386484199999813,0.34880440000006274,1.0,1.0,1.0,0.95,10000
always,2,15,8.969323999999688,8.641437999999653,9.12796660000049,0.4865286000008382,1.038722591981784,1.0064185242667056,1.0520799749702845,0.95,10000
always,4,15,8.417394899999636,8.29058939999959,8.513987600000291,0.22339820000070176,1.088053585275377,1.0676388663877108,1.1095827089993224,0.95,10000
always,8,15,8.531695800000307,8.358804499999678,8.568423449999955,0.20961895000027653,1.0833793356407408,1.0631679678814163,1.1068552701510346,0.95,10000
bc,1,15,9.105778099999952,8.76647469999989,9.357582850000199,0.5911081500003093,1.0,1.0,1.0,0.95,10000
bc,2,15,8.964729100000113,8.66795860000002,9.308316449999893,0.640357849999873,1.0099117167151668,0.997638523546478,1.0208565556908302,0.95,10000
bc,4,15,8.423467399999936,8.29716394999923,8.5758100500002,0.27864610000096945,1.0810011682362564,1.0511045256127494,1.0899640406464193,0.95,10000
bc,8,15,8.476991300000009,8.357942199999343,8.614221400000133,0.2562792000007903,1.07492912019384,1.05280892927478,1.0857656856366422,0.95,10000
bc_live,1,15,5.671244600000136,5.438518949999889,5.791183150000052,0.35266420000016296,1.0,1.0,1.0,0.95,10000
bc_live,2,15,5.867856500000016,5.753572550000172,6.051248649999707,0.2976760999995349,0.9508903823808301,0.9225802920035224,0.9603467248803895,0.95,10000
bc_live,4,15,6.062791199999992,5.623211099999935,6.100536949999878,0.4773258499999429,0.9484435873943805,0.9408309621047366,0.9677443370399526,0.95,10000
bc_live,8,15,5.886616699999649,5.7206396999999924,6.201144600000134,0.4805049000001418,0.9482932310852258,0.9162199061399109,0.9763156219928814,0.95,10000
never,1,15,8.996924700000818,8.897651650000626,9.34784135000018,0.45018969999955516,1.0,1.0,1.0,0.95,10000
never,2,15,8.901573699999972,8.538470350001262,9.147149300000367,0.6086789499991045,1.020296081673429,1.0014388442613515,1.0554366245416058,0.95,10000
never,4,15,8.281616299999769,8.123301149998952,8.414991699999973,0.2916905500010216,1.0980423209961327,1.075463253699138,1.1151535842104496,0.95,10000
never,8,15,8.315544299999601,8.2192248500005,8.419272399999954,0.20004754999945362,1.0917647329534097,1.0732601364148315,1.1253727244422975,0.95,10000
random,1,15,9.375718400000553,8.933734249999361,9.525244700000258,0.5915104500008965,1.0,1.0,1.0,0.95,10000
random,2,15,9.115306400000009,8.80653435000022,9.26569789999985,0.45916354999963005,1.029255303986596,0.9973871522698557,1.0355726501732314,0.95,10000
random,4,15,8.456914800000959,8.358153300000595,8.538651950000258,0.18049864999966303,1.1019007269327288,1.0617115002741693,1.1182715092947193,0.95,10000
random,8,15,8.589057400000456,8.402518750000127,8.639693950000037,0.23717519999991055,1.0862582123518465,1.0580315844750492,1.0960489741780808,0.95,10000
risk_proxy,1,15,9.174574599999689,8.897082149999733,9.384186200000386,0.48710405000065293,1.0,1.0,1.0,0.95,10000
risk_proxy,2,15,8.809794200000397,8.57915734999915,9.19808649999959,0.6189291500004401,1.0259373288114946,1.0005254653012645,1.0629855509032817,0.95,10000
risk_proxy,4,15,8.2849939000007,8.21797719999995,8.407097750000503,0.1891205500005526,1.107271939858702,1.0753941235934938,1.1175352900815048,0.95,10000
risk_proxy,8,15,8.446969499999796,8.310846200000015,8.483773100000235,0.17292690000022048,1.0899140076339149,1.0800781120941791,1.1075585825156158,0.95,10000
